a57ef7baad03cde78448397ccc803ca3ca5d5c94975ce2b4c1e778c6b281851c,8f4bcdc03fa17a84db142b516cda7eb6d0326e0c820dd6f692b093902d645b2c,d08d176257d7353b8999b26a6504e3398ebfc942faf00680dbe62344c9d46d1e,2a6c3b1a4178660bdb08336183e3ac183c145c40f88a7dbe795b50d68c8d5ad9,79e75da863c52396aa30692c388b224aeb052f90613f3eacf17553dfbcbdf9a3,d09584e56146b72f0e9c8bc731c353964fb5e32cad37cba78b05587c7ffdcaf8,f94aed9518091769f273a11a5b2bd541de6caad6b80c52bd2c83e636ddb5d982,d684cc7b0732cdaa596011bf69fd00cce373601c77447aab0b5dda52e3a8b3bb,71208e5e34b21d24fb157276c8b1ef78a6f8bbc238167b5db66a691f047940f9,821f3e9f225e2d43dbb73ce16399cb99cba82d25973d253efda723c91b403539,7a5a2a3745d745e3e8f7a9f259c9b85b3f372b7bfea105e1774ca3391851a4f0,37060349a2abcb64e9b8e9d8a54458c22a775aa7bb35b73625fa297b639bc722,345a1da5b8f323fcce2784963152f96649255255d9dab6f13b7a48a71d0a2963,5657e9a6c1235e38b548928c13f0ab1e7996aa37835939958c3714a77033c67e,17c370da1381a5856c32a41b182de5f97ec0177ff42c5245e497de3948a96d60,7bcffd1e876a30695d0668b232049f7a778780cb0cc330b52751ed7d41ab47dc,98e4093cdba30a570dbc40cef5ff6ac3a934a77182db26562d238345f426d4e8,a0d5d099bcde6303b0403be99d068ef265298864de8302ffd0effe4930943ddb,684fccbc1218c7816c5c701d390c25a1d95b8af5b3737d8e768db998fcdab162
"12","0","0","10000","94002","0","0","2","0","5000","0","1","0","0","0","0","0","0","幫忙靜流時獲得 10000pt"
"12","0","0","20000","94002","0","0","2","0","10000","0","2","0","0","0","0","0","0","幫忙靜流時獲得 20000pt"
"8","5","0","30000","91002","23001","0","2","2","50","0","3","0","0","0","0","0","0","幫忙靜流時獲得 30000pt"
"12","0","0","10000","94002","0","0","1","0","5000","0","4","0","0","0","0","0","0","幫忙惠理子時獲得 10000pt"
"12","0","0","20000","94002","0","0","1","0","10000","0","5","0","0","0","0","0","0","幫忙惠理子時獲得 20000pt"
"8","5","0","30000","91002","23001","0","1","2","50","0","6","0","0","0","0","0","0","幫忙惠理子時獲得 30000pt"
"12","0","0","70000","94002","0","0","0","0","15000","0","7","0","0","0","0","0","0","幫忙兩人合計獲得 70000pt"
"12","0","0","80000","94002","0","0","0","0","20000","0","8","0","0","0","0","0","0","幫忙兩人合計獲得 80000pt"
"12","0","0","90000","94002","0","0","0","0","25000","0","9","0","0","0","0","0","0","幫忙兩人合計獲得 90000pt"
"12","0","0","100000","94002","0","0","0","0","30000","0","10","0","0","0","0","0","0","幫忙兩人合計獲得 100000pt"
"12","0","0","110000","94002","0","0","0","0","35000","0","11","0","0","0","0","0","0","幫忙兩人合計獲得 110000pt"
"12","0","0","120000","94002","0","0","0","0","40000","0","12","0","0","0","0","0","0","幫忙兩人合計獲得 120000pt"
"12","0","0","130000","94002","0","0","0","0","45000","0","13","0","0","0","0","0","0","幫忙兩人合計獲得 130000pt"
"12","0","0","150000","94002","0","0","0","0","50000","0","14","0","0","0","0","0","0","幫忙兩人合計獲得 150000pt"
"7","150","0","200000","1113","91002","0","0","8","1","0","15","2","0","23001","0","0","10","幫忙兩人合計獲得 200000pt"
