bfe7e32956697748dcd13d30d463fb5489caa94583e85dee8fb29cac510667c6,7785046ca0de63d55fb3f4c22e7188a07a8d3b45f50674202c392cb4a3763dae,dcfc7fd378b90f3f937fe5a4ddaac696d1842a1d02420976a1cf166e51f7a843
"1","0","1"
"1","1","1"
"1","2","1"
"1","5","1"
"2","0","1"
"2","1","1"
"2","2","1"
"2","5","1"
"3","0","1"
"3","1","1"
"3","2","1"
"3","5","1"
"4","0","1"
"4","1","1"
"4","2","1"
"4","5","1"
"5","0","1"
"5","1","1"
"5","2","1"
"5","5","1"
"6","0","1"
"6","1","1"
"6","2","1"
"6","5","1"
"7","0","1"
"7","1","1"
"7","2","1"
"7","5","1"
"8","0","1"
"8","1","1"
"8","2","1"
"8","5","1"
"9","0","1"
"9","1","1"
"9","2","1"
"9","5","1"
"10","0","1"
"10","1","1"
"10","2","1"
"10","5","1"
