ea91e390095ade6c12b0cfd57596fc8f37da374b7019a329ec2f7d1124ee84f8,f7647152dcef0fd194ccf5e74c984884b21841032bd3f8989b93aefcfb90ad4b
"701000101","150"
"701000102","150"
"701000103","150"
"701000104","150"
"701000105","150"
"701000201","150"
"701000202","150"
"701000203","150"
"701000204","150"
"701000205","150"
"701000301","150"
"701000302","150"
"701000303","150"
"701000304","150"
"701000305","150"
"701000401","150"
"701000402","150"
"701000403","150"
"701000404","150"
"701000405","150"
"701000501","150"
"701000502","150"
"701000503","150"
"701000504","150"
"701000505","150"
