c8076623f8ac055fb69412159140c5d9ead98f0bb499a1316508cda6f0bb5b5f,f5efd3abc7b27694043af637e45c0b0e2d4721bd8f2cb2df2ca97edd7ff4c1dc,b1313b82506ff73ed358a9da7313328a2acbc3bd0d792d1dad4402cdb5afbdbb
"1","物理","icon_unit_sort_physics"
"2","魔法","icon_unit_sort_magic"
"100","攻擊者","icon_unit_role_001"
"101","破防者","icon_unit_role_002"
"102","增益者","icon_unit_role_003"
"103","減益者","icon_unit_role_004"
"104","增幅者","icon_unit_role_005"
"105","治療者","icon_unit_role_006"
"106","掩護者","icon_unit_role_007"
"107","妨礙者","icon_unit_role_008"
"200","單體","icon_unit_sort_single_attack"
"201","範圍","icon_unit_sort_range_attack"
"203","持續傷害","icon_unit_sort_slip_attack"
"301","物攻下降","icon_status_13"
"302","魔攻下降","icon_status_15"
"311","物防下降","icon_status_14"
"312","魔防下降","icon_status_16"
"321","速度降低","icon_status_22"
"331","減少ＴＰ上升","icon_status_19"
"332","降低ＴＰ","icon_status_19"
"401","物理無效","icon_status_24"
"402","魔法無效","icon_status_25"
"403","物理吸收","icon_status_26"
"404","魔法吸收","icon_status_27"
"405","物理魔法無效","icon_status_28"
"406","物理魔法吸收","icon_status_29"
"501","物攻上升","icon_status_01"
"502","魔攻上升","icon_status_03"
"511","物防上升","icon_status_02"
"512","魔防上升","icon_status_04"
"521","速度上升","icon_status_09"
"522","累加速度上升","icon_status_152"
"531","物理暴擊提升","icon_status_06"
"532","魔法暴擊提升","icon_status_06"
"533","物理暴擊傷害提升","icon_status_67"
"534","魔法暴擊傷害提升","icon_status_69"
"541","提升ＴＰ上升","icon_status_07"
"700","前衛","common_unit_icon_front"
"701","中衛","common_unit_icon_middle"
"702","後衛","common_unit_icon_back"
"800","ＨＰ恢復","icon_status_08"
"801","ＴＰ恢復","icon_status_07"
"802","持續恢復ＨＰ","icon_status_08"
"803","持續恢復ＴＰ","icon_status_07"
"901","無法行動","icon_status_43"
"902","魅惑、混亂","icon_status_36"
"903","挑釁","icon_status_37"
"904","飛行","icon_status_132"
"905","調和","icon_status_203"
"906","傷害降低","icon_status_75"
"907","無法行動無效","icon_status_129"
"10001","掩護者",""
"10002","前衛",""
"10003","中衛",""
"10004","後衛",""
"10005","物理攻擊",""
"10006","魔法攻擊",""
"10007","範圍攻擊",""
"10008","持續傷害",""
"10009","物防下降",""
"10010","魔防下降",""
"10011","物攻下降",""
"10012","魔攻下降",""
"10013","物防上升",""
"10014","魔防上升",""
"10015","降低TP",""
"10016","恢復",""
"10017","護盾",""
"10018","挑釁",""
"10019","無法行動",""
