2023c708cb2ffa6bf07d585fc2acaf52c1b173983c23baeadf8e7c74f3fdc498,a7befb409953b46ad1e37719dc5775a5ed5bdfe4e9a01e3503f592969cee6ad8,f09438f4ea724914d916f16797141dd60529ac02173390fb619c70240e8c1de4,271d9518c1c897a3ec8809865ea41b6818b6cdfc19a4e6bc665d7ac1bcc21c76,4bec505dfaf92fb37578772c94c90ae272cb097a300daf608e8ca937f469658a,6bba439945e35603c5fb5e02277ba085de34ca1f8e3b9225388b1d0551fb9a60,c9cf515ba168e4afb0362db52e06b14053b3abe4e323070fc431a66ebc684c1d
"60002","1","2","5","初音的禮物大作戰","10001","10001"
"60012","1","2","5","小小甜心大冒險","10002","10002"
"60032","1","2","5","危險的假期！海岸邊的美食家公主","10004","10004"
"60042","1","2","5","珠希和美冬的無人島０盧幣生活","10005","10005"
"60052","1","2","5","黑鐵的亡靈","10006","10006"
"60062","1","2","5","不給布丁就搗蛋！約定的萬聖節派對","10007","10007"
"60072","1","2","5","暮光破壞者","10008","10008"
"60082","1","2","5","忘却的頌歌","10009","10009"
"60092","1","2","5","新春破曉之星大危機！","10010","10010"
"60102","1","2","5","情人節之戰！ 正中紅心的甜蜜戰鬥","10011","10011"
"60112","1","2","5","王都的名偵探　嘆息的追緝者","10012","10012"
"60122","1","2","5","在阿斯特朗盛開的雙輪之花","10013","10013"
"60132","1","2","5","復刻初音的禮物大作戰","10014","10014"
"60142","1","2","5","將軍道中記　白翼的武士","10015","10015"
"60152","1","2","5","復刻小小甜心大冒險","10016","10016"
"60162","1","2","5","Re:從零開始聚集的異世界餐桌","10017","10017"
"60172","1","2","5","復刻吸血鬼獵人 with伊莉亞","10018","10018"
"60182","1","2","5","鈴奈的彩虹舞臺！","10019","10019"
"60192","1","2","5","復刻危險的假期！海岸邊的美食家公主","10020","10020"
"60202","1","2","5","盛夏的真步真步王國 浪花拍岸的靈魂之夏！","10021","10021"
"60212","1","2","5","珠希和美冬的無人島０盧幣生活","10022","10022"
"60222","1","2","5","森林的膽小鬼與神聖學院的問題兒童","10023","10023"
"60232","1","2","5","黑鐵的亡靈","10024","10024"
"60242","1","2","5","小小勇敢的萬聖節之夜！","10025","10025"
"60252","1","2","5","不給布丁就搗蛋！約定的萬聖節派對","10026","10026"
"60262","1","2","5","龍的探索者們","10027","10027"
"60272","1","2","5","暮光破壞者","10028","10028"
"60282","1","2","5","禮物大恐慌！蘭德索爾的聖誕老人們","10029","10029"
"60292","1","2","5","忘却的頌歌","10030","10030"
"60302","1","2","5","狂奔！　蘭德索爾的公會競速賽","10031","10031"
"60312","1","2","5","新春破曉之星大危機！","10032","10032"
"60322","1","2","5","魔法少女　兩人是Misty&Purely","10033","10033"
"60332","1","2","5","情人節之戰！ 正中紅心的甜蜜戰鬥","10034","10034"
"60342","1","2","5","星光公主　Re:M@STER！","10035","10035"
"60342","1","2","5","星光公主　Re:M@STER！","10036","10036"
"60362","1","2","5","王都的名偵探　嘆息的追緝者","10037","10037"
"60372","1","2","5","恩賜的財團與神聖學院的問題兒童","10038","10038"
"60382","1","2","5","在阿斯特朗盛開的雙輪之花","10039","10039"
"60392","1","2","5","牧場的四農士　貧窮農場奮鬥記","10040","10040"
"60402","1","2","5","將軍道中記　白翼的武士","10041","10041"
"60412","1","2","5","不可思議之國的璃乃 小小愛麗絲與希望的繪本","10042","10042"
"60422","1","2","5","鈴奈的彩虹舞臺！","10043","10043"
"60432","1","2","5","七夕劍客旅情譚 天際川流夏之戀","10044","10044"
"60442","1","2","5","盛夏的真步真步王國 浪花拍岸的靈魂之夏！","10045","10045"
"60452","1","2","5","美里的夏日聲援！　追夢的盛夏棒球隊","10046","10046"
"60462","1","2","5","森林的膽小鬼與神聖學院的問題兒童","10047","10047"
"60472","1","2","5","Happy・Change・Angels","10048","10048"
"60482","1","2","5","小小勇敢的萬聖節之夜！","10049","10049"
"60492","1","2","5","迴響！尖叫！萬聖鬼怪狂歡節","10050","10050"
"60502","1","2","5","龍的探索者們","10051","10051"
"60512","1","2","5","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","10052","10052"
"60522","1","2","5","Re:從零開始聚集的異世界餐桌","10053","10053"
"60532","1","2","6","名媛初登夢想秘境　聖誕夜的戀愛遊戲","10054","10054"
"60542","1","2","5","禮物大恐慌！蘭德索爾的聖誕老人們","10055","10055"
"60552","1","2","6","新春美食公主！　賭上關鍵一擲的少女們","10056","10056"
"60562","1","2","5","狂奔！　蘭德索爾的公會競速賽","10057","10057"
"60572","1","2","6","羈絆相連。心相繫。","10058","10058"
"60572","1","2","6","羈絆相連。心相繫。","10059","10059"
