81ee733337782c2702c6919d15eb471c54e1ab850bd231492fb891060a751620,8c8f9950ec1042f4a5c089ccbc9b47ff9988746d40ed10d079d8112416ef1e17,25f4de7c3890b16589c2db9a49b0c48c3a6c8d68a23494725eb1f7cf0c68eba1,67cfa2ffbba736e71ff9d3ac8da7c811ba1ea47d319f2989f1caa280ceb6c66d
"1001","4","180701","1"
"1002","4","180701","2"
"1003","4","180701","3"
"1004","4","180701","4"
"1005","4","180701","5"
"1014","2","180701","6"
"1015","2","180701","7"
"1016","2","180701","8"
"1017","2","180701","9"
"1010","2","180701","10"
"1011","2","180701","11"
"1012","2","180701","12"
"1013","2","180701","13"
"1001","6","180801","14"
"1002","6","180801","15"
"1003","6","180801","16"
"1004","6","180801","17"
"1005","6","180801","18"
"1014","3","180801","19"
"1015","3","180801","20"
"1016","3","180801","21"
"1017","4","180801","22"
"1010","3","180801","23"
"1011","3","180801","24"
"1012","3","180801","25"
"1013","3","180801","26"
"1009","3","180801","27"
"1001","4","180901","28"
"1002","4","180901","29"
"1003","4","180901","30"
"1004","4","180901","31"
"1005","4","180901","32"
"1014","2","180901","33"
"1015","2","180901","34"
"1016","2","180901","35"
"1017","4","180901","36"
"1010","2","180901","37"
"1011","2","180901","38"
"1012","2","180901","39"
"1013","2","180901","40"
"1001","4","181001","41"
"1002","4","181001","42"
"1003","4","181001","43"
"1004","4","181001","44"
"1005","4","181001","45"
"1009","2","181001","46"
"1010","2","181001","47"
"1011","2","181001","48"
"1012","2","181001","49"
"1013","2","181001","50"
"1014","2","181001","51"
"1015","2","181001","52"
"1016","2","181001","53"
"1017","2","181001","54"
"1001","4","181101","55"
"1002","4","181101","56"
"1003","4","181101","57"
"1004","4","181101","58"
"1005","4","181101","59"
"1009","2","181101","60"
"1010","2","181101","61"
"1012","2","181101","62"
"1013","2","181101","63"
"1014","2","181101","64"
"1015","2","181101","65"
"1016","2","181101","66"
"1017","2","181101","67"
