184794b7f713f8b88205d4c7bd94a3331c9ccb97ab90ff445105dcd9e5e7ed9c,f950085a5408af19ee470fa5fffdcff72029f3898584256b932da0d7ecc8b00e,7d0eee13ce873be7f1cb4a20d186ec20c8113c4162012e54b87ef22cd9f12a1d,4b45dc1aeacaa1a04a203022f3cbe7fb94e46a4133ed646d98c1bb5fe657c91a,26ba0a905e139b70b8755b2d889ff91074bcde294ad9b32998758e3f120b32e0,8be09a95d0c7da78f3fb5317c59377a7cd4eb4e804bca522a584804e6137908d
"","0","1","100","200","2"
"","2","2","101","200","300"
"","7","200","200","201","100207"
"","6","201","200","100900","100206"
"","0","300","300","301","302"
"","0","301","301","302","100301"
"","1","302","200","100910","303"
"","2","303","200","100910","100201"
"201","0","100201","0","0","0"
"206","0","100206","0","0","0"
"207","0","100207","0","0","0"
"301","0","100301","0","0","0"
"1","0","100900","300","0","0"
"1","0","100901","0","0","0"
"1,2000","0","100910","0","0","0"
