ec7a11f98e21643d127e94098757add0b6fad8f422ff647aefe9c43902f38e49,8a6380526600f13a4c58260a62ee16c111d4e414f1365b3084dbac66107bf308,1b43d9fbff6ec98457f29c164857afa0c1464b432e58a50f8d9f21d7cab84bd4,072491247dec5bb3cdaeb0ca21bb9efb8e1b4fd799ef6ebba3666c74c3502f29,a6ab99a57dc82b38257ee34b6c5e65d2751722f55a4075890c35b8611f9580d8
"追加吉塔的闇影。","74001102","1","追加1隻闇影","add_shadow"
"追加吉塔、咲戀（夏日）、愛梅斯的闇影。","74001103","2","追加3隻闇影","add_shadow"
"望的闇影變成★6。","74001104","3","闇影★6化","star6_shadow"
"追加吉塔、咲戀（夏日）、愛梅斯的闇影。","74001104","4","追加3隻闇影","add_shadow"
"望、吉塔、鏡華的闇影\n變成★6。","74001105","5","闇影★6化","star6_shadow"
"追加吉塔、咲戀（夏日）、愛梅斯的闇影。","74001105","6","追加3隻闇影","add_shadow"
"追加優花梨的闇影。","74001202","7","追加1隻闇影","add_shadow"
"追加優花梨、矛依未（新年）、優衣的闇影。","74001203","8","追加3隻闇影","add_shadow"
"優花梨與優衣的闇影變成★6。","74001204","9","闇影★6化","star6_shadow"
"追加優花梨、矛依未（新年）、優衣的闇影。","74001204","10","追加3隻闇影","add_shadow"
"宮子、優花梨、真步、優衣的闇影變成★6。","74001205","11","闇影★6化","star6_shadow"
"追加優花梨、矛依未（新年）、優衣的闇影。","74001205","12","追加3隻闇影","add_shadow"
"戰鬥開始時，Boss怪物的魔法傷害為減少20%的狀態。","74001301","13","Boss魔法傷害降低","boss_magic_cut"
"戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","74001302","14","Boss魔法傷害降低","boss_magic_cut"
"追加靜流（夏日）的闇影。","74001302","15","追加1隻闇影","add_shadow"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","74001303","16","開始時恢復TP","energy_recover"
"戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","74001303","17","Boss魔法傷害降低","boss_magic_cut"
"追加靜流（夏日）與克莉絲提娜的闇影。","74001303","18","追加2隻闇影","add_shadow"
"Boss怪物的必殺技會受到強化。","74001304","19","Boss UB強化","boss_ub_enhance"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","74001304","20","開始時恢復TP","energy_recover"
"戰鬥開始時，Boss怪物的魔法傷害為減少70%的狀態。","74001304","21","Boss魔法傷害降低","boss_magic_cut"
"追加靜流（夏日）與克莉絲提娜的闇影。","74001304","22","追加2隻闇影","add_shadow"
"戰鬥時間變成60秒。","74001305","23","戰鬥時間限制","limit_time"
"Boss怪物的必殺技會受到強化。","74001305","24","Boss UB強化","boss_ub_enhance"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","74001305","25","開始時恢復TP","energy_recover"
"戰鬥開始時，Boss怪物的魔法傷害為減少100%的狀態。","74001305","26","Boss魔法傷害降低","boss_magic_cut"
"追加靜流（夏日）與克莉絲提娜的闇影。","74001305","27","追加2隻闇影","add_shadow"
"戰鬥開始時，Boss怪物的物理傷害為減少20%的狀態。","74001401","28","Boss物理傷害降低","boss_physics_cut"
"戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","74001402","29","Boss物理傷害降低","boss_physics_cut"
"追加空花（大江戶）的闇影。","74001402","30","追加1隻闇影","add_shadow"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","74001403","31","開始時恢復TP","energy_recover"
"戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","74001403","32","Boss物理傷害降低","boss_physics_cut"
"追加空花（大江戶）與似似花的闇影。","74001403","33","追加2隻闇影","add_shadow"
"Boss怪物的必殺技會受到強化。","74001404","34","Boss UB強化","boss_ub_enhance"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","74001404","35","開始時恢復TP","energy_recover"
"戰鬥開始時，Boss怪物的物理傷害為減少70%的狀態。","74001404","36","Boss物理傷害降低","boss_physics_cut"
"追加空花（大江戶）與似似花的闇影。","74001404","37","追加2隻闇影","add_shadow"
"戰鬥時間變成60秒。","74001405","38","戰鬥時間限制","limit_time"
"Boss怪物的必殺技會受到強化。","74001405","39","Boss UB強化","boss_ub_enhance"
"戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","74001405","40","開始時恢復TP","energy_recover"
"戰鬥開始時，Boss怪物的物理傷害為減少100%的狀態。","74001405","41","Boss物理傷害降低","boss_physics_cut"
"追加空花（大江戶）與似似花的闇影。","74001405","42","追加2隻闇影","add_shadow"
"戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","74001502","43","開始時提升攻擊力","boss_atk_up"
"可以編組的角色變成4個。","74001503","44","編組角色人數限制","limit_chara_num"
"戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","74001503","45","開始時提升攻擊力","boss_atk_up"
"可以編組的角色變成4個。","74001504","46","編組角色人數限制","limit_chara_num"
"Boss怪物的必殺技會受到強化。","74001504","47","Boss UB強化","boss_ub_enhance"
"戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","74001504","48","開始時提升攻擊力","boss_atk_up"
"可以編組的角色變成4個。","74001505","49","編組角色人數限制","limit_chara_num"
"隊伍角色的最大HP降低20%。","74001505","50","降低角色的最大HP","max_hp_down"
"Boss怪物的必殺技會受到強化。","74001505","51","Boss UB強化","boss_ub_enhance"
"戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","74001505","52","開始時提升攻擊力","boss_atk_up"
"追加花凜的闇影。","74002102","53","追加1隻闇影","add_shadow"
"對宮子、優花梨、步未的闇影追加專用裝備。","74002103","54","強化闇影","star6_shadow"
"追加花凜的闇影。","74002103","55","追加1隻闇影","add_shadow"
"宮子、優花梨、步未的闇影變成★6。","74002104","56","強化闇影","star6_shadow"
"追加花凜的闇影。","74002104","57","追加1隻闇影","add_shadow"
"所有闇影的物理攻擊力大幅度提升。","74002105","58","提升闇影物理攻擊力","boss_atk_up"
"宮子、優花梨、步未的闇影變成★6。","74002105","59","強化闇影","star6_shadow"
"追加花凜的闇影。","74002105","60","追加1隻闇影","add_shadow"
"追加嘉夜（解放者）的闇影。","74002202","61","追加1隻闇影","add_shadow"
"對紡希（萬聖節）、真陽（聖誕節）、深月、霞（魔法少女）的闇影追加專用裝備。","74002203","62","強化闇影","star6_shadow"
"追加嘉夜（解放者）的闇影。","74002203","63","追加1隻闇影","add_shadow"
"深月的闇影變成★6。對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備。","74002204","64","強化闇影","star6_shadow"
"追加嘉夜（解放者）的闇影。","74002204","65","追加1隻闇影","add_shadow"
"所有闇影的魔法防禦力大幅度提升。","74002205","66","提升闇影魔法防禦力","boss_magic_def_up"
"對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備，且深月的闇影變成★6。","74002205","67","強化闇影","star6_shadow"
"追加嘉夜（解放者）的闇影。","74002205","68","追加1隻闇影","add_shadow"
"追加望的闇影。","74002302","69","追加1隻闇影","add_shadow"
"追加望與凱留（公主）的闇影。","74002303","70","追加2隻闇影","add_shadow"
"可以編組的角色變成4個。","74002304","71","編組角色人數限制","limit_chara_num"
"望的闇影變成★6。對凱留（公主）的闇影追加專用裝備。","74002304","72","強化闇影","star6_shadow"
"追加望與凱留（公主）的闇影。","74002304","73","追加2隻闇影","add_shadow"
"可以編組的角色變成4個。","74002305","74","編組角色人數限制","limit_chara_num"
"戰鬥開始時，Boss怪物特大幅度提升敵人全體的物理防禦力。","74002305","75","開始時提升物理防禦力","boss_def_up"
"戰鬥開始時，Boss怪物特大幅度提升敵人全體的魔法防禦力。","74002305","76","開始時提升魔法防禦力","boss_magic_def_up"
"望的闇影變成★6。對凱留（公主）的闇影追加專用裝備。","74002305","77","強化闇影","star6_shadow"
"追加望與凱留（公主）的闇影。","74002305","78","追加2隻闇影","add_shadow"
"追加綾音的闇影。","74002402","79","追加1隻闇影","add_shadow"
"追加綾音與貪吃佩可（夏日）的闇影。","74002403","80","追加2隻闇影","add_shadow"
"可以編組的角色變成4個。","74002404","81","編組角色人數限制","limit_chara_num"
"綾音與貪吃佩可（夏日）的闇影變成★6。","74002404","82","強化闇影","star6_shadow"
"追加綾音與貪吃佩可（夏日）的闇影。","74002404","83","追加2隻闇影","add_shadow"
"可以編組的角色變成4個。","74002405","84","編組角色人數限制","limit_chara_num"
"戰鬥開始時，Boss怪物特大幅度提升敵人全體的物理防禦力。","74002405","85","開始時提升物理防禦力","boss_def_up"
"戰鬥開始時，Boss怪物特大幅度提升敵人全體的魔法防禦力。","74002405","86","開始時提升魔法防禦力","boss_magic_def_up"
"綾音與貪吃佩可（夏日）的闇影變成★6。","74002405","87","強化闇影","star6_shadow"
"追加綾音與貪吃佩可（夏日）的闇影。","74002405","88","追加2隻闇影","add_shadow"
"戰鬥時間變成70秒。","74002502","89","戰鬥時間限制","limit_time"
"戰鬥時間變成60秒。","74002503","90","戰鬥時間限制","limit_time"
"戰鬥時間變成60秒。","74002504","91","戰鬥時間限制","limit_time"
"Boss怪物的必殺技會受到強化。","74002504","92","Boss UB強化","boss_ub_enhance"
"戰鬥時間變成45秒。","74002505","93","戰鬥時間限制","limit_time"
"Boss怪物的必殺技會受到強化。","74002505","94","Boss UB強化","boss_ub_enhance"
"對霞、初音、優衣（公主）的闇影追加專用裝備。","74003102","95","強化闇影","star6_shadow"
"追加雪的闇影。","74003103","96","追加1隻闇影","add_shadow"
"初音、雪的闇影變成★6。","74003103","97","強化闇影","star6_shadow"
"可以編組的角色變成4個。","74003104","98","編組角色人數限制","limit_chara_num"
"可以編組的角色變成4個。","74003105","99","編組角色人數限制","limit_chara_num"
"所有闇影的最大HP大幅度提升。","74003105","100","闇影提升最大HP","max_hp_up"
"追加詛咒‧遠古遺物。","74003202","101","追加1隻怪物","add_shadow"
"碧的闇影變成★6。","74003203","102","強化闇影","star6_shadow"
"戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少50%的狀態。","74003204","103","開始時魔法傷害降低","boss_magic_cut"
"強化詛咒‧遠古遺物的技能。","74003204","104","強化怪物","boss_ub_enhance"
"戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少75%的狀態。","74003205","105","開始時魔法傷害降低","boss_magic_cut"
"可以編組的角色變成4個。","74003205","106","編組角色人數限制","limit_chara_num"
"追加治癒‧遠古遺物。","74003302","107","追加1隻怪物","add_shadow"
"對凱留（新年）的闇影追加專用裝備。","74003303","108","強化闇影","star6_shadow"
"戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少50%的狀態。","74003304","109","開始時物理傷害降低","boss_physics_cut"
"強化治癒‧遠古遺物的技能。","74003304","110","強化怪物","boss_ub_enhance"
"戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少75%的狀態。","74003305","111","開始時物理傷害降低","boss_physics_cut"
"可以編組的角色變成4個。","74003305","112","編組角色人數限制","limit_chara_num"
"戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003402","113","提升Boss物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003402","114","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥時間變成70秒。","74003403","115","戰鬥時間限制","limit_time"
"戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003403","116","提升Boss物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003403","117","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥時間變成70秒。","74003404","118","戰鬥時間限制","limit_time"
"Boss怪物的必殺技會受到強化。","74003404","119","Boss UB強化","boss_ub_enhance"
"戰鬥開始時，Boss怪物的TP下降為減少100%的狀態。","74003404","120","減少降低Boss TP","boss_tp_down_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003404","121","提升Boss物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003404","122","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥時間變成50秒。","74003405","123","戰鬥時間限制","limit_time"
"Boss怪物的必殺技會受到強化。","74003405","124","Boss UB強化","boss_ub_enhance"
"戰鬥開始時，Boss怪物的TP下降為減少100%的狀態。","74003405","125","減少降低Boss TP","boss_tp_down_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003405","126","提升Boss物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003405","127","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003502","128","提升Boss物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003502","129","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003503","130","提升Boss物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003503","131","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"追加露娜聚光燈。","74003504","132","追加1隻怪物","add_shadow"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003504","133","提升Boss物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003504","134","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"追加霸瞳皇帝的闇影。","74003505","135","追加1隻闇影","add_shadow"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74003505","136","提升Boss物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74003505","137","提升Boss魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"對祈梨、咲戀、依里、優妮的闇影追加專用裝備。","74004102","138","強化闇影","star6_shadow"
"追加咲戀（夏日）的闇影。","74004103","139","追加1隻闇影","add_shadow"
"咲戀、依里的闇影變成★6。","74004103","140","強化闇影","star6_shadow"
"可以編組的角色變成4個。","74004104","141","編組角色人數限制","limit_chara_num"
"可以編組的角色變成4個。","74004105","142","編組角色人數限制","limit_chara_num"
"所有闇影的最大HP大幅度提升。","74004105","143","闇影提升最大HP","max_hp_up"
"追加守護‧遠古遺物。","74004202","144","追加1隻怪物","add_shadow"
"對似似花（新年）的闇影追加專用裝備。","74004203","145","強化闇影","star6_shadow"
"強化守護‧遠古遺物的技能。","74004204","146","強化怪物","boss_ub_enhance"
"戰鬥開始時，守護‧遠古遺物將特大幅度恢復我方全體的HP。","74004204","147","開始時恢復HP","hp_recover"
"戰鬥開始時，守護‧遠古遺物將特大幅度恢復我方全體的HP。","74004205","148","開始時恢復HP","hp_recover"
"戰鬥開始時，守護‧遠古遺物將賦予我方全體持續恢復TP的狀態。","74004205","149","開始時賦予持續恢復TP","energy_recover"
"追加戰鬥‧遠古遺物。","74004302","150","追加1隻怪物","add_shadow"
"莉瑪的闇影變成★6。","74004303","151","強化闇影","star6_shadow"
"強化戰鬥‧遠古遺物的技能。","74004304","152","強化怪物","boss_ub_enhance"
"戰鬥開始時，戰鬥‧遠古遺物將展開特大幅度提升我方全體行動速度的領域。","74004305","153","開始時展開提升行動速度領域","boss_haste"
"隊伍角色的最大HP降低20%。","74004402","154","降低角色的最大HP","max_hp_down"
"戰鬥時間變成75秒。","74004403","155","戰鬥時間限制","limit_time"
"隊伍角色的最大HP降低20%。","74004403","156","降低角色的最大HP","max_hp_down"
"戰鬥時間變成75秒。","74004404","157","戰鬥時間限制","limit_time"
"可以編組的角色變成4個。","74004404","158","編組角色人數限制","limit_chara_num"
"隊伍角色的最大HP降低20%。","74004404","159","降低角色的最大HP","max_hp_down"
"戰鬥時間變成60秒。","74004405","160","戰鬥時間限制","limit_time"
"可以編組的角色變成4個。","74004405","161","編組角色人數限制","limit_chara_num"
"隊伍角色的最大HP降低20%。","74004405","162","降低角色的最大HP","max_hp_down"
"隊伍角色的最大HP降低20%。","74004502","163","降低角色的最大HP","max_hp_down"
"Boss怪物的必殺技與技能會受到強化。","74004503","164","BossUB、技能強化","boss_ub_enhance"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74004503","165","減少降低Boss TP","boss_tp_down_cut"
"隊伍角色的最大HP降低20%。","74004503","166","降低角色的最大HP","max_hp_down"
"追加露娜聚光燈。","74004504","167","追加1隻怪物","add_shadow"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74004504","168","減少降低Boss TP","boss_tp_down_cut"
"隊伍角色的最大HP降低20%。","74004504","169","降低角色的最大HP","max_hp_down"
"追加綾音的闇影。","74004505","170","追加1隻闇影","add_shadow"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74004505","171","減少降低Boss TP","boss_tp_down_cut"
"隊伍角色的最大HP降低20%。","74004505","172","降低角色的最大HP","max_hp_down"
"對莉瑪、嘉夜、祈梨、咲戀（夏日）的闇影追加專用裝備。","74005102","173","強化闇影","star6_shadow"
"莉瑪、嘉夜、祈梨的闇影變成★6。","74005103","174","強化闇影","star6_shadow"
"戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","74005103","175","物理傷害降低","boss_physics_cut"
"可以編組的角色變成4個。","74005104","176","編組角色人數限制","limit_chara_num"
"戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","74005104","177","物理傷害降低","boss_physics_cut"
"可以編組的角色變成4個。","74005105","178","編組角色人數限制","limit_chara_num"
"戰鬥開始時，所有怪物的物理傷害為減少100％的狀態。","74005105","179","物理傷害降低","boss_physics_cut"
"對宮子、怜（新年）、優花梨、初音、美咲（萬聖節）的闇影追加專用裝備。","74005202","180","強化闇影","star6_shadow"
"宮子、怜（新年）、優花梨、初音的闇影變成★6。","74005203","181","強化闇影","star6_shadow"
"戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","74005203","182","魔法傷害降低","boss_magic_cut"
"可以編組的角色變成4個。","74005204","183","編組角色人數限制","limit_chara_num"
"戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","74005204","184","魔法傷害降低","boss_magic_cut"
"可以編組的角色變成4個。","74005205","185","編組角色人數限制","limit_chara_num"
"戰鬥開始時，所有怪物的魔法傷害為減少100％的狀態。","74005205","186","魔法傷害降低","boss_magic_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005301","187","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005301","188","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005301","189","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005301","190","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005301","191","降低HP吸收","9"
"追加軟泥怪、雷雲長老。","74005302","192","追加怪物","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005302","193","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005302","194","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005302","195","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005302","196","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005302","197","降低HP吸收","9"
"追加優花梨、帆稀（新年）。","74005303","198","追加怪物","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005303","199","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005303","200","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005303","201","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005303","202","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005303","203","降低HP吸收","9"
"追加露娜聚光燈。","74005304","204","追加怪物","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005304","205","傷害值衰減","18"
