0ed09f6eb2a101d07225ed45477152d964b1155b4b8d7c410a95b6b4af179a23,6547b8b9c6b10bca113f031de1cadf6cfcf44a229594b66053c8a2f189669e9c,17369b014f50b9de5ac903f4b033c34cc0ae24680dc5ae798a9f5bcf970412ae,cbdc3fb6adcf4630976e63d56cee428c975a084a67bbafc1df86f1e889f083fe,d29a2b788a282c2528d3cb0acd375af56199c5e8ce92e95ac07448d90aae45ae,a80ed75e145650f026796fb9ed1861ad444f969b5df05a0299b09c15cd20c80e,8e624f510a4ead14471185780772055248ec3623779562efa32d8f6865519eff,a037fab02903aedf045346f8cc55a806fd78552d08cb4133331a94205ae02275,ea99bbd53d3f7b379cdd5a7c92de97b40e419aec61aaea4c751e325e0501f02b,628a95a3bb4c729871bede96e4f1174245d7427f032d076a507466af73ae01d5,ab9a4a4916556df1fe0401a80f2b0e362692c67d760f3e0b659e6c656ec445b0
"1","taq_karin_idle","1001","1","1.65","-194","1","100","118511","1","72"
"21","","1002","1","","","vo_minigame_1009","0","vo_minigame_1009_top_001","","0"
"11","0","1003","1","0","0","118511","8","有準備獎品喔，\n請好好加油吧♪\n","0","0"
"3","","1004","1","0.2","","118511","1","taq_karin_talk_normal","",""
"91","","1005","1","","","1003","","","",""
"3","","1006","1","0.2","","118511","1","taq_karin_idle","",""
"1","taq_karin_idle","2001","2","1.65","-194","1","100","118511","1","72"
"21","","2002","2","","","vo_minigame_1009","0","vo_minigame_1009_top_002","","0"
"11","0","2003","2","0","0","118511","8","這會考驗\n大家的知職喔。","0","0"
"3","","2004","2","0.2","","118511","1","taq_karin_talk_thinking","",""
"91","","2005","2","","","2003","","","",""
"3","","2006","2","0.2","","118511","1","taq_karin_idle","",""
"1","taq_karin_idle","3001","3","1.65","-194","1","100","118511","1","72"
"21","","3002","3","","","vo_minigame_1009","0","vo_minigame_1009_top_003","","0"
"11","0","3003","3","0","0","118511","8","這世上還有很多\n我們不知道的事。\n","0","0"
"3","","3004","3","0.2","","118511","1","taq_karin_talk_surprise","",""
"91","","3005","3","","","3003","","","",""
"3","","3006","3","0.2","","118511","1","taq_karin_idle","",""
"1","taq_karin_idle","4001","4","1.65","-194","1","100","118511","1","72"
"21","","4002","4","","","vo_minigame_1009","0","vo_minigame_1009_top_004","","0"
"11","0","4003","4","0","0","118511","8","不曉得答案時\n可以試著憑直覺。\n","0","0"
"3","","4004","4","0.2","","118511","1","taq_karin_talk_normal2","",""
"91","","4005","4","","","4003","","","",""
"3","","4006","4","0.2","","118511","1","taq_karin_idle","",""
"1","taq_karin_idle","5001","5","1.65","-194","1","100","118511","1","72"
"21","","5002","5","","","vo_minigame_1009","0","vo_minigame_1009_top_005","","0"
"11","0","5003","5","0","0","118511","7","大家齊心協力\n朝向全題答對\n努力吧♪","0","0"
"3","","5004","5","0.2","","118511","1","taq_karin_talk_joy3","",""
"91","","5005","5","","","5003","","","",""
"3","","5006","5","0.2","","118511","1","taq_karin_idle","",""
