18cdef958d84f3c3063affbf31622d14a3d724ba59306a7929c3073cce307c6a,4e0cce60baf2c43b474958a8b5a4be6d27451c06392005f0d67d180484e61643,072f3c93a6711e34aa610428a19eb75c40532f5ff9abbffb3eaa97fbcb47abb8,4364e7cdbc2ae661bdc63ee10d21f7a2112b73c2d93bdc3367fe091d26a51c1f,04773d62465957a575e0be6f6f056d22def1cff63ba565120f7bccef0afc157a,a53ff2df94bf73d7c478d8afeeb942a6d5d784e875d4f9bc381ed1aa091ac632
"26202","2","1","50000","1","50000"
"90013","2","1","10","2","10"
"26203","2","1","1","3","0"
"26202","2","2","55000","4","55000"
"90013","2","2","10","5","10"
"26203","2","2","1","6","0"
"26202","2","3","60000","7","60000"
"90013","2","3","10","8","10"
"26203","2","3","1","9","0"
"26202","2","4","65000","10","65000"
"90013","2","4","10","11","10"
"26203","2","4","1","12","0"
"26202","2","5","70000","13","70000"
"90013","2","5","10","14","10"
"26203","2","5","1","15","0"
"26202","2","6","75000","16","75000"
"90013","2","6","10","17","10"
"26203","2","6","1","18","0"
"26202","2","7","80000","19","80000"
"90013","2","7","10","20","10"
"26203","2","7","1","21","0"
"26202","2","8","85000","22","85000"
"90013","2","8","10","23","10"
"26203","2","8","1","24","0"
"26202","2","9","90000","25","90000"
"90013","2","9","20","26","20"
"26203","2","9","1","27","0"
"26202","2","10","95000","28","95000"
"90013","2","10","20","29","20"
"26203","2","10","1","30","0"
"26202","2","11","100000","31","100000"
"90013","2","11","20","32","20"
"26203","2","11","1","33","0"
"26202","2","12","105000","34","105000"
"90013","2","12","20","35","20"
"26203","2","12","1","36","0"
