d7e58fe2e689946a2ae95e77738eacd6f0461e43bc1785bea2d12fc618557270,8f4a099e8c527ab61a3d69eb569692d370964d5d522b1ce79727d725eed25b03,8cf9ffe7e45345284dd2c791eb78cf5a776e4e95ad7f4996073c1bd5d63e1392,cca1ff57889f7b094afbe962b912a2b63b76ad012577654892ebc9de0570288e,0fb497de3d9e690efc9c2c70200000ebe4fb9f5b33debed34eb32d636fc5a7d6,551be962b6502bfc44366ae2f109eeb219f4830df635d20b4ad44d3143ed8cb5,327e759d64b4b37c370527d1310b3cf0ff9890373133fb106a29f24100e19ff6,f0dfdefbb0a688fdcefe1b82656a8ec2b8ffbafc8c02536b7249df67fd153133,a2010a32a15106ceb520b9c85282c0ce5ac15d5ace8be3e454c8edc7b0801044,b0298618c3d0f5da4f857a777b788f82eda19858de75c7da309e57b2b8bbbc0d,bdcdb9c6a2cb0566cfc5a84c94fe47f1584862b91123314bc4a46c20840b0705,35729f1a597d861ed6e316bf321d580b1981e1212fd734c7b9e872e3a651f860,cff8810a5f216e65a7e34b3e77e243241f5fbc0517204713aab565913d39512a,36943ab5e570b9386cd20eaf1cce3f2e76bb10d7021fcf8578f5256bcee728c4,73664b1ae58d341f143741ba0c196ae7d8c27cd91250976ccdddcb076fbf2427,ed1a5c2342ccb5dc8580b114d08290ac986abc9fb8bd886459c106b66824cee5,a1a97aaf1ef4f676a45229aca4eb7a15c89fb3f679c19f7fa604c40ed5108c03,07d96eadb34935b2fcd7fb580fd163bf1a2c379bfcfad78210aa3dea42275b22,fe4ccb9e7605eb806b2dcc5e5945c153ffe84b6027b7426c8d1478d3cc528bfe,036f483ed6e9b84314e77eb837b5784197d60e7fc771509ea283bf5181a5e080
"803100201","0","0","803100251","803100201","803100252","803100263","0","0","0","0","0","803100253","803100201","100","0","0","0","0","0"
"803100202","0","0","803100251","803100202","803100252","803100263","0","0","0","0","0","803100253","803100205","100","0","0","0","0","0"
"803100203","0","0","803100251","803100203","803100252","803100263","0","0","0","0","0","803100253","803100209","100","0","0","0","0","0"
"803100204","0","0","803100254","803100204","803100255","803100263","0","0","0","0","0","803100256","803100213","100","0","0","0","0","0"
"803100205","0","0","803100254","803100205","803100255","803100263","0","0","0","0","0","803100256","803100214","100","0","0","0","0","0"
"803100206","0","0","803100254","803100206","803100255","803100263","0","0","0","0","0","803100256","803100215","100","0","0","0","0","0"
"803100207","0","0","803100257","803100207","803100258","803100263","0","0","0","0","0","803100259","803100216","100","0","0","0","0","0"
"803100208","0","0","803100257","803100208","803100258","803100263","0","0","0","0","0","803100259","803100217","100","0","0","0","0","0"
"803100209","0","0","803100257","803100209","803100258","803100263","0","0","0","0","0","803100259","803100218","100","0","0","0","0","0"
"803100210","0","0","803100260","803100210","803100261","803100263","0","0","0","0","0","803100262","803100219","100","0","0","0","0","0"
"803100211","0","0","803100260","803100211","803100261","803100263","0","0","0","0","0","803100262","803100220","100","0","0","0","0","0"
"803100212","0","0","803100260","803100212","803100261","803100263","0","0","0","0","0","803100262","803100221","100","0","0","0","0","0"
"803100213","0","0","803100264","803100213","803100265","803100267","0","0","0","0","0","803100266","803100222","100","0","0","0","0","0"
"803100214","0","0","803100264","803100214","803100265","803100267","0","0","0","0","0","803100266","803100223","100","0","0","0","0","0"
"803100215","0","0","803100264","803100215","803100265","803100267","0","0","0","0","0","803100266","803100224","100","0","0","0","0","0"
"803100216","0","0","803100226","803100216","803100268","803100272","0","0","0","0","0","803100269","803100225","100","0","0","0","0","0"
"803100217","0","0","803100228","803100217","803100268","803100272","0","0","0","0","0","803100269","803100227","100","0","0","0","0","0"
"803100218","0","0","803100230","803100218","803100268","803100272","0","0","0","0","0","803100269","803100229","100","0","0","0","0","0"
"803100219","0","0","803100232","803100219","803100270","803100272","0","0","0","0","0","803100271","803100231","100","0","0","0","0","0"
"803100220","0","0","803100234","803100220","803100270","803100272","0","0","0","0","0","803100271","803100233","100","0","0","0","0","0"
"803100221","0","0","803100236","803100221","803100270","803100272","0","0","0","0","0","803100271","803100235","100","0","0","0","0","0"
"803100222","0","0","0","803100222","0","0","0","0","0","0","0","0","803100237","100","0","0","0","0","0"
"803100223","0","0","0","803100223","0","0","0","0","0","0","0","0","803100238","100","0","0","0","0","0"
"803100224","0","0","0","803100224","0","0","0","0","0","0","0","0","803100239","100","0","0","0","0","0"
