395447869561b3ae5446fd83bfbac7ba8d8fdeeec9fac1354fde72d2ca1868a6,bdd1ca2ba3d28552b341fbe2ca6998e70a792a3494d401a58054f8d4514ad0ee,4b34761c80394cf643db0486793a56338a128d762a8e4f03e79b73b0203852b5,3c448ef94059320b2b847c7e3c71b62fc7b8377f136dfe749e4fd2d187fe807f,46744c566113eff4e0100a2524473748480c5c6d85d2fdedb78118fb8873708d,5ed3d73d7bb45d96d8a94617cb64ee62b746bdf19035dffed91a13e3657d5d61,6ace4b0d283697ad1cb0722e03d7ae34ce8c993b17b2d1c4e4e366155a392f91
"0","9999999","50","50","0","1","1"
"0","9999999","80","20","0","2","2"
"0","2000","30","70","0","3","3"
"30","5000","40","30","0","4","3"
"40","10000","40","0","20","5","3"
"40","15000","30","0","30","6","3"
"40","20000","25","0","35","7","3"
"40","25000","20","0","40","8","3"
"40","30000","15","0","45","9","3"
"40","35000","10","0","50","10","3"
"35","40000","10","0","55","11","3"
"35","45000","5","0","60","12","3"
"30","50000","5","0","65","13","3"
"30","55000","0","0","70","14","3"
"25","60000","0","0","75","15","3"
"20","65000","0","0","80","16","3"
"15","70000","0","0","85","17","3"
"10","75000","0","0","90","18","3"
"5","80000","0","0","95","19","3"
"0","9999999","0","0","100","20","3"
