9f360841d3eb0fbf3d7dfb2e586ed7e64339b9af61236dece1c0e0b87eafd094,b5769ae2475b9c171534de4b25db95c260cb368a7cbd1a474dda8372cf68a265,a2612df5491d82c8a62c33aa5a47261845b852c7eceae39427b76ddf684aa5f4,78fcdface7866a2af9240db1a56c6b27d45c6980372844707395096245a8a184,aff5ca41d5731baecf4c605e8f1c1ace61eba6fcb81db0f71984a7a920f7510d,9062e8b5ad0b18164b7211c545c17b253cf7ed077de045c81a1ff243fdc08a9f,7d9db948449653f5bc3742d6f5a0b456a22a57b1aad3f42064a9ebbc74131680,540607ab20be64be279b57b5b3ccf9923cdbb01d2c019476bd7f78e659de33c0,82f17ae764d4a2a09b4b87a4c61a63733f244ecfb2a694c8b36c9a0d39306c7e,077d4b84deaa07d84b14f8406645ce85792c527543e8f36a4ca76f05036802b2,224659e907910d789a6adad210dac4a905fcf61ef5f12f204761d3b059c21801,6e785f9c3b4d959d59ea739a44af39893df12fa803227ec088bfa7520525820f,7f20674bce3c3d8a04fbe2c4a904b83feb22565a8acfb2d46101e73f9c3d02ef,f9e46c61b93f8c99650ee9600a4e3f9782cc5910be46c192ca3047337a7d527e,6bff0871fb989bcbbc541c64adab4689051a9066dd4bf2c4076f12bae19363d1,48a089bbfa4e7ffac18766ad981122ea1e523b8dc634699d5fe9a224a3634af0,78d526cd8ace417c02a571d3134db76bd34f48c1918d019bd50fec117846a6f1,8fbb9131288fd152bc12f73b4de86c78db35badbf6f50923139503cdd5633aa3,ef7cea33aa4e4e7a3ca04406a90cc4c1a94417849a296eee26d10eea271adf1e,7e63374503ddfdd4d150be5ad44255ce1007f69e0d5a708c955989896b9d8513,bb57615be674ae4d3323e54ede2b138633a5ffeeddc468671486a6dd5e96cf6b
"1","0","0","130011","2","0","0","0","0","-1","0","0","0","0","0","0","1300110","0","4.7","0","0"
"0","0","0.25","130021","2","2.3","0","0","0.25","-1","0","0","0","0","0","0","1300210","0","0","0","0.25"
"0","0","0","130031","2","0","0","0","0","-1","0","0","0","0","0","5.5","1300310","0","4.75","0","0"
"0","0","0","130032","1","0","0","0","30","-1","0","0","0","0","0","1000","1300320","0","500","0","30"
"0","0","0","130041","2","0","0","0","0.3","-1","0","0","0","0","0","0","1300410","0","3.35","0","0.1"
"0","0","0","130051","2","0","0","0","0.45","-1","0","0","0","0","0","6.5","1300510","0","0","0","0.4"
"0","0","0","130061","2","3.6","0","0","0.15","-1","0","0","0","0","0","0","1300610","0","0","0","0.15"
"0","0","0","130071","2","0","0","0","0.45","300","0.15","0","0","0","0","11.5","1300710","0","0","0","0.15"
"0","0","0","130071","301","0","0","0","0.65","-1","0","0","0","0","0","11.5","1300711","0","0","0","0.15"
"0","0","0","130081","2","3.15","0","0","0.2","-1","0","0","0","0","0","0","1300810","0","0","0","0.2"
"0","0","0","130091","2","4.5","0.5","0","0","-1","0","0","0","0","0","0","1300910","0","0","0","0"
"0","0","0.25","130101","2","2.1","0","0","0.3","-1","0","0","0","0","0","0","1301010","0","0","0","0.25"
"1","0","0","130111","2","0","0","0","0","-1","0","0","0","0","0","0","1301110","0","4.6","0","0"
"90","0","0","130112","1","0","0","0","25","-1","0","0","0","0","0","0","1301120","0","500","0","0"
"0","0","0","130121","2","4.4","0.5","0","0.05","-1","0","0","0","0","0","0","1301210","0","0","0","0"
"0","0","0","130131","2","4.5","0.75","0","0","-1","0","0","0","0","0","0","1301310","0","0","0","0"
