0a1dc00a4ea362600e494cd846333e265ecc81c3f739d6547fd405e1052d0986,73575baa6794373e0904e06f73a169c758a72ea9e7c6a61ae992381ea3d2e6cb,96c76555cf1e9820a173d80ecd7250e283ac573a5950eb2f99f6fb0ee0caeeb3,dc52d077ea6e1dd188e3db68d876e7033a716aee4e72318bd9b34cdef70ba855,ddda5f310eedc94fbb60a6369a44d7a96d0f25c08dd0147ecdadfdd65ef9730a,753fdca7974650af8016f06f37ea6a4bb253578bb2ceef94fea05941d4173d59,545a7e5882f1f56c05bc5fe21b101dee1aa30457cbe4e6593509c60b2f48947b
"呵呵呵，這樣一來就能報復嘉夜夜和老大了！","1","2","10001","vo_minigame_1004","1000101","vo_minigame_1004_top_1_000"
"接龍之戰，我要找哥哥幫忙。","1","2","10002","vo_minigame_1004","1000201","vo_minigame_1004_top_1_003"
"打手就是不管別人怎樣找碴都來者不拒！看我的！","2","1","10003","vo_minigame_1004","1000301","vo_minigame_1004_top_1_004"
"用石板進行接龍嗎……祈梨那人想的活動真有趣呢。","2","1","10004","vo_minigame_1004","1000401","vo_minigame_1004_top_1_005"
"管它是接龍還是什麼，就給他們回馬槍吧！","2","1","10005","vo_minigame_1004","1000501","vo_minigame_1004_top_1_006"
"咕麼……（我、肚子餓了）","3","2","10006","vo_minigame_1004","1000601","vo_minigame_1004_top_1_007"
"咕麼麼麼麼（接龍真有趣）","3","2","10007","vo_minigame_1004","1000701","vo_minigame_1004_top_1_008"
"咕麼麼麼麼！（祈梨 是好人）","3","2","10008","vo_minigame_1004","1000801","vo_minigame_1004_top_1_009"
"就算對手是嘉夜夜，我也不會手下留情。","1","2","10009","vo_minigame_1004","1000901","vo_minigame_1004_top_2_010"
"好極了！要比的話就要認真的比哦。","2","1","10009","vo_minigame_1004","1000902","vo_minigame_1004_top_2_011"
"嘉夜夜，要道歉就趁現在。","1","2","10010","vo_minigame_1004","1001001","vo_minigame_1004_top_2_012"
"祈梨才是，妳要偷哭的話就趁現在吧？","2","1","10010","vo_minigame_1004","1001002","vo_minigame_1004_top_2_013"
"嘉夜夜，今後可是知性的時代哦？","1","2","10011","vo_minigame_1004","1001101","vo_minigame_1004_top_2_014"
"慢著！不要把我說得像笨蛋一樣！！","2","1","10011","vo_minigame_1004","1001102","vo_minigame_1004_top_2_015"
"來，讓妳見識一下我們的力量！","1","1","10012","vo_minigame_1004","1001201","vo_minigame_1004_top_2_016"
"咕麼！（交給我！）","3","2","10012","vo_minigame_1004","1001202","vo_minigame_1004_top_2_017"
"乖乖，很好，做得好的話，就給你巧克力！","1","1","10013","vo_minigame_1004","1001301","vo_minigame_1004_top_2_018"
"咕麼！（我 喜歡巧克力）","3","2","10013","vo_minigame_1004","1001302","vo_minigame_1004_top_2_019"
"喏，祈梨……妳是不是已經迷失當時的目的了？","2","1","10014","vo_minigame_1004","1001401","vo_minigame_1004_top_2_023"
"我當然記得，就是要打倒嘉夜夜，證明我們的智慧。","1","2","10014","vo_minigame_1004","1001402","vo_minigame_1004_top_2_024"
"就算對手是祈梨，我也不會把勝利讓給妳的！","2","1","10015","vo_minigame_1004","1001501","vo_minigame_1004_top_2_025"
"正合我意，我可不會手下留情哦！","1","2","10015","vo_minigame_1004","1001502","vo_minigame_1004_top_2_026"
"嘿，妳還滿行的嘛！","2","1","10016","vo_minigame_1004","1001601","vo_minigame_1004_top_2_027"
"嘉夜夜也比我想像的還厲害呢！","1","2","10016","vo_minigame_1004","1001602","vo_minigame_1004_top_2_028"
"喂～似龍生物？","2","1","10017","vo_minigame_1004","1001701","vo_minigame_1004_top_2_029"
"咕麼！？（噫！）","3","2","10017","vo_minigame_1004","1001702","vo_minigame_1004_top_2_030"
"哎呀，那時真是不好意思啊哈哈哈！","2","1","10018","vo_minigame_1004","1001801","vo_minigame_1004_top_2_031"
"咕麼麼麼……（嘉夜夜 好可怕）","3","2","10018","vo_minigame_1004","1001802","vo_minigame_1004_top_2_032"
"你啊……還真是一臉呆樣呢。","2","1","10019","vo_minigame_1004","1001901","vo_minigame_1004_top_2_033"
"咕麼……（妳還 敢說我）","3","2","10019","vo_minigame_1004","1001902","vo_minigame_1004_top_2_034"
"咕麼……（肚子餓了 想要巧克力）","3","2","10020","vo_minigame_1004","1002001","vo_minigame_1004_top_2_044"
"怎麼了？睏了嗎？","2","1","10020","vo_minigame_1004","1002002","vo_minigame_1004_top_2_045"
"咕麼麼（這傢伙……好危險）","3","2","10021","vo_minigame_1004","1002101","vo_minigame_1004_top_2_046"
"嗯？　怎麼了？想當我的小弟嗎？","2","1","10021","vo_minigame_1004","1002102","vo_minigame_1004_top_2_047"
"咕麼……（嘉夜夜是 肌肉笨蛋）","3","2","10022","vo_minigame_1004","1002201","vo_minigame_1004_top_2_048"
"喂，你現在在想沒禮貌的事吧？","2","1","10022","vo_minigame_1004","1002202","vo_minigame_1004_top_2_049"
"欸，這個要持續到什麼時候？","2","1","10023","vo_minigame_1004","1002301","vo_minigame_1004_top_3_058"
"到嘉夜夜投降為止！","1","2","10023","vo_minigame_1004","1002302","vo_minigame_1004_top_3_059"
"咕麼麼！（給我投降！）","3","2","10023","vo_minigame_1004","1002303","vo_minigame_1004_top_3_060"
"咕麼！（祈梨 我想要巧克力）","3","2","10024","vo_minigame_1004","1002401","vo_minigame_1004_top_3_065"
"真拿你沒辦法，不可以吃太多哦！","1","1","10024","vo_minigame_1004","1002402","vo_minigame_1004_top_3_066"
"你好像很喜歡伴手禮的巧克力呢。","2","1","10024","vo_minigame_1004","1002403","vo_minigame_1004_top_3_067"
"咕麼！（我不會輸給 嘉夜夜！）","3","2","10025","vo_minigame_1004","1002501","vo_minigame_1004_top_3_068"
"哦？怎麼了？是肚子餓了嗎？","2","1","10025","vo_minigame_1004","1002502","vo_minigame_1004_top_3_069"
"……完全無法溝通。","1","2","10025","vo_minigame_1004","1002503","vo_minigame_1004_top_3_070"
