d87364304ef2783989ea4cf556ae4d7713226b2e2f02416360c232bdae13e540,a9a1a617ed07bc19e6f681223fcd9b9eeacd2f789a60fe2365bf43c8bcc1ef20,8192c8e857598f929d7d06988965c5e799f54f2f61ce9b5cdd62b39da4cef790,1c27615dc951af765a7a49a977b6f308540abbbc5cfe16aee75e9b6795b572c8,f3c65f5a4338575da1ce18db478f269243349e3720fa20a44c8bf0b06d8a1ad1,e4b2b2ca9fc42294f9708ca4fa8c89eb9ad2d3822c5ab35483a254e54966debf,970bbf1f78db6c2f5aa14a0af271d6281a60dd1785061fd100ea87339e216fd7
"10064","4","1006401","開幕式","0","20036104","0"
"10064","3","1006402","開幕式","0","20036104","0"
"10064","1","1006403","賽跑","0","20036104","1006402"
"10064","4","1006404","賽跑","0","20036104","1006402"
"10064","2","1006405","賽跑","0","20036104","1006402"
"10064","2","1006406","騎馬戰","0","20036104","1006405"
"10064","4","1006407","騎馬戰","0","20036104","1006405"
"10064","3","1006408","午休時間","0","20036106","1006406"
"10064","4","1006409","午休時間","0","20036106","1006406"
"10064","3","1006410","各種學術文化展覽","0","20036106","1006408"
"10064","4","1006411","各種學術文化展覽","0","20036106","1006408"
"10064","1","1006412","各種學術文化展覽","0","20036106","1006408"
"10064","4","1006413","女僕咖啡廳","0","20036108","1006410"
"10064","3","1006414","女僕咖啡廳","0","20036108","1006410"
"10064","3","1006415","綜合接力賽","0","20036113","1006414"
"10064","4","1006416","綜合接力賽","0","20036113","1006414"
"10064","1","1006417","頒獎典禮","2003601","0","1006415"
"10064","4","1006418","頒獎典禮","2003601","0","1006415"
"10064","2","1006419","頒獎典禮","2003601","0","1006415"
"10064","3","1006420","閉幕式","2003601","0","1006419"
"10064","4","1006421","閉幕式","2003601","0","1006419"
"10064","4","1006422","達成動畫","2003601","0","1006420"
