1be9f106693ddade2de599ae13ce2646086e14606c9d088b6729428376142339,cce55926e1bed4c15642c21ad8f7e6f4aabd94a134685d44f70dfc2ead0b06ef,477087b3b1eaee262f88213198e401ff9d50ad9a76016a5d064a4c1f1a3211da,2bd684b1e6c18d97e44189e6f5d6b5c0b89299fd1218b9656830202f72b751d9,0a021091a117886721188b1d08bd7041a7ff55c1511dd1a5cff4a680f4ee836f,3244f5d0cee4d6edf741ee3b80e3fa5a77afd9a00af24b892c6ffa2018283073,51f68cd476eb513510dc3f9bd950b4bb1799eacb879177b8a1a1b64e4ae83211,42ce5ccc8ed2396b5e606e2611dc4a33f665985864e54a71707d75a981625103,fb65e5b14118de9d3d887954d58190bb10dcb241bb9185065dfa5d932c90f877,87394c6e58c818db73594d64cde04a5d7f21fcd9139d04f1d6392e5f3e795821,cfeaa52591c380cca37dedd2099f6c48bb0b6849a67cdfcefd068e0749a3c011
"64","1","pkb_idle_normal","1","113511","1","1","1010001","1.65","100","-175"
"","3","","113511","pkb_talk_wish","1","","1010002","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_101","1","","1010003","","0",""
"0","11","0","113511","今天也和老師\n一起努力加油吧～","1","0","1010004","0","8","0"
"","91","","0","","1","","1010005","","",""
"","3","","113511","pkb_idle_normal","1","","1010006","0.2","1",""
"64","1","pkb_idle_normal","1","113511","2","1","1020001","1.65","100","-175"
"","3","","113511","pkb_talk_wish","2","","1020002","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_102","2","","1020003","","0",""
"0","11","0.5","113511","老師很相信\n大家的實力喔～！\n要加油喲～♪","2","0","1020004","0","6","0"
"","93","","6","","2","","1020005","","",""
"pkb_idle_normal","3","","113511","pkb_talk_fun","2","","1020006","0.2","0","1"
"","91","","1020004","","2","","1020007","","",""
"","3","","113511","pkb_idle_normal","2","","1020008","0.2","1",""
"64","1","pkb_idle_normal","1","113511","3","1","1030001","1.65","100","-175"
"pkb_idle_normal","3","","113511","pkb_smile","3","0.2","1030002","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_103","3","","1030003","","0",""
"0","11","0","113511","要小心別受傷喔，\n不可以勉強自己～♪","3","0","1030004","0","6","0"
"","93","","2","","3","","1030005","","",""
"","3","","113511","pkb_talk_wish","3","","1030006","0.2","1",""
"","91","","1030004","","3","","1030007","","",""
"","3","","113511","pkb_idle_normal","3","","1030008","0.2","1",""
"64","5","pkb_idle_normal_l","3","3","4","1","1040001","57","100","-155"
"pkb_idle_arm_crossed_l","3","","3","pkb_talk_arm_crossed_l","4","0.2","1040002","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_601","4","","1040003","","0",""
"0","11","0","3","今天的練習\n我也不會手下留情的！\n好好跟上我吧！","4","","1040004","0","8","0"
"","91","","0","","4","","1040005","","",""
"","3","","3","pkb_idle_normal_l","4","","1040006","0.2","1",""
"64","5","pkb_idle_normal_l","3","3","5","1","1050001","57","100","-155"
"pkb_idle_arm_crossed_l","3","","3","pkb_talk_arm_crossed_l","5","0.2","1050002","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_602","5","","1050003","","0",""
"0","11","0","3","很好！\n提起幹勁\n開始練習吧──！","5","","1050004","0","8","0"
"","93","","2","","5","","1050005","","",""
"pkb_idle_normal_l","3","","3","pkb_talk_handsup_l","5","0.2","1050006","0.2","0","1"
"","91","","1050004","","5","","1050007","","",""
"","3","","3","pkb_idle_normal_l","5","","1050008","0.2","1",""
"64","5","pkb_idle_normal_l","3","3","6","1","1060001","57","100","-155"
"pkb_idle_arm_crossed_l","3","","3","pkb_talk_arm_crossed_l","6","0.2","1060002","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_603","6","","1060003","","0",""
"0","11","0","3","可別因為這是練習，\n就讓我看見你們\n散漫的樣子啊！","6","","1060004","0","8","0"
"","93","","3","","6","","1060005","","",""
"pkb_idle_guts_l","3","","3","pkb_talk_guts_l","6","","1060006","0.2","0","1"
"","91","","1060004","","6","","1060007","","",""
"","3","","3","pkb_idle_normal_l","6","","1060008","0.2","1",""
"64","1","pkb_idle_normal","1","113411","7","1","1070001","1.65","100","-175"
"pkb_talk_joy1","3","","113411","pkb_talk_fun","7","0.2","1070002","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_201","7","","1070003","","0",""
"0","11","0","113411","加油～加油～！\n今天也要努力加油喔！\n打起精神上吧～！","7","0","1070004","0","8","0"
"","93","","3.4","","7","","1070005","","",""
"pkb_idle_normal","3","","113411","pkb_talk_handsup","7","0.2","1070006","0.2","0","1"
"","91","","1070004","","7","","1070007","","",""
"","3","","113411","pkb_idle_normal","7","","1070008","0.2","1",""
"64","1","pkb_idle_normal","1","113411","8","1","1080001","1.65","100","-175"
"","3","","113411","pkb_talk_joy2","8","","1080002","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_202","8","","1080003","","0",""
"0","11","-1","113411","初音也要一起\n幫忙練習～！\n閃亮亮～☆","8","0","1080004","0","8","0"
"","93","","3.6","","8","","1080005","","",""
"","3","","113411","pkb_hatsune_kiran","8","","1080006","0.2","0",""
"","91","","1080004","","8","","1080007","","",""
"","3","","113411","pkb_idle_normal","8","","1080008","0.2","1",""
"64","1","pkb_idle_normal","1","113411","9","1","1090001","1.65","100","-175"
"","3","","113411","pkb_talk_joy2","9","","1090002","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_203","9","","1090003","","0",""
"0","11","0","113411","我也想試著投投看！\n我要用超能……不對，\n是用魔法，來投出\n很強力的球！","9","0","1090004","0","6","0"
"","93","","3","","9","","1090005","","",""
"pkb_idle_surprise1","3","","113411","pkb_surprise","9","0.2","1090006","0.2","0","1"
"","93","","1","","9","","1090007","","",""
"","3","","113411","pkb_talk_joy3","9","","1090008","0.2","1",""
"","91","","1090004","","9","","1090009","","",""
"","3","","113411","pkb_idle_normal","9","","1090010","0.2","1",""
"64","1","pkb_idle_normal","1","106531","10","1","1100001","1.65","100","-175"
"pkb_idle_arm_crossed","3","","106531","pkb_talk_arm_crossed","10","","1100002","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_301","10","","1100003","","0",""
"0","11","0","106531","欸，趕快開始練習吧，\n我已經按捺不住，\n好想趕快投球啊！","10","0","1100004","0","8","0"
"","93","","2.8","","10","","1100005","","",""
"","3","","106531","pkb_talk_joy1","10","","1100006","0.2","1",""
"","91","","1100004","","10","","1100007","","",""
"","3","","106531","pkb_idle_normal","10","","1100008","0.2","1",""
"64","1","pkb_idle_normal","1","106531","11","1","1110001","1.65","100","-175"
"","3","","106531","pkb_talk_normal","11","","1110002","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_302","11","","1110003","","0",""
"0","11","0","106531","老娘的特訓可不是\n鬧著玩的，做好\n心理準備了吧？","11","0","1110004","0","8","0"
"","93","","3.2","","11","","1110005","","",""
"pkb_idle_arm_crossed","3","","106531","pkb_talk_arm_crossed","11","0.2","1110006","0.2","0","1"
"","91","","1110004","","11","","1110007","","",""
"","3","","106531","pkb_idle_normal","11","","1110008","0.2","1",""
"64","1","pkb_idle_normal","1","106531","12","1","1120001","1.65","100","-175"
"pkb_idle_arm_crossed","3","","106531","pkb_talk_arm_crossed","12","0.2","1120002","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_303","12","","1120003","","0",""
"0","11","0.5","106531","你們的氣勢可不是\n只有嘴上功夫吧？\n展現給我看看！","12","0","1120004","0","8","0"
"","93","","3.2","","12","","1120005","","",""
"pkb_idle_doya","3","","106531","pkb_talk_doya","12","","1120006","0.2","0","1"
"","91","","1120004","","12","","1120007","","",""
"","3","","106531","pkb_idle_normal","12","","1120008","0.2","1",""
"64","1","pkb_idle_normal","1","102311","13","1","1130001","1.65","100","-175"
"pkb_talk_joy1","3","","102311","pkb_talk_fun","13","0.4","1130002","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_401","13","","1130003","","0",""
"0","11","0","102311","今天也要打很多球！\n一起加油吧，\n噗吉！","13","0","1130004","0","8","0"
"","91","","1130004","","13","","1130005","","",""
"","3","","102311","pkb_idle_normal","13","","1130006","0.2","1",""
"64","1","pkb_idle_normal","1","102311","14","1","1140001","1.65","100","-175"
"","3","","102311","pkb_talk_joy1","14","","1140002","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_402","14","","1140003","","0",""
"0","11","0","102311","只要全部都打出\n全壘打就好了是吧？\n這點程度很簡單啦！","14","0","1140004","0","8","0"
"","93","","3","","14","","1140005","","",""
"pkb_idle_doya","3","","102311","pkb_talk_doya","14","","1140006","0.2","0","1"
"","91","","1140004","","14","","1140007","","",""
"","3","","102311","pkb_idle_normal","14","","1140008","0.2","1",""
"64","1","pkb_idle_normal","1","102311","15","1","1150001","1.65","100","-175"
"","3","","102311","pkb_talk_wish","15","","1150002","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_403","15","","1150003","","0",""
"0","11","-0.5","102311","為了可以成為哥哥\n他們的榜樣，\n我會努力打很多球的！","15","0","1150004","0","8","0"
"","93","","2.4","","15","","1150005","","",""
"pkb_talk_joy1","3","","102311","pkb_talk_fun","15","0.4","1150006","0.2","0","1"
"","91","","1150004","","15","","1150007","","",""
"","3","","102311","pkb_idle_normal","15","","1150008","0.2","1",""
"64","5","pkb_idle_normal_l","1","1","16","1","1160001","57","100","-155"
"pkb_idle_arm_crossed_l","3","","1","pkb_talk_arm_crossed_l","16","0.2","1160002","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_701","16","","1160003","","0",""
"0","11","0","1","以全國大賽為目標，\n今天也來努力練習吧！","16","0","1160004","0","8","0"
"","93","","2.6","","16","","1160005","","",""
"pkb_idle_doya_l","3","","1","pkb_talk_doya_l","16","0.2","1160006","0.2","0","1"
"","91","","1160004","","16","","1160007","","",""
"","3","","1","pkb_idle_normal_l","16","","1160008","0.2","1",""
"64","5","pkb_idle_normal_l","1","1","17","1","1170001","57","100","-155"
"pkb_idle_guts_l","3","","1","pkb_talk_guts_l","17","","1170002","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_702","17","","1170003","","0",""
"0","11","0","1","為了實現夢想，\n大家來盡全力\n練習吧！","17","0","1170004","0","8","0"
"","91","","0","","17","","1170005","","",""
"","3","","1","pkb_idle_normal_l","17","","1170006","0.2","1",""
"64","5","pkb_idle_normal_l","1","1","18","1","1180001","57","100","-155"
"pkb_idle_arm_crossed_l","3","","1","pkb_talk_arm_crossed_l","18","0.2","1180002","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_703","18","","1180003","","0",""
"0","11","0","1","社員們也都\n進步了好多……\n我可不能落後了！","18","0","1180004","0","8","0"
"","93","","2.9","","18","","1180005","","",""
"pkb_idle_guts_l","3","","1","pkb_talk_guts_l","18","","1180006","0.2","0","1"
"","91","","1180004","","18","","1180007","","",""
"","3","","1","pkb_idle_normal_l","18","","1180008","0.2","1",""
"64","5","pkb_idle_normal_l","2","2","19","1","1190001","57","100","-155"
"pkb_idle_arm_crossed_l","3","","2","pkb_talk_arm_crossed_l","19","0.2","1190002","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_801","19","","1190003","","0",""
"0","11","0","2","我會把我的進步\n展現出來，畢竟\n我也是選手啊。","19","0","1190004","0","8","0"
"","93","","3.8","","19","","1190005","","",""
"pkb_idle_guts_l","3","","2","pkb_talk_guts_l","19","","1190006","0.2","0","1"
"","91","","1190004","","19","","1190007","","",""
"","3","","2","pkb_idle_normal_l","19","","1190008","0.2","1",""
"64","5","pkb_idle_normal_l","2","2","20","1","1200001","57","100","-155"
"pkb_idle_guts_l","3","","2","pkb_talk_guts_l","20","","1200002","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_802","20","","1200003","","0",""
"0","11","0","2","今天我也要把球打飛！\n不用客氣，\n對我使出全力吧。","20","0","1200004","0","8","0"
"","93","","3.2","","20","","1200005","","",""
"pkb_idle_doya_l","3","","2","pkb_talk_doya_l","20","","1200006","0.2","0","1"
