3192056dcce963a5a434d27d87813af28023553bb0d85061ffc2dcfc8a90f0f8,baf0345f58561e8aab97cb7fd648ba9da0d14ac6f9c6fb8af312240742fdddd7,77bc5899e747bfdbb067b0799bb912d60018fb8ad61dce613f780d356e5fb3ee,647be21a0cd678df005dffeadcd8d1d12f8fc5e3c87bf179b5e2e66acade577b,db418c4fe4a0bcff9efef876ea6f0f22cffcb202bc7603a8ca039ab4644078eb,9676dae4940886133d064d3585302a178e2566e41b7696707f268ea38416f751,a2403a9d99a8dbc0ea814e2690e310f491452247ddf5a2df8a9e0cf1abebe756,9dba076e8fb1011de96010c7686b10852753d2b1b10caa12afd8c19ed630f20f,97526383bed9b96370818c28aa72a0fcb1bb51307609158e44ba4d3c5c07e7e8,61b6252519fc6dae35f52463e969e37aa47ebf438a7664a6a45beeffa24a5b75,8a6bb46eec48f625492b5fc2f87d59f096160ad7b7a5a099523a1a0fe756ab50
"","se_travel_finish_assemble","1010010001","se_travel","","23","","","0","1001",""
"travel_exdrama_r_100_run","1000001","1010010002","1","0","1","-160","1.46","1","1001","-275"
"travel_exdrama_r_100_run","1000002","1010010003","1","0","1","-200","1.46","2","1001","-575"
"travel_exdrama_r_100_run","1000003","1010010004","1","0","1","-250","1.46","3","1001","-750"
"travel_exdrama_r_100_run","1000004","1010010005","1","1","1","-175","1.46","4","1001","575"
"travel_exdrama_r_100_run","1000005","1010010006","1","1","1","-250","1.46","5","1001","750"
"","-100","1010010007","1000001","","2","0","","-160","1001","1"
"","-275","1010010008","1000002","","2","0","","-200","1001","1"
"","-450","1010010009","1000003","","2","0","","-250","1001","1"
"","275","1010010010","1000004","","2","0","","-175","1001","1"
"","450","1010010011","1000005","","2","0","","-250","1001","1"
"","0","1010010012","1","","93","0","","0","1001","0"
"","travel_exdrama_r_100_raiseup","1010010013","1000001","0","3","0","0.2","0","1001",""
"","travel_exdrama_r_100_idle","1010010014","1000002","0","3","0","0","1","1001",""
"","travel_exdrama_r_100_idle","1010010015","1000003","0","3","0","0","1","1001",""
"","travel_exdrama_r_100_idle","1010010016","1000004","0","3","0","0","1","1001",""
"","travel_exdrama_r_100_idle","1010010017","1000005","0","3","0","0","1","1001",""
"travel_exdrama_r_100_raiseup","1","1010010018","1","0","5","-160","1.46","11","1001","-100"
"","0","1010010019","1","","93","","","","1001",""
"","","1010010020","1000001","","6","0","0.12","","1001",""
"","","1010010021","1000002","","6","0","0.12","","1001",""
"","","1010010022","1000003","","6","0","0.12","","1001",""
"","","1010010023","1000004","","6","0","0.12","","1001",""
"","","1010010024","1000005","","6","0","0.12","","1001",""
"","","1010010025","1","","6","0","0.12","","1001",""
"","0","1010010026","0.12","","93","","","","1001",""
"","","1010010027","0","","91","","","","1001",""
"","se_travel_finish_assemble","1010020001","se_travel","","23","","","0","1002",""
"travel_exdrama_r_100_run","1000001","1010020002","1","0","1","-160","1.46","1","1002","-275"
"travel_exdrama_r_100_run","1000002","1010020003","1","0","1","-200","1.46","2","1002","-575"
"travel_exdrama_r_100_run","1000003","1010020004","1","0","1","-250","1.46","3","1002","-750"
"travel_exdrama_r_100_run","1000004","1010020005","1","1","1","-175","1.46","4","1002","575"
"travel_exdrama_r_100_run","1000005","1010020006","1","1","1","-250","1.46","5","1002","750"
"","10000","1010020007","10000","","31","1","0","-40","1002","20"
"","-100","1010020008","1000001","","2","0","","-160","1002","1"
"","-275","1010020009","1000002","","2","0","","-200","1002","1"
"","-450","1010020010","1000003","","2","0","","-250","1002","1"
"","275","1010020011","1000004","","2","0","","-175","1002","1"
"","450","1010020012","1000005","","2","0","","-250","1002","1"
"","0","1010020013","1","","93","0","","0","1002","0"
"","travel_exdrama_r_100_raiseup","1010020014","1000001","0","3","0","0.2","0","1002",""
"","travel_exdrama_r_100_idle","1010020015","1000002","0","3","0","0","1","1002",""
"","travel_exdrama_r_100_idle","1010020016","1000003","0","3","0","0","1","1002",""
"","travel_exdrama_r_100_idle","1010020017","1000004","0","3","0","0","1","1002",""
"","travel_exdrama_r_100_idle","1010020018","1000005","0","3","0","0","1","1002",""
"travel_exdrama_r_100_raiseup","1","1010020019","1","0","5","-160","1.46","11","1002","-100"
"","0","1010020020","0.4","","93","0","0","0","1002","0"
"","1","1010020021","10000","","32","0","","","1002",""
"","0","1010020022","0.6","","93","","","","1002",""
"","","1010020023","1000001","","6","0","0.12","","1002",""
"","","1010020024","1000002","","6","0","0.12","","1002",""
"","","1010020025","1000003","","6","0","0.12","","1002",""
"","","1010020026","1000004","","6","0","0.12","","1002",""
"","","1010020027","1000005","","6","0","0.12","","1002",""
"","","1010020028","1","","6","0","0.12","","1002",""
"","0","1010020029","0.12","","93","","","","1002",""
"","","1010020030","0","","91","","","","1002",""
"","10100","1010110001","10100","","31","1","1","-350","1011","5"
"","10002","1010110002","10002","","31","1","0","-525","1011","50"
"","10101","1010110003","10101","","31","1","1","-184","1011","-121"
"","10102","1010110004","10102","","31","1","0","-350","1011","5"
"","10103","1010110005","10103","","31","1","0","-350","1011","5"
"","10104","1010110006","10104","","31","1","0","-350","1011","5"
"travel_exdrama_r_101_walk","1000001","1010110007","1","0","1","-200","1.46","11","1011","-470"
"travel_exdrama_r_101_walk","1000002","1010110008","1","0","1","-150","1.46","1","1011","-320"
"travel_exdrama_r_101_walk","1","1010110009","1","0","5","-200","1.46","12","1011","-470"
"travel_exdrama_r_101_walk","2","1010110010","1","0","5","-150","1.46","2","1011","-320"
"","se_travel_finish_cave_rare","1010120001","se_travel","","23","","","0","1012",""
"","-500","1010120002","1000001","","2","0","","-200","1012","0.1"
"","-350","1010120003","1000002","","2","0","","-150","1012","0.1"
"","-500","1010120004","1","","2","0","","-200","1012","0.1"
"","-350","1010120005","2","","2","0","","-150","1012","0.1"
"","travel_exdrama_r_101_joy","1010120006","1000001","0.2","3","1","0.2","0","1012","travel_exdrama_r_101_walk"
"","travel_exdrama_r_101_joy","1010120007","1000002","0.2","3","1","0.2","0","1012","travel_exdrama_r_101_walk"
"","travel_exdrama_r_101_joy","1010120008","1","0.2","3","1","0.2","0","1012","travel_exdrama_r_101_walk"
"","travel_exdrama_r_101_joy","1010120009","2","0.2","3","1","0.2","0","1012","travel_exdrama_r_101_walk"
"","0","1010120010","10101","","32","","","0","1012",""
"","1","1010120011","10102","","32","","","0","1012",""
"","0","1010120012","1.66","","93","","","","1012",""
"","1","1010120013","10101","","32","","","0","1012",""
"","0","1010120014","10102","","32","","","0","1012",""
"","-470","1010120015","1000001","","2","0","","-200","1012","0.2"
"","-320","1010120016","1000002","","2","0","","-150","1012","0.2"
"","-470","1010120017","1","","2","0","","-200","1012","0.2"
"","-320","1010120018","2","","2","0","","-150","1012","0.2"
"","se_travel_finish_cave_event","1010130001","se_travel","","23","","","0","1013",""
"","travel_exdrama_r_101_panic_A","1010130002","1000001","0","3","1","0.2","0","1013","travel_exdrama_r_101_walk"
"","travel_exdrama_r_101_panic_B","1010130003","1000002","0","3","1","0.2","0","1013","travel_exdrama_r_101_walk"
"","travel_exdrama_r_101_panic_A","1010130004","1","0","3","1","0.2","0","1013","travel_exdrama_r_101_walk"
"","travel_exdrama_r_101_panic_B","1010130005","2","0","3","1","0.2","0","1013","travel_exdrama_r_101_walk"
"","1","1010130006","10002","","32","","","","1013",""
"","1","1010130007","10103","","32","","","","1013",""
"","0","1010130008","3","","93","","","","1013",""
"","0","1010130009","10002","","32","","","","1013",""
"","0","1010130010","10103","","32","","","","1013",""
"","-500","1010140001","1000001","0","2","0","0","-200","1014","0.1"
"","-350","1010140002","1000002","0","2","0","0","-150","1014","0.1"
"","-500","1010140003","1","0","2","0","0","-200","1014","0.1"
"","-350","1010140004","2","0","2","0","0","-150","1014","0.1"
"","travel_exdrama_r_finish_B_hand","1010140005","1000001","0","3","0","0","0","1014",""
"","travel_exdrama_r_finish_B_hand","1010140006","1000002","0","3","0","0","0","1014",""
"","travel_exdrama_r_101_finish","1010140007","1","0","3","0","0","0","1014",""
"","travel_exdrama_r_101_finish","1010140008","2","0","3","0","0","0","1014",""
"","0","1010140009","10101","","32","","","0","1014",""
"","1","1010140010","10104","","32","","","0","1014",""
"","10200","1010210001","10200","","31","1","1","-350","1021","5"
"","10201","1010210002","10201","","31","1","0","-350","1021","5"
"","10202","1010210003","10202","","31","1","0","-350","1021","5"
"","10203","1010210004","10203","","31","1","0","-490","1021","86"
"","10204","1010210005","10204","","31","1","0","-200","1021","105"
"","10001","1010210006","10001","","31","1","0","-525","1021","50"
"travel_exdrama_r_102_book","1000001","1010210007","1","0","1","-180","1.46","1","1021","-490"
"travel_exdrama_r_102_loupe","1000002","1010210008","1","0","1","-180","1.46","2","1021","-200"
"travel_exdrama_r_102_book","1","1010210009","1","0","5","-180","1.46","11","1021","-490"
"travel_exdrama_r_102_loupe","2","1010210010","1","0","5","-180","1.46","12","1021","-200"
"reliclight_none","5","1010210011","5","0","5","-136","2","13","1021","-339"
"","se_travel_finish_ruins_rare","1010220001","se_travel","","23","","","0","1022",""
"","travel_exdrama_r_102_bookFind_A","1010220002","1000001","0.2","3","1","0.2","0","1022","travel_exdrama_r_102_book"
"","travel_exdrama_r_102_loupeFind_A","1010220003","1000002","0.2","3","1","0.2","0","1022","travel_exdrama_r_102_loupe"
"","travel_exdrama_r_102_bookFind_A","1010220004","1","0.2","3","1","0.2","0","1022","travel_exdrama_r_102_book"
"","travel_exdrama_r_102_loupeFind_A","1010220005","2","0.2","3","1","0.2","0","1022","travel_exdrama_r_102_loupe"
"","1","1010220006","10202","","32","","","","1022",""
"","1","1010220007","10203","","32","","","","1022",""
"","1","1010220008","10204","","32","","","","1022",""
"","0","1010220009","1.66","","93","","","","1022",""
"","0","1010220010","10202","","32","","","","1022",""
"","0","1010220011","10203","","32","","","","1022",""
"","0","1010220012","10204","","32","","","","1022",""
"","se_travel_finish_ruins_event","1010230001","se_travel","","23","","","0","1023",""
"","travel_exdrama_r_102_bookFind_B","1010230002","1000001","0","3","1","0.2","0","1023","travel_exdrama_r_102_book"
"","travel_exdrama_r_102_loupeFind_B","1010230003","1000002","0","3","1","0.2","0","1023","travel_exdrama_r_102_loupe"
"","travel_exdrama_r_102_bookFind_B","1010230004","1","0","3","1","0.2","0","1023","travel_exdrama_r_102_book"
"","travel_exdrama_r_102_loupeFind_B","1010230005","2","0","3","1","0.2","0","1023","travel_exdrama_r_102_loupe"
