ba3f32e0fbb95a77a80cbf0b1e9a23afeca4238dd2a94bab5ed2fce32aa98bee,5f94f65ab2148c5dad636e4571c1c88cf5f4cc2011f7614dc212228667b743c3,4d47a75e82acf46e666851b87faed96b70b6813772b1825ef9520a5a3e51b0c2,539c7c526edff00c3377fbb1f30409cbe555472684fb683f6250ebfa38bee775,ce741b61e85d2242870191e966aff4fb7bd899b57e7e53d902940df9c9838316,0a820c03a7d273e83d51af010ed4ace090be1d599c1e9065bb50a0dc52746388,442e3b8e6a17ad77e5e2c1e25afbde4393c96f6d55b1c339160b59506f78605c,d926a8636db7dbb8e078259de193179ea7b726ed4b008e8c89f6ba25552fcf85,0abc3cf6d150702bbde71c15057bb276729d1323ac2b49686772cc836e50b1c2,e23d30279cdc8a3b5a466595ee3416547d127dce08dbdba8d248681906d5d1dd,1d52a22b85e4835533bd38763cbfc72f8fc0c0842348eacb81fc0db43f977241
"20062115","207300","10116111","0","0","1","10116","0","0","岩浣熊的生態筆記①","1"
"0","207300","10116112","0","0","1","10116","0","0","岩浣熊的生態筆記②","2"
"0","207300","10116113","0","0","1","10116","0","0","岩浣熊的生態筆記③","3"
"0","207300","10116114","0","0","1","10116","0","0","岩浣熊的生態筆記④","4"
"0","207300","10116115","75","8","1","10116","1","91002","洗東西的師傅大人","5"
"0","207000","10116121","0","0","1","10116","0","0","小狸貓的生態筆記①","1"
"0","207000","10116122","0","0","1","10116","0","0","小狸貓的生態筆記②","2"
"0","207000","10116123","0","0","1","10116","0","0","小狸貓的生態筆記③","3"
"0","207000","10116124","0","0","1","10116","0","0","小狸貓的生態筆記④","4"
"0","207000","10116125","75","8","1","10116","1","91002","小小的重逢與幻惑","5"
"0","305700","10116131","0","0","1","10116","0","0","哥布林王者的生態筆記①","1"
"0","305700","10116132","0","0","1","10116","0","0","哥布林王者的生態筆記②","2"
"0","305700","10116133","0","0","1","10116","0","0","哥布林王者的生態筆記③","3"
"0","305700","10116134","0","0","1","10116","0","0","哥布林王者的生態筆記④","4"
"0","305700","10116135","75","8","1","10116","1","91002","學習先從表面開始","5"
"20062115","206900","10116211","0","0","2","10116","0","0","沉睡之梟的生態筆記①","1"
"0","206900","10116212","0","0","2","10116","0","0","沉睡之梟的生態筆記②","2"
"0","206900","10116213","0","0","2","10116","0","0","沉睡之梟的生態筆記③","3"
"0","206900","10116214","0","0","2","10116","0","0","沉睡之梟的生態筆記④","4"
"0","206900","10116215","75","8","2","10116","1","91002","舒服到升天的睡眠感覺","5"
"0","304600","10116221","0","0","2","10116","0","0","雷雷的生態筆記①","1"
"0","304600","10116222","0","0","2","10116","0","0","雷雷的生態筆記②","2"
"0","304600","10116223","0","0","2","10116","0","0","雷雷的生態筆記③","3"
"0","304600","10116224","0","0","2","10116","0","0","雷雷的生態筆記④","4"
"0","304600","10116225","75","8","2","10116","1","91002","重視各自的生存方式","5"
"0","215300","10116231","0","0","2","10116","0","0","喵特的生態筆記①","1"
"0","215300","10116232","0","0","2","10116","0","0","喵特的生態筆記②","2"
"0","215300","10116233","0","0","2","10116","0","0","喵特的生態筆記③","3"
"0","215300","10116234","0","0","2","10116","0","0","喵特的生態筆記④","4"
"0","215300","10116235","75","8","2","10116","1","91002","你教會我的事","5"
