abea5a15c82e21bc39fc019b1cfee5a06e34249c936e70e4b4153673a7dfaac4,7ca74aa0576dd99a06d6456c01e0617a4eaec3eff8dbe79493e37405ae621efb,083d89a74d10a2ef4bb458fc6e908a0da2e7a4d79daca89546fbcb40a881bb2e,3aa81b727cf3876f10d896562ee8237e3fb3bac9197d83997a7f1e25fbb53e99,80d1a62b82af64eb30f0c014dbee11c9bf999fc96031c7139286ceb31d58bb1c,ec3e4e7d252f534fa699aa7a0a80aa07eed6d94649252eb040e1e1fe45b1044d,a9f5e24e97d85ca403dfabd2adf1c06663847ca0ae63ca43bd1ff4d40b1816d9,c24ffc649608330aed3646a1851cb51ccab7c1c3e5638018f8cd5a282de3b43c,3b88aa8fb16822ea7b0932c5b89cd96b2dfdc6c0523774a3f3645a8872d1c2f8,bf880f196740a558e2349ced9c5bf1d9edb91096c9cf2502b21a1d97ea93a9f9,9bd4bbcc7396936e17d841707865c556270d9ec8853688244fb86759598b5018,e50561ea4927d1aab9de08815e777849250a58aa606b745c0dd0c71e7a5e94c0,566586014ca3276d3f7231ac7b840b1079de1e603b8090e01e00d1e9b4c228e3,815a225fc89e68f843559d91534c211dd9b119ea20795ae7259dcf557853caa3,ba27f1154917038ddf92979b2b6e4989bef6f414d68ee0f0906fbe7cef6598c3,8d1f4a909b1757e4e0b0464abd88471bd490f1daa1e3ac49396b4468fe2950b2,8397f045bd1d1df073dc56538ae2bc3ef72703f4865d330ce6de75eb1ef322ef,61d8f49dbc4bf7f271e81e5e2fa0b7c3122dac31c0decbd8c216daec31c1c77d,cbdc9c6a9cde7db4f5a516193e4844d1bf8c53a9141bfbb41156607d7b9940f9
"100701","6","90","6","6","-100","1","112201","6","103401","1001","1","0","100111","100701","100003","123001","6","105501"
"103401","6","90","6","6","-100","2","105101","6","103401","1001","1","0","100112","106601","100003","123001","6","100901"
"110301","6","90","6","6","-100","3","106901","6","113401","1001","1","0","100113","112701","100003","101801","6","110301"
"100201","4","90","4","5","-100","1","123001","4","103401","1001","2","0","100121","102901","100003","100201","4","117301"
"104001","4","90","4","4","-100","2","110301","4","117301","1001","2","0","100122","104801","100003","104001","4","105101"
"101401","4","90","4","4","-100","3","100801","5","118001","1001","2","0","100123","101401","100003","111001","4","118501"
"112201","1","90","2","3","-100","1","123001","2","117301","1001","3","0","100131","100701","100003","100801","1","112201"
"105501","2","90","2","1","-100","2","105501","1","106601","1001","3","0","100132","100501","100003","112201","1","103401"
"124501","3","90","1","2","-100","3","110301","2","104801","1001","3","0","100133","105401","100003","124501","1","113401"
"111401","6","90","6","6","-100","1","105001","6","103401","1002","1","0","100211","106601","100003","111401","6","117301"
"113401","6","90","6","6","-100","2","123001","6","105401","1002","1","0","100212","105201","100003","100801","6","113401"
"105501","6","90","6","6","-100","3","123001","6","103401","1002","1","0","100213","100501","100003","107701","6","105501"
"122801","4","90","4","4","-100","1","100901","5","103401","1002","2","0","100221","122801","100003","119001","4","124101"
"100501","5","90","4","4","-100","2","121101","4","100501","1002","2","0","100222","105201","100003","123001","4","103401"
"118501","5","90","4","5","-100","3","123001","4","103401","1002","2","0","100223","100701","100003","118501","4","105501"
"108901","3","90","2","1","-100","1","102601","1","108901","1002","3","0","100231","105201","100003","123001","1","103401"
"104801","3","90","1","2","-100","2","112201","2","102601","1002","3","0","100232","104801","100003","123001","1","113401"
"106001","7","90","2","2","-100","3","110301","1","114701","1002","3","0","100233","100701","100003","106001","1","100501"
"102901","6","90","6","6","-100","1","123001","6","122801","1003","1","0","100311","102901","100003","125101","6","103401"
"180301","6","90","6","6","-100","2","110301","6","106601","1003","1","0","100312","105401","100003","111001","6","180301"
"121401","6","90","6","6","-100","3","118001","6","121401","1003","1","0","100313","101401","100003","118501","6","123001"
"114701","5","90","4","4","-100","1","110301","4","106601","1003","2","0","100321","114701","100003","123001","4","103401"
