ff1a3d6a2a926873a2f80904a1ef2f8ca0153b42eaed8319a2abc4dc63dc5baf,4fdc418631ad2595ed87224b733c5746be1a8ae5e106db3f4ca11e3a2bf4a330,556d00820901664b259e68468a7a41ae718c188b020935334fb0a61787ae0598,2e3511439958538781be47eecaea88e9c6c237105567e629fd865752892abe22,e2ba759dafc3aa60e5e58c92e0f6295b9baeaca3c2c12e5c7a2c482247f4ee33,f8f40d34a3f1bbd35146c77b651bd455f03454dfd47177fdd47b07c045e73ef5,7c309d9f497a82f1a7f395ee82c72431f91ef492180f29d31315c6966199aeb3,9c3cc75c824161eb73bbe9faf371414fec446cdf908609f12cd8efb91247841f,a37bcc2d126a22b122621efb79d0a5813a91ca69cfbc56c6541c47084dbc7ee2
"9","1","1","1","8010","401707405","1","401707405","0"
"14","8010","8010","8010","8010","715707801","8010","715707801","0"
"15","8010","8010","8010","8010","715707801","8010","715707802","0"
"15","8010","8010","8010","8010","725707801","8010","725707801","0"
"36","8000","8000","8000","8000","74005101","8000","740051011","0"
"36","8000","8000","8000","8000","74005102","8000","740051021","0"
"36","8000","8000","8000","8000","74005103","8000","740051031","0"
"36","8000","8000","8000","8000","74005104","8000","740051041","0"
"36","8000","8000","8000","8000","74005105","8000","740051051","0"
"36","8000","8000","8000","8000","74005201","8000","740052011","0"
"36","8000","8000","8000","8000","74005202","8000","740052021","0"
"36","8000","8000","8000","8000","74005203","8000","740052031","0"
"36","8000","8000","8000","8000","74005204","8000","740052041","0"
"36","8000","8000","8000","8000","74005205","8000","740052051","0"
"36","8000","8000","8000","8000","74006101","8000","740061011","0"
"36","8000","8000","8000","8000","74006102","8000","740061021","0"
"36","8000","8000","8000","8000","74006103","8000","740061031","0"
"36","8000","8000","8000","8000","74006104","8000","740061041","0"
"36","8000","8000","8000","8000","74006105","8000","740061051","0"
"36","8000","8000","8000","8000","74006201","8000","740062011","0"
"36","8000","8000","8000","8000","74006202","8000","740062021","0"
"36","8000","8000","8000","8000","74006203","8000","740062031","0"
"36","8000","8000","8000","8000","74006204","8000","740062041","0"
"36","8000","8000","8000","8000","74006205","8000","740062051","0"
"36","8030","8030","8030","8030","74006502","8030","740065021","0"
"36","8010","8010","8010","8010","74006503","8010","740065031","0"
"36","8020","8020","8020","8020","74006504","8020","740065041","0"
"36","8020","8020","8020","8020","74006505","8020","740065051","0"
"55","8010","8010","8010","8010","760100061","8010","760100061","0"
"55","8010","8010","8010","8010","760100071","8010","760100071","0"
"55","8010","8010","8010","8010","760100081","8010","760100081","0"
"55","8010","8010","8010","8010","760100091","8010","760100091","0"
"55","8010","8010","8010","8010","760100101","8010","760100101","0"
"55","8010","8010","8010","8010","760200061","8010","760200061","0"
"55","8010","8010","8010","8010","760200071","8010","760200071","0"
"55","8010","8010","8010","8010","760200081","8010","760200081","0"
"55","8010","8010","8010","8010","760200091","8010","760200091","0"
"55","8010","8010","8010","8010","760200101","8010","760200101","0"
"55","8010","8010","8010","8010","760300011","8010","760300011","0"
"55","8010","8010","8010","8010","760300021","8010","760300021","0"
"55","8010","8010","8010","8010","760300031","8010","760300031","0"
"55","8010","8010","8010","8010","760300041","8010","760300041","0"
"55","8010","8010","8010","8010","760300051","8010","760300051","0"
"43","8000","8000","8000","8000","810010011","8010","810010011","0"
"43","8000","8000","8000","8000","810010021","8010","810010021","0"
"43","8000","8000","8000","8000","810010031","8010","810010031","0"
"43","8000","8000","8000","8000","810010041","8010","810010041","0"
"43","8000","8000","8000","8000","810010051","8010","810010051","0"
"43","8000","8000","8000","8000","810010061","8010","810010061","0"
"43","8000","8000","8000","8000","810010071","8010","810010071","0"
"43","8000","8000","8000","8000","810010081","8010","810010081","0"
"43","8000","8000","8000","8000","810010091","8010","810010091","0"
"43","8000","8000","8000","8000","810010101","8010","810010101","0"
"43","8000","8000","8000","8000","810010111","8010","810010111","0"
"43","8000","8000","8000","8000","810010121","8010","810010121","0"
"43","8000","8000","8000","8000","810010131","8010","810010131","0"
"43","8000","8000","8000","8000","810010141","8010","810010141","0"
"43","8000","8000","8000","8000","810010151","8010","810010151","0"
"43","8000","8000","8000","8000","810010161","8010","810010161","0"
"43","8000","8000","8000","8000","810010171","8010","810010171","0"
