46a85fbb53884ea9aca34ed48c86e4a7c2b8002df88962a47c0f3034c45ff39c,36d9ca65144305b342989816715f9b558657eabe30719bad2aeeabe785e3bd5b,6c0e466b3058030bb4900894e755f91ef3f217f9535173cbac5d9883eae03bf5,9032740e04b9dc6099db0b475b75b3b9d1dded51662b9da342383fe0e0d06823,53acd162a66cc0b272a39ca194c4d5e36a5037c70bd50a475b4f6e96e3b0c471,af85b8494aab01442968826744ed6053adbf435dec725f0cc831fd4f3a362df0,462d22ee4c9218095dd9fd3cbe113f50e1e3d360081fee54c13f49dc0d4ad9f6,232eadaa0635f3c4ce4f7b9f99b24cd007b1976706270f3d5339653d3df4dada,0ba1cffcd018002ad5268d2702e2269feff9b09d4325df346f6886ae4006490a,701e4bb2ab06e15750d52e73595519d183200f5a26226f64caacc2a625202f87
"","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","10001","126501","1001","1","萊拉耶爾","0","1"
"","","取得最大1000里程","10001","105301","1002","2","莫妮卡","0","2"
"","","取得{0}個料理","1","126401","1003","1","克蘿茜","0","3"
"重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子","1","100501","1004","3","茉莉","0","4"
"重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子","2","101301","1005","2","七七香","0","4"
"","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","4","104301","1006","2","真琴","0","5"
"","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","3","102701","1007","3","惠理子","0","5"
"","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","7","100901","1008","1","杏奈","0","6"
"","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","10001","105101","1009","1","深月","0","1"
"","","取得最大1000里程","10001","101801","1010","2","伊緒","0","2"
"","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","0","129701","1011","2","涅妃‧涅羅","0","8"
"重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子","1","101601","1012","3","鈴奈","0","4"
"重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子","2","105601","1013","2","流夏","0","4"
"","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","3","102001","1014","3","美美","0","5"
"","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","7","129601","1015","1","安涅默涅","0","6"
"","骰子擲出{0}時，可以讓對手休息{1}個回合","骰子擲出{0}時，\n可以讓對手休息{1}個回合","1","100401","1016","2","禊","1","10"
"","骰子擲出{0}時，\n前進+{1}","骰子擲出{0}時，\n前進+{1}","2","127701","1017","3","琳德","1","13"
"","骰子擲出{0}時，\n可以讓對手休息{1}個回合","骰子擲出{0}時，\n可以讓對手休息{1}個回合","1","127801","1018","2","烏爾姆","1","10"
"","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","10001","104801","1019","1","美冬","0","1"
"重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子","2","104701","1020","2","純","0","4"
"","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","7","105001","1021","1","美咲","0","6"
"","","取得最大2000里程","10002","103201","1022","1","秋乃","0","2"
"","","取得{0}張抽獎券","1","130901","1023","1","庫露露","0","12"
"","","取得{0}個料理","1","102501","1024","1","鈴莓","0","3"
"","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","0","100801","1025","2","雪","0","8"
"","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","4","123301","1026","2","涅婭","0","5"
"","","出現必有折扣的商店，最大折扣50%（1樣商品免費）","10001","104601","1027","1","珠希","0","1"
"重新擲{0}次骰子，\n若無法重擲，則獲得里程","重新擲{0}次骰子\n（還剩{1}次）","重新擲{0}次骰子","2","118101","1028","2","蘭法","0","4"
"","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","7","103401","1029","1","優花梨","0","6"
"","","取得最大2000里程","10002","118001","1030","1","克蕾琪塔","0","2"
"","","取得{0}張抽獎券","1","102801","1031","1","咲戀","0","12"
"","","取得{0}個料理","1","100201","1032","1","優衣","0","3"
