c854a77c03e82ea3c32891b5e18516d0e6ec080659b83770dc84f7d85e81cc61,fb649ad29475bad42dcf5e61c11fe82bc37f214d282bed9e58615b343d440fba,2d8cb9afa421c360d0a6785196d2659207e66cb7a91bae8643034661fa4f7c35
"8000000","1","肚子餓了就無法進行冒險！"
"8000001","2","夜晚是祕密的女孩談心時間"
"8000002","3","小小冒險！"
"8000003","4","在露營地吃早餐"
"8000004","5","混沌要通過了，把路讓開！"
"8000005","6","穿越叢林"
"8000006","7","徒步（與機械）行來。"
"8000007","8","迷途惡魔的狂想曲"
"8000008","9","正所謂「欲速則飛舞」！"
"8000009","10","為了精靈族進行的熱鬧大冒險"
"8000010","11","前途多難的冒險講座？"
"8000011","12","海上騎士"
"8000012","13","冒險路上有山有「谷」"
"8000013","14","五人五種的午睡景象"
"8000014","15","船頭醉醺醺，船行下瀑布"
"8000015","16","翱翔天際的龍人幫派"
"8000016","17","慈樂之音☆自然演唱會！"
"8000017","18","在旅途上前進與許多想說的話"
"8000018","19","唱一首搖籃曲"
"8000019","20","比桌板還要硬的工作"
"8000020","21","導遊們的攝影俱樂部"
"8000021","22","新的朋友們"
"8000022","23","相信勝利！"
"8000023","24","突擊！捕獲！？密林少女！！"
"8000024","25","白狐俯視奢華的城市"
"8000025","26","採用於城堡中吧♪"
"8000026","27","異世界美人三花仙～附帶跟屁蟲～"
"8000027","28","薩拉薩利亞的美空蘭法★"
"8000028","29","用身體負起冒失犯錯的責任吧！"
"8000029","30","浪花拍岸的理想鄉"
