08bf7d63075eab7a931a8d43ce587799fd3116ff87b1b81c5969f61d054359b7,3a5f6af322747637cac99633371f415731a5e47ca48e101913db549b1d2cac37,ba6c39bdd91484e96668339813d69c0b282d3257f60db2be378496789fa9fe6b,9ecfea11a3970038fd05950d6e1bf7c9785dc128b407714ef13f5279e844be80,008e8ceedb9e3a718c67847df7cb6ba43fce42af7e531bfa63fabfbf9905883d,37d076043316c5e0fe8099448b70ff2ab322f8185d4a77468f838ccfeb8d68ba,08eef09ad2dc09aaaf0941a9c4d91b2cc079dabb82b71b8de8d80166928ae204,64aa37d72ff26e9012978bd4518aafdaf47319580529e043f5e8f31b47019567,b1781607922d264989d31c11dc1b2e5fa0d2a745215eb61dd7b3516fd0b0c217,eb800081d31058f1606161f6d55957fc3b4c7387125d90837093b076078e3493,c71728ea6f475203009f7c859316252812c5079ca0083b2c371f075097f91742
"4514","","bgm_M321","","","25","","","","bgm_M321_2C","4514001"
"4514","wac_birthday_idle_normal","1","-1000","0","1","250","2","-70","105811","4514002"
"4514","wac_birthday_idle_doya","1","200","1","1","256","2","-270","106011","4514003"
"4514","wac_birthday_idle_wish","1","320","1","1","258","2","-310","105911","4514004"
"4514","wac_birthday_idle_smile","1","440","1","1","257","2","-290","106431","4514005"
"4514","","105811","","","13","","","","300","4514006"
"4514","","106011","","","13","","","","300","4514007"
"4514","","600","0","","31","0","1","1","600","4514008"
"4514","","602","0","","31","0","0","1","602","4514009"
"4514","","603","0","","31","0","0","1","603","4514010"
"4514","","604","60","","31","30","1","1","604","4514011"
"4514","","611","0","","31","0","1","1","611","4514012"
"4514","","700","0","","31","0","0","1","700","4514013"
"4514","","701","0","","31","0","0","1","701","4514014"
"4514","","702","0","","31","0","0","1","702","4514015"
"4514","","800","0","","31","0","0","1","800","4514016"
"4514","","900","60","","31","30","1","1","900","4514017"
"4514","","1","","","93","","","","","4514018"
"4514","","105911","wac_birthday_reaction_03","0.2","3","0","0.2","1","wac_birthday_reaction_01","4514019"
"4514","","0.1","","","93","","","","","4514020"
"4514","","106011","wac_birthday_reaction_04","0.2","3","0","0.2","1","wac_birthday_reaction_05","4514021"
"4514","","106431","wac_birthday_reaction_03","0.2","3","0","0.2","1","wac_birthday_reaction_02","4514022"
"4514","","0.3","","","93","","","","","4514023"
"4514","","105811","","","3","1","0.2","","wac_birthday_run_01","4514024"
"4514","","105811","3","","2","-70","","","0","4514025"
"4514","","2.5","","","93","","","","","4514026"
"4514","","602","","","32","","","","1","4514027"
"4514","","0.6","","","93","","","","","4514028"
"4514","","600","","","32","","","","0","4514029"
"4514","","611","","","32","","","","0","4514030"
"4514","","604","","","32","","","","0","4514031"
"4514","","701","","","32","","","","1","4514032"
"4514","","900","0.01","","33","0","","","0","4514033"
"4514","","105811","wac_birthday_wish_02","0.2","3","0","0.2","1","wac_birthday_blowout_02","4514034"
"4514","","105811","0.01","","2","-330","","","-200","4514035"
"4514","","106011","","","3","1","0.2","","wac_birthday_idle_doya","4514036"
"4514","","106011","0.01","","2","-320","","","180","4514037"
"4514","","105911","","","3","1","0.2","","wac_birthday_idle_wish","4514038"
"4514","","105911","0.01","","2","-360","","","300","4514039"
"4514","","106431","","","3","1","0.2","","wac_birthday_idle_smile","4514040"
"4514","","106431","0.01","","2","-340","","","420","4514041"
"4514","","0","","","93","","","","","4514042"
"4514","","800","","","32","","","","1","4514043"
"4514","","0.7","","","93","","","","","4514044"
