298350885e421a082fc1520f1344b57c7f216b972c3900884ddebfe79770b9fc,4517cf5a417563b46501851842b0a2fa3225ab85203358d7b9bb7e4b28700f80,18b3fbeeedc3fb992a69f3bbc3676e6fb92095259749a90c00e2b895fd9c39e3,60530bc847c41ba847c1545521ea4e4e73cf4a2f384f50c14f1a31fda5f38a92,82729f62b372bb4d1df103f22f9b8ba45ee9bd35c0ef07bebe729229175ffdd8,4def5c94ca57fbcd1d77e708a74bbb5fe2f2141ec00fb81dde55484da72e2a0c
"9","0","蘭德索爾 公會小屋","500040","100101","春咲 日和"
"4","0","蘭德索爾 公會小屋","500040","100201","草野 優衣"
"3","0","蘭德索爾 公會小屋","500040","100301","士條 怜"
"4","0","普拉諾平原","500140","100401","穗高 禊"
"4","0","蘭德索爾 王城入口","500090","100501","織原 茉莉"
"4","0","古城","500260","100601","風宮 茜里"
"4","0","古城","500260","100701","出雲 宮子"
"4","0","普拉諾平原","500140","100801","虹村 雪"
"3","0","蘭德索爾 餐廳內","500050","100901","柊 杏奈"
"4","0","哞哞自衛隊 據點","500060","101001","姫宮 真步"
"4","0","蘭德索爾 鬧區","500030","101101","衣之咲 璃乃"
"3","0","精靈之森","500180","101201","柏崎 初音"
"2","0","蘭德索爾 餐廳內","500050","101301","丹野 七七香"
"4","0","哞哞自衛隊 據點","500060","101401","霧原霞"
"4","0","精靈之森","500180","101501","愛川 美里"
"9","0","月光學院","500080","101601","美波 鈴奈"
"4","0","哞哞自衛隊 據點","500060","101701","喜屋武 香織"
"4","0","月光學院","500080","101801","支倉 伊緒"
"2","0","普拉諾平原","500140","102001","茜 美美"
"5","0","咲戀育幼院 大廳","500110","102101","栗林 胡桃"
"4","0","古城","500260","102201","風宮 依里"
"4","0","咲戀育幼院 大廳","500110","102301","北條 綾音"
"10","0","咲戀育幼院 大廳","500110","102501","天野 鈴莓"
"3","0","伊麗莎白牧場 據點","500150","102601","森近 鈴"
"4","0","蘭德索爾 餐廳內","500050","102701","倉石 惠理子"
"4","0","咲戀育幼院 大廳","500110","102801","佐佐木 咲戀"
"1","0","蘭德索爾 市中心","500010","102901","櫻井 望"
"4","0","普拉諾平原","500140","103001","妮諾‧珠貝爾"
"4","0","古城","500260","103101","上喜 忍"
"4","0","墨丘利財團 據點","500070","103201","藤堂 秋乃"
"9","0","伊麗莎白牧場 據點","500150","103301","野戶 真陽"
"4","0","墨丘利財團 據點","500070","103401","綾瀬 優花梨"
"1","0","普拉諾平原","500140","103601","冰川 鏡華"
"2","0","蘭德索爾 王城入口","500090","103701","御久間 智"
"2","0","伊麗莎白牧場 據點","500150","103801","柏崎 栞"
"2","0","精靈之森","500180","104001","雙葉 碧"
"4","0","蘭德索爾 市中心","500010","104201","三角 千歌"
"2","0","哞哞自衛隊 據點","500060","104301","安藝 真琴"
"4","0","古城","500260","104401","伊莉亞‧奧恩斯坦"
"4","0","普拉諾平原","500140","104501","遠見 空花"
"3","0","墨丘利財團 據點","500070","104601","宮坂 珠希"
"1","0","蘭德索爾 王城入口","500090","104701","白銀 純"
"2","0","墨丘利財團 據點","500070","104801","大神 美冬"
"4","0","蘭德索爾 鬧區","500030","104901","星野 靜流"
"2","0","月光學院","500080","105001","玉泉 美咲"
"6","0","蘭德索爾 餐廳內","500050","105101","宵濱 深月"
"9","0","伊麗莎白牧場 據點","500150","105201","莉瑪"
"2","0","普拉諾平原","500140","105301","莫妮卡‧拜斯溫特"
"9","0","蘭德索爾 市中心","500010","105401","繭宮 紡希"
"15","0","普拉諾平原","500140","105501","石橋 步未"
"3","0","蘭德索爾 餐廳內","500050","105601","太刀洗 流夏"
"4","0","布里薩溪谷","500200","105701","吉塔"
"3","0","埃斯特雷拉街道","500130","105801","貪吃佩可"
"2","0","埃斯特雷拉街道","500130","105901","可可蘿"
"3","0","埃斯特雷拉街道","500130","106001","凱留"
"20","0","拉比林斯的公會據點","500341","106101","矛依未"
"3","0","神秘森林","500170","106301","亞里莎"
"2","0","美食殿堂 公會小屋","500361","106401","雪菲"
"4","0","叢林_帳篷","500833","106501","嘉夜"
"4","0","叢林_帳篷","500833","106601","祈梨"
"2","0","帆稀的房間","501320","106701","帆稀"
"18","0","蘭德索爾 鬧區","500030","106801","模索路晶"
"2","0","蘭德索爾王城_王座之廳","500100","106901","霸瞳皇帝"
"2","0","拉比林斯的公會據點","500341","107001","似似花"
"2","0","蘭德索爾 王城入口","500090","107101","克莉絲提娜‧摩根"
"4","0","瑪爾傑海岸","500164","107501","貪吃佩可（夏日）"
"4","0","瑪爾傑海岸","500164","107601","可可蘿（夏日）"
"4","0","瑪爾傑海岸","500164","107701","鈴莓（夏日）"
"6","0","瑪爾傑海岸","500164","107801","凱留（夏日）"
"2","0","無人島","500284","107901","珠希（夏日）"
"2","0","無人島","500284","108001","美冬（夏日）"
"4","0","古城 萬聖節","500264","108101","忍（萬聖節）"
"4","0","古城 萬聖節","500264","108201","宮子（萬聖節）"
"2","0","蘭德索爾 鬧區 萬聖節","505030","108301","美咲（萬聖節）"
"2","0","咲戀育幼院 大廳 聖誕節","500114","108401","千歌（聖誕節）"
"4","0","咲戀育幼院 大廳 聖誕節","500114","108501","胡桃（聖誕節）"
"4","0","咲戀育幼院 大廳 聖誕節","500114","108601","綾音（聖誕節）"
"4","0","新年 神殿","500553","108701","日和（新年）"
"4","0","新年 神殿","500553","108801","優衣（新年）"
"2","0","新年 神殿","500553","108901","怜（新年）"
"4","0","廚房競技場","500600","109001","惠理子（情人節）"
"4","0","廚房競技場","500600","109101","靜流（情人節）"
"2","0","埃斯特雷拉街道","500133","109201","安"
"4","0","埃斯特雷拉街道","500133","109301","露"
"4","0","埃斯特雷拉街道","500133","109401","古蕾婭"
"4","0","大江戶大街","500650","109501","空花（大江戶）"
"2","0","大江戶大街","500650","109601","妮諾（大江戶）"
"2","0","神秘森林","500175","109701","雷姆"
"12","0","神秘森林","500175","109801","拉姆"
"2","0","神秘森林","500175","109901","愛蜜莉雅"
"4","0","海_舞臺","500683","110001","鈴奈（夏日）"
"2","0","海_舞臺","500683","110101","伊緒（夏日）"
"2","0","瑪爾傑海岸","500164","110301","咲戀（夏日）"
"6","0","琉球風的海岸","500710","110401","真琴（夏日）"
"4","0","琉球風的海岸","500710","110501","香織（夏日）"
"4","0","琉球風的海岸","500710","110601","真步（夏日）"
"2","0","聖德蕾莎女子學院 _正門","500730","110701","碧（插班生）"
"2","0","聖德蕾莎女子學院 _正門","500730","110801","克蘿依"
"2","0","聖德蕾莎女子學院 _正門","500730","110901","琪愛兒"
"4","0","聖德蕾莎女子學院 _正門","500730","111001","優妮"
"2","0","宅邸_主樓","500811","111101","鏡華（萬聖節）"
"4","0","宅邸_主樓","500811","111201","禊（萬聖節）"
"4","0","宅邸_主樓","500811","111301","美美（萬聖節）"
"4","0","神秘森林","500175","111401","露娜"
"4","0","蘭德索爾_鬧區_聖誕節","500038","111501","克莉絲提娜（聖誕節）"
"4","0","蘭德索爾_鬧區_聖誕節","500038","111601","望（聖誕節）"
"4","0","蘭德索爾_鬧區_聖誕節","500038","111701","伊莉亞（聖誕節）"
"2","0","蘭德索爾_鬧區_接力賽","500910","111801","貪吃佩可（新年）"
"2","0","蘭德索爾_鬧區_接力賽","500910","111901","可可蘿（新年）"
"6","0","蘭德索爾_鬧區_接力賽","500910","112001","凱留（新年）"
"2","0","蘭德索爾_鬧區_接力賽","500910","112101","鈴莓（新年）"
"2","0","蘭德索爾 市中心_白天","500010","112201","霞（魔法少女）"
"2","0","蘭德索爾 市中心_白天","500010","112301","栞（魔法少女）"
"4","0","繆思小鎮_白天","500920","112401","卯月（NGs）"
"2","0","繆思小鎮_白天","500920","112501","凜（NGs）"
"4","0","繆思小鎮_白天","500920","112601","未央（NGs）"
"2","0","牧場 白天","500995","112701","鈴（遊俠）"
"2","0","牧場 白天","500995","112801","真陽（遊俠）"
"4","0","書中的世界_平原","501000","112901","璃乃（奇幻）"
"2","0","書中的世界_平原","501000","113001","步未（奇幻）"
"6","0","祈願海岸","501030","113101","流夏（夏日）"
"4","0","祈願海岸","501030","113201","杏奈（夏日）"
"4","0","祈願海岸","501030","113301","七七香（夏日）"
"4","0","海岸沙灘","501100","113401","初音（夏日）"
"4","0","海岸沙灘","501100","113501","美里（夏日）"
"2","0","瑪爾傑海岸","500164","113601","純（夏日）"
"4","0","蘭德索爾 市中心_白天","500010","113701","茜里（天使）"
