9746d2a378e4668efab89beaf23c2c774a8197ebc610c5f8c67687cdb55722f7,67e663f664868e3e8c02dd6a18c36d4edf790bab4e7dce68aa0bc47e839f2feb,3a9582e27e718a428bcf29f0ad3b14948a2c9076435b9f9a594449d30478a4f2
"2","1","1"
"1","2","2"
"3","3","3"
"2","4","4"
"2","5","5"
"2","6","6"
"2","7","7"
"2","8","8"
"2","9","9"
"2","10","10"
"2","11","11"
"2","12","12"
"1","13","13"
"1","14","14"
"1","15","15"
"1","16","16"
"1","17","17"
"1","18","18"
"2","19","19"
"4","20","20"
"2","21","21"
"2","22","22"
"5","23","23"
"5","24","24"
"5","25","25"
"6","26","26"
"6","27","27"
"6","28","28"
"7","29","29"
"8","30","30"
"8","31","31"
"9","32","32"
"9","33","33"
"10","34","34"
"10","35","35"
"11","36","36"
"11","37","37"
"12","38","38"
"12","39","39"
