2801b10b531644cfb9f43fdb0df0692059e3ed03fefe3ed7b04c0d39001a7965,276da18d81e952a9eeb1b98de8ec75195455940f999c30f3c23dcf38fae4a655,eaf3c5bcba4b587b0ca98885a8f2254f9a296f1329c1b332f983f6898ae5c42c,d66767817dd708c604e3245f73f45860f3792113c0710339d6d8725491be0a1b,ae86f4a427746b29c5117d76c66a6937c87dc5de45f8849142ee3a5182e32597,4333402ca53ca97a244d98c95052eef71ba9a93af40e559a0f2083c4af99e10e,6b08df55ec084ec3e32db96f956f0e2b70b312a8167bf05d666c829f64d7249e,859a9651489beec55bafb202fae5dde7550c32b902ff25c3e062793578a699d7,9187dd2818c58f8255decb9a1d5de0f53e87afbef5de4b6821473bc796995f6a,07f61d3b1dac6bcf962635f77fc8a795aeb37c45dc4b848d3f9fe928c93e73c0,29b783117978d95a1875551369aafd6243d586b9b3bd075e89b306381e6efda1,9b445bea60a065f1a45b7bb0bfc426e7793574745314050ddad755ac62bd111e,06cca2984c4b5badf1c646e68b16f8172612cb339ddc2fdfa72b37b549551159,c18d8da8888743f0a62d8a99ff5103c2fd1fc659f413f89d8ab80d2e047d954d,af9edcc4a7b1e49cfe3b1933e3215701c9083b49e9182ba99c549d9a95c74668,b0eb4f52d8cc181a87da76f25975aea39b871f5f4ed7628a13782a2848372239
"40","0","0","1001101","91002","0","22002","2","8","2","0","1","40","0","90006","0"
"60","0","0","1001102","91002","0","22002","2","8","2","0","2","50","0","90006","0"
"80","0","0","1001103","91002","0","22002","2","8","2","0","3","60","0","90006","0"
"100","0","0","1001104","91002","0","22002","2","8","2","0","4","80","0","90006","0"
"200","0","0","1001105","91002","0","22003","2","8","2","0","2","150","0","90006","0"
"20","0","0","1001106","90006","0","0","2","2","0","0","0","1","0","22002","0"
"20","0","0","1001107","90006","0","0","2","2","0","0","0","1","0","22002","0"
"20","0","0","1001108","90006","0","0","2","2","0","0","0","1","0","22002","0"
"20","0","0","1001109","90006","0","0","2","2","0","0","0","1","0","22002","0"
"20","0","0","1001110","90006","0","0","2","2","0","0","0","1","0","22003","0"
"40","0","0","1002101","91002","0","22002","2","8","2","0","1","40","0","90006","0"
"60","0","0","1002102","91002","0","22002","2","8","2","0","2","50","0","90006","0"
"80","0","0","1002103","91002","0","22002","2","8","2","0","3","60","0","90006","0"
"100","0","0","1002104","91002","0","22002","2","8","2","0","4","80","0","90006","0"
"200","0","0","1002105","91002","0","22003","2","8","2","0","2","150","0","90006","0"
"40","0","0","1002106","90006","0","0","2","2","0","0","0","1","0","22002","0"
"40","0","0","1002107","90006","0","0","2","2","0","0","0","1","0","22002","0"
"40","0","0","1002108","90006","0","0","2","2","0","0","0","1","0","22002","0"
"40","0","0","1002109","90006","0","0","2","2","0","0","0","1","0","22002","0"
"40","0","0","1002110","90006","0","0","2","2","0","0","0","1","0","22003","0"
"40","0","0","1003101","91002","0","22002","2","8","2","0","1","40","0","90006","0"
"60","0","0","1003102","91002","0","22002","2","8","2","0","2","50","0","90006","0"
"80","0","0","1003103","91002","0","22002","2","8","2","0","3","60","0","90006","0"
"100","0","0","1003104","91002","0","22002","2","8","2","0","4","80","0","90006","0"
"200","0","0","1003105","91002","0","22003","2","8","2","0","2","150","0","90006","0"
"40","0","0","1003106","90006","0","0","2","2","0","0","0","1","0","22002","0"
"40","0","0","1003107","90006","0","0","2","2","0","0","0","1","0","22002","0"
"40","0","0","1003108","90006","0","0","2","2","0","0","0","1","0","22002","0"
"40","0","0","1003109","90006","0","0","2","2","0","0","0","1","0","22002","0"
"40","0","0","1003110","90006","0","0","2","2","0","0","0","1","0","22003","0"
"40","0","0","1004101","91002","0","22002","2","8","2","0","1","40","0","90006","0"
"60","0","0","1004102","91002","0","22002","2","8","2","0","2","50","0","90006","0"
"80","0","0","1004103","91002","0","22002","2","8","2","0","3","60","0","90006","0"
"100","0","0","1004104","91002","0","22002","2","8","2","0","4","80","0","90006","0"
"200","0","0","1004105","91002","0","22003","2","8","2","0","2","150","0","90006","0"
"40","0","0","1004106","90006","0","0","2","2","0","0","0","1","0","22002","0"
"40","0","0","1004107","90006","0","0","2","2","0","0","0","1","0","22002","0"
"40","0","0","1004108","90006","0","0","2","2","0","0","0","1","0","22002","0"
"40","0","0","1004109","90006","0","0","2","2","0","0","0","1","0","22002","0"
"40","0","0","1004110","90006","0","0","2","2","0","0","0","1","0","22003","0"
