b82d649405c7b823ac370d1fe1d0b6e92631934d2510588bbb32100c4e9f4f1d,48f70e401600ed726bec35a9d5d2461560daa5008a2558f5da90a4d76b9641f4,c7df02890c88871dff2e4b229bf59f35117aa2e2827bc196074ec369017ab682,15c7f2501135d27c5fc706b325ee2890f4f52199fbe0c322bc8faf89d7a2da84,00d719fb3f7cc37f287cb621dbe84f8c9dbd5858b97a7b893aa26b10cf6ee125,1f12e692bfb1c6988924e90bcbec8f2988c0615449fd255388424e71e169a6c8,9c68facb12244b5e8cc1587bb53d825e68671f9a9648aea600b566c221bf19d3,761d4181276fe06d2475d173e2d8e3f9e89e76ff7f1d0d2674322436d4249068,f7466be28bb018a218c3f10d9c1c2bd9ec80787cfd010691f6a85a50b77a3c67,a58bd3c10518d813dc7cf9fdd913517dca1fc6396ae0fd7c7b992bba63c33d7d,6e94bf639e504ea1e6988b7ce3477b53c863165f337fe9ce6401f7b18390daa1
"10","2","1","284001001","2","8","91002","31","8","25014","25021"
"10","2","2","284001002","2","8","91002","31","8","25014","25021"
"10","2","3","284001003","2","8","91002","32","8","25014","25021"
"10","2","4","284001004","2","8","91002","32","8","25014","25021"
"10","2","5","284001005","2","8","91002","33","8","25014","25021"
"10","2","6","284001006","2","8","91002","33","9","25014","25021"
"10","2","7","284001007","2","8","91002","34","9","25014","25021"
"10","2","8","284001008","2","8","91002","35","9","25014","25021"
"10","2","9","284001009","2","8","91002","35","9","25014","25021"
"30","2","10","284001010","2","8","91002","37","10","25014","25021"
"10","2","11","284001011","2","8","91002","41","10","25014","25021"
"10","2","12","284001012","2","8","91002","43","11","25014","25021"
"10","2","13","284001013","2","8","91002","46","11","25014","25021"
"10","2","14","284001014","2","8","91002","48","12","25014","25021"
"10","2","15","284001015","2","8","91002","50","12","25014","25021"
"10","2","16","284001016","2","8","91002","53","13","25014","25021"
"10","2","17","284001017","2","8","91002","55","14","25014","25021"
"10","2","18","284001018","2","8","91002","58","14","25014","25021"
"10","2","19","284001019","2","8","91002","60","15","25014","25021"
"30","2","20","284001020","2","8","91002","62","15","25014","25021"
"10","2","21","284001021","2","8","91002","68","16","25014","25021"
"10","2","22","284001022","2","8","91002","70","16","25014","25021"
"10","2","23","284001023","2","8","91002","72","16","25014","25021"
"10","2","24","284001024","2","8","91002","75","17","25014","25021"
"10","2","25","284001025","2","8","91002","77","18","25014","25021"
"10","2","26","284001026","2","8","91002","79","18","25014","25021"
"10","2","27","284001027","2","8","91002","82","19","25014","25021"
"10","2","28","284001028","2","8","91002","84","19","25014","25021"
"10","2","29","284001029","2","8","91002","86","19","25014","25021"
"30","2","30","284001030","2","8","91002","89","20","25014","25021"
"10","2","31","284001031","2","8","91002","94","20","25014","25021"
"10","2","32","284001032","2","8","91002","96","21","25014","25021"
"10","2","33","284001033","2","8","91002","99","21","25014","25021"
"10","2","34","284001034","2","8","91002","101","22","25014","25021"
"10","2","35","284001035","2","8","91002","103","22","25014","25021"
"10","2","36","284001036","2","8","91002","106","23","25014","25021"
"10","2","37","284001037","2","8","91002","108","23","25014","25021"
"10","2","38","284001038","2","8","91002","111","24","25014","25021"
"10","2","39","284001039","2","8","91002","113","25","25014","25021"
"30","2","40","284001040","2","8","91002","115","25","25014","25021"
"10","2","41","284001041","2","8","91002","121","26","25014","25021"
"10","2","42","284001042","2","8","91002","123","27","25014","25021"
"10","2","43","284001043","2","8","91002","125","28","25014","25021"
"10","2","44","284001044","2","8","91002","128","28","25014","25021"
"10","2","45","284001045","2","8","91002","130","29","25014","25021"
"10","2","46","284001046","2","8","91002","132","30","25014","25021"
"10","2","47","284001047","2","8","91002","135","30","25014","25021"
"10","2","48","284001048","2","8","91002","137","31","25014","25021"
"10","2","49","284001049","2","8","91002","139","31","25014","25021"
"30","2","50","284001050","2","8","91002","142","31","25014","25021"
"10","2","51","284001051","2","8","91002","144","32","25014","25021"
"10","2","52","284001052","2","8","91002","146","32","25014","25021"
"10","2","53","284001053","2","8","91002","149","32","25014","25021"
"10","2","54","284001054","2","8","91002","152","33","25014","25021"
"10","2","55","284001055","2","8","91002","155","33","25014","25021"
"10","2","56","284001056","2","8","91002","157","33","25014","25021"
"10","2","57","284001057","2","8","91002","160","34","25014","25021"
"10","2","58","284001058","2","8","91002","163","34","25014","25021"
"10","2","59","284001059","2","8","91002","166","34","25014","25021"
"30","2","60","284001060","2","8","91002","169","35","25014","25021"
"10","2","61","284001061","2","8","91002","171","35","25014","25021"
"10","2","62","284001062","2","8","91002","174","35","25014","25021"
"10","2","63","284001063","2","8","91002","177","36","25014","25021"
"10","2","64","284001064","2","8","91002","180","36","25014","25021"
"10","2","65","284001065","2","8","91002","182","36","25014","25021"
"10","2","66","284001066","2","8","91002","185","37","25014","25021"
"10","2","67","284001067","2","8","91002","187","37","25014","25021"
"10","2","68","284001068","2","8","91002","190","37","25014","25021"
"10","2","69","284001069","2","8","91002","193","38","25014","25021"
"30","2","70","284001070","2","8","91002","196","38","25014","25021"
