5cd7eb107a751ca4d795e6b2bd7a21409339b6411fb682b61d449d0e1aabc5f6,f56b2e5c2f6d91aaa09679966235f9212908f29208c3359b192bcf21fe0b5054,2308339032b06fe33484d13ffb83a8c7f82a1729a75bcf06923e3a49bd11a4bf,adca7624e1d7f0a776e6488674f416f0c1bc61f8bd9e199987214f11030436bf,53d6803a602413e71b74850f22a0100d7b97ee536a50f0292bf8fb3db24e7054,11b65ffd7ce5df5f73879ffd59b5f84017b8ab145fa2e20c1d32d7b34e842466,a7fbdc2a12b872fa89ad026d2a7351f382986fabf389834a6165c2f0de8691f9,2624d88d9f2a6755b2f2ef89b771a2e5a89e55754e91516df01dc61efba50451
"1005","TP提升250","戰鬥開始時，我方的TP提升250。","1005","1005","0","0","2"
"1006","TP提升250","戰鬥開始時，我方的TP提升250。","1006","1006","0","0","2"
"1007","TP提升250","戰鬥開始時，我方的TP提升250。","1007","1007","0","0","2"
"1008","TP提升250","戰鬥開始時，我方的TP提升250。","1008","1008","0","0","2"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100501","100501","7469000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100502","100502","7161000000000","36000","1"
"1005","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。","100503","100503","6930000000000","36000","1"
"1005","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100504","100504","6699000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100505","100505","6468000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100506","100506","6160000000000","36000","1"
"1005","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。","100507","100507","5929000000000","36000","1"
"1005","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100508","100508","5698000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100509","100509","5390000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100510","100510","5159000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100511","100511","4928000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100512","100512","4620000000000","36000","1"
"1005","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。","100513","100513","4389000000000","36000","1"
"1005","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100514","100514","4158000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100515","100515","3927000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100516","100516","3619000000000","36000","1"
"1005","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。","100517","100517","3388000000000","36000","1"
"1005","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100518","100518","3157000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100519","100519","2849000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100520","100520","2618000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100521","100521","2387000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100522","100522","2079000000000","36000","1"
"1005","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。","100523","100523","1848000000000","36000","1"
"1005","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100524","100524","1617000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100525","100525","1386000000000","36000","1"
"1005","TP提升150","戰鬥開始時，我方的TP提升150。","100526","100526","1078000000000","36000","1"
"1005","無敵10秒","戰鬥開始10秒內，我方進入無敵狀態。","100527","100527","847000000000","36000","1"
"1005","降低物理攻擊90秒","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100528","100528","616000000000","36000","1"
"1005","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。","100529","100529","308000000000","36000","1"
"1005","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100530","100530","77000000000","36000","1"
"1006","提升魔法攻擊90秒","戰鬥開始90秒內，使我方的魔法攻擊力提升。","100601","100601","12028000000000","36000","1"
"1006","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。","100602","100602","11532000000000","36000","1"
"1006","降低物理防禦90秒","戰鬥開始90秒內，使敵人的物理防禦力下降。","100603","100603","11160000000000","36000","1"
"1006","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100604","100604","10788000000000","36000","1"
"1006","提升魔法攻擊90秒","戰鬥開始90秒內，使我方的魔法攻擊力提升。","100605","100605","10416000000000","36000","1"
"1006","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。","100606","100606","9920000000000","36000","1"
"1006","每秒HP恢復90秒","戰鬥開始90秒內，每秒恢復我方的HP。","100607","100607","9548000000000","36000","1"
"1006","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。","100608","100608","9176000000000","36000","1"
"1006","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。","100609","100609","8680000000000","36000","1"
"1006","降低魔法防禦90秒","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100610","100610","8308000000000","36000","1"
"1006","提升魔法攻擊90秒","戰鬥開始90秒內，使我方的魔法攻擊力提升。","100611","100611","7936000000000","36000","1"
"1006","提升物理攻擊90秒","戰鬥開始90秒內，使我方的物理攻擊力提升。","100612","100612","7440000000000","36000","1"
