07c08dd7a72d72081fec94e6de2a64d85f37b2e77ab84157daa4d18a63e466fb,64fe688964dc32a3ca9f01f5eeb3191b89867818a56d711702f36a1d9dcf61ef,f0b82de589f0f36396fc1a445f5b05e20d610de1d5c4860a48bcea55f95bc12c,aaef30c43244576e8917c811f6fde6b2ec1be485cd4e0cc9540ef36e40728154,5e332c5aaca347a2f77ad37d0c761117b68310675ac868f5b868ea19da6cd34d,8465b9255e35c61f7a0ce19b28349371ecd79b6d2972647396383d88608dea7a,dcb91440f5074d66daec8639c2857055c94132629db87cbae8ae709666edb287,cafccf3a10cc55b8c8bbaa418fb7b60a891b6e0eb4259ccedf6c66affaba0dc1,894324db2a269f33294911f6e34fd28d73765ea5f76ff19a05ec2c5b72b15fe0,c8a1b200956aec1a69539c259a394ea771df2f46798a5533e8e263294feef97e,88893acfc7dfae6f79c2320ab5f3206075ffdb8c895a00344d543640b25ec8ff
"","","se_10053800","101","","","23","","se_fpc_water_random","","11010001"
"1.75","cmn_swm_tread","1","101","-850","23","1","-180","<unit_id>","0","11010002"
"1.75","cmn_swm_tread_pink","1","101","-850","22","5","-180","1","0","11010003"
"1","","3","101","-180","-850","31","1","3","","11010004"
"","","0","101","","","91","","0","","11010005"
"","","<unit_id>","101","10","-180","2","","850","","11010006"
"","","1","101","10","-180","2","","850","","11010007"
"","","3","101","10","-180","33","","850","","11010008"
"","","se_10053800","102","","","23","","se_fpc_water_random","","11020001"
"1.75","cmn_swm_tread","1","102","-850","23","1","-180","<unit_id>","0","11020002"
"1.75","cmn_swm_tread_blue","1","102","-850","22","5","-180","1","0","11020003"
"1","","3","102","-180","-850","31","1","3","","11020004"
"","","0","102","","","91","","0","","11020005"
"","","<unit_id>","102","10","-180","2","","850","","11020006"
"","","1","102","10","-180","2","","850","","11020007"
"","","3","102","10","-180","33","","850","","11020008"
"","","se_10053800","103","","","23","","se_fpc_water_random","","11030001"
"1.75","cmn_swm_tread","1","103","-850","23","1","-180","<unit_id>","0","11030002"
"1.75","cmn_swm_tread","1","103","-850","22","5","-180","1","0","11030003"
"1","","3","103","-180","-850","31","1","3","","11030004"
"","","0","103","","","91","","0","","11030005"
"","","<unit_id>","103","10","-180","2","","850","","11030006"
"","","1","103","10","-180","2","","850","","11030007"
"","","3","103","10","-180","33","","850","","11030008"
"","","se_10053800","151","","","23","","se_fpc_water_random","","11510001"
"1.75","cmn_swm_flutterKick","1","151","-850","22","1","-180","<unit_id>","0","11510002"
"1","","1","151","-180","-850","31","1","1","","11510003"
"","","0","151","","","91","","0","","11510004"
"","","<unit_id>","151","10","-180","2","","1050","","11510005"
"","","1","151","10","-180","33","","1050","","11510006"
"","","se_10053800","201","","","23","","se_fpc_water_random","","12010001"
"1.75","cmn_swm_breastStroke","1","201","-850","22","1","-180","<unit_id>","0","12010002"
"1","","2","201","-180","-850","31","1","2","","12010003"
"","","0","201","","","91","","0","","12010004"
"","","<unit_id>","201","10","-180","2","","850","","12010005"
"","","2","201","10","-180","33","","850","","12010006"
"","","se_10053800","251","","","23","","se_fpc_water_random","","12510001"
"1.75","cmn_swm_diving","1","251","-850","22","1","-180","<unit_id>","0","12510002"
"1","","9","251","-180","-850","31","1","9","","12510003"
