0b15055930c86fdb2479e651739850c470846162a8cf8fcc5bb1cde0bcbbb75d,d016b74c77736a132ad6d81962b7c9f642e88204be4170e92247fdecfd5a217d,87cffb5084c493fac3d239516997f8ecc0265744785469b1b715f9227783b657,617107450e288186457b7c9e4864f594525427fe21b10f6055ddfe9f02bf6f41,c0a65d2e8b2734e181c050d23d6b578cf752ab92f88ba229da80522b60643e51,5cf7dbc17fe4dc35df76d9a29577f4471594f9f8fac4a09814d69f4369f2b742
"戰鬥開始90秒內，\n我方全體特大幅度提升物理防禦力","123001","3002","2025/06/01 16:00:00","10201001","10201501"
"戰鬥開始90秒內，\n我方全體特大幅度提升魔法防禦力","123001","3004","2025/06/01 16:00:00","10201002","10201501"
"戰鬥開始90秒內，\n特大幅度降低敵方全體的物理防禦力","106901","3011","2025/06/01 16:00:00","10201003","10201501"
"戰鬥開始90秒內，\n特大幅度降低敵方全體的魔法防禦力","106901","3011","2025/06/01 16:00:00","10201004","10201501"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","107101","3001","2025/06/01 16:00:00","10201005","10201501"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","107101","3010","2025/06/01 16:00:00","10201006","10201501"
"戰鬥開始90秒內，\n極大幅度提升魔法攻擊力。","107001","3003","2025/06/01 16:00:00","10201007","10201501"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","107001","3010","2025/06/01 16:00:00","10201008","10201501"
"戰鬥開始90秒內，\n我方全體特大幅度提升物理攻擊力","106801","3001","2025/06/01 16:00:00","10201009","10201501"
"戰鬥開始後，大幅恢復我方全體的ＴＰ","106801","3014","2025/06/01 16:00:00","10201010","10201501"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","111501","3001","2025/06/01 16:00:00","10201011","10201501"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","111501","3010","2025/06/01 16:00:00","10201012","10201501"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","123801","3001","2025/06/01 16:00:00","10201013","10201501"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","123801","3010","2025/06/01 16:00:00","10201014","10201501"
"戰鬥開始90秒內，\n極大幅度提升物理攻擊力。","133901","3001","2025/06/12 16:00:00","10201015","10201501"
"戰鬥開始90秒內，\n特大幅度提升ＴＰ上升。","133901","3010","2025/06/12 16:00:00","10201016","10201501"
