4dd7fd400ea62db2b6ebd89ae3140e08fdb14048a5cff79fdc0566f65abafe90,0365f9cc0ce3bc6fd60ac3ef496f31cce590d3b9cde068e907641a9b6ddaa94c,b801d3621efe981eefb55c033037cdfbabbc564cdd84e75fcf744432f9d9e3a1,149b04ea53fe83daa63f7e4c29eb4282206f8ae097bb142085b5daecd1f7198a,2ae7d23ecc39f536d3e3e12be8e6e37c26bf976fdba89897781d5369130e488b,07dc6efa271c57334afd0d13f2efa732c5248f0a0c841fbabaf187bbc49b6ead,4fe313eb6715c658b677dbf333f9ea2de5b353f01f8b53344324a3c7f13ee682
"0","0","20036104","4","10064","1006401","開幕式"
"0","0","20036104","3","10064","1006402","開幕式"
"1006402","0","20036104","1","10064","1006403","賽跑"
"1006402","0","20036104","4","10064","1006404","賽跑"
"1006402","0","20036104","2","10064","1006405","賽跑"
"1006405","0","20036104","2","10064","1006406","騎馬戰"
"1006405","0","20036104","4","10064","1006407","騎馬戰"
"1006406","0","20036106","3","10064","1006408","午休時間"
"1006406","0","20036106","4","10064","1006409","午休時間"
"1006408","0","20036106","3","10064","1006410","各種學術文化展覽"
"1006408","0","20036106","4","10064","1006411","各種學術文化展覽"
"1006408","0","20036106","1","10064","1006412","各種學術文化展覽"
"1006410","0","20036108","4","10064","1006413","女僕咖啡廳"
"1006410","0","20036108","3","10064","1006414","女僕咖啡廳"
"1006414","0","20036113","3","10064","1006415","綜合接力賽"
"1006414","0","20036113","4","10064","1006416","綜合接力賽"
"1006415","2003601","0","1","10064","1006417","頒獎典禮"
"1006415","2003601","0","4","10064","1006418","頒獎典禮"
"1006415","2003601","0","2","10064","1006419","頒獎典禮"
"1006419","2003601","0","3","10064","1006420","閉幕式"
"1006419","2003601","0","4","10064","1006421","閉幕式"
"1006420","2003601","0","4","10064","1006422","達成動畫"
