7acff37e0d9c92699291e1fb15826b72345f5aeddc7bbe4a92ff53b2ec60ceaf,a0d69534f8c38a8b0365377eaaa46fd7e5fa25b7e9e8c314d0a1cc3ccaf06c92,ec34c5c2b716ba649573d3a80f0fe30341b3c6a2411611ebe8c63a07c21068d5,a6bcc89881dc84607f7d08cf88a1dce3acfb736fd013244207af52b0ef2ba8fd,fb35139916ae51fb67327f0cae91cadf695376f7a106d7431e70f9e84175da77,eb7fffd8eb1ff71f2a8516be69f5f489a6b593dffe5a457698c45e934cd16504,4f73cc20f160bf8ed8f5e1103a8b5658c2b0d843edd518ce842ad464a55ca7dc,d81da0e0076ddd242a64245871ae266d46df8862e4dfddd72cbc1cea350cd8cf,ec2c21366ad57995fdf8d238330936c922a7299810d07bfe35143eb8b1597f86
"1","","21600","2","23001","1","1","","2"
"2","","19800","2","23001","1","1","","3"
"3","","18000","2","23001","1","1","","3"
"4","","16200","2","23001","1","1","","3"
"5","","14400","2","23001","1","1","","4"
"6","","12960","2","23001","1","1","","4"
"7","","11520","2","23001","1","1","","5"
"8","","10080","2","23001","1","1","","6"
"9","","8640","2","23001","1","1","","7"
"10","","7200","2","23001","1","1","","8"
"11","","5760","2","23001","1","1","","10"
"12","","5040","2","23001","1","1","","12"
"13","","4320","2","23001","1","1","","14"
"14","","7200","2","23001","1","2","","16"
"15","","5400","2","23001","1","2","","18"
"16","","5040","2","23001","1","2","","18"
"17","","4800","2","23001","1","2","","18"
"18","","4500","2","23001","1","2","","20"
"19","","4320","2","23001","1","2","","20"
"20","","6000","2","23001","1","3","","24"
"21","","5700","2","23001","1","3","","48"
"22","","5400","2","23001","1","3","","48"
"23","","5220","2","23001","1","3","","51"
"24","","4980","2","23001","1","3","","54"
"25","","4800","2","23001","1","3","","54"
"26","","4500","2","23001","1","3","","60"
"27","","4320","2","23001","1","3","","60"
"28","","4200","2","23001","1","3","","63"
"29","","5400","2","23001","1","4","","64"
"30","","5220","2","23001","1","4","","68"
"31","","5040","2","23001","1","4","","72"
"32","","4920","2","23001","1","4","","72"
"33","","4800","2","23001","1","4","","72"
"34","","4680","2","23001","1","4","","76"
"35","","4500","2","23001","1","4","","80"
"36","","4320","2","23001","1","4","","80"
"37","","4260","2","23001","1","4","","84"
"38","","4200","2","23001","1","4","","84"
"1","","21600","6","93001","2","20","","80"
"2","","21600","6","93001","2","24","","96"
"3","","21600","6","93001","2","28","","112"
"4","","21600","6","93001","2","30","","120"
"5","","21600","6","93001","2","32","","128"
"6","","21600","6","93001","2","34","","136"
"7","","21600","6","93001","2","36","","144"
"8","","21600","6","93001","2","38","","152"
"9","","21600","6","93001","2","40","","160"
"10","","21600","6","93001","2","42","","168"
"11","","21600","6","93001","2","44","","176"
"12","","21600","6","93001","2","46","","184"
"13","","21600","6","93001","2","48","","192"
"14","","21600","6","93001","2","50","","200"
"15","","21600","6","93001","2","52","","208"
"16","","21600","6","93001","2","54","","216"
"17","","21600","6","93001","2","56","","224"
"18","","21600","6","93001","2","58","","232"
"19","","21600","6","93001","2","60","","240"
"20","","21600","6","93001","2","62","","248"
"21","","21600","6","93001","2","64","","256"
"22","","21600","6","93001","2","66","","264"
"23","","21600","6","93001","2","68","","272"
"24","","21600","6","93001","2","70","","280"
"25","","21600","6","93001","2","72","","288"
"26","","21600","6","93001","2","74","","296"
"27","","21600","6","93001","2","76","","304"
"28","","21600","6","93001","2","78","","312"
"29","","21600","6","93001","2","80","","320"
"30","","21600","6","93001","2","82","","328"
"31","","21600","6","93001","2","84","","336"
"32","","21600","6","93001","2","85","","340"
"33","","21600","6","93001","2","86","","344"
"34","","21600","6","93001","2","87","","348"
"35","","21600","6","93001","2","88","","352"
"36","","21600","6","93001","2","89","","356"
"37","","21600","6","93001","2","90","","360"
"38","","21600","6","93001","2","91","","364"
"1","","14400","2","20001","3","1","","3"
"2","","9600","2","20001","3","1","","5"
"3","","7200","2","20001","3","1","","7"
"4","","5400","2","20001","3","1","","10"
"5","","3600","2","20001","3","1","","15"
"6","","9600","2","20002","3","1","","6"
"7","","7200","2","20002","3","1","","8"
"8","","4800","2","20002","3","1","","12"
"9","","3600","2","20002","3","1","","16"
"10","","2700","2","20002","3","1","","20"
"11","","10800","2","20003","3","1","","6"
"12","","9000","2","20003","3","1","","8"
"13","","7200","2","20003","3","1","","12"
"14","","5400","2","20003","3","1","","16"
"15","","3600","2","20003","3","1","","20"
"16","","2880","2","20003","3","1","","30"
"17","","12600","2","20004","3","1","","7"
"18","","11400","2","20004","3","1","","8"
"19","","10200","2","20004","3","1","","9"
"20","","9300","2","20004","3","1","","10"
"21","","8700","2","20004","3","1","","10"
"22","","6600","2","20004","3","1","","13"
"23","","6300","2","20004","3","1","","14"
"24","","6000","2","20004","3","1","","15"
"25","","5700","2","20004","3","1","","15"
"26","","5400","2","20004","3","1","","16"
"27","","5100","2","20004","3","1","","17"
"28","","4860","2","20004","3","1","","18"
"29","","4620","2","20004","3","1","","19"
"30","","4440","2","20004","3","1","","20"
"31","","4260","2","20004","3","1","","21"
"32","","4080","2","20004","3","1","","22"
"33","","3960","2","20004","3","1","","22"
"34","","3840","2","20004","3","1","","23"
"35","","3720","2","20004","3","1","","24"
"36","","3600","2","20004","3","1","","24"
"37","","3480","2","20004","3","1","","25"
"38","","3420","2","20004","3","1","","26"
"1","","21600","12","94002","4","3000","","12000"
"2","","21600","12","94002","4","4500","","18000"
"3","","21600","12","94002","4","6000","","24000"
"4","","21600","12","94002","4","7500","","30000"
"5","","21600","12","94002","4","10500","","42000"
"6","","21600","12","94002","4","13500","","54000"
"7","","21600","12","94002","4","16500","","66000"
"8","","21600","12","94002","4","21000","","84000"
"9","","21600","12","94002","4","25500","","102000"
"10","","21600","12","94002","4","30000","","120000"
"11","","21600","12","94002","4","36000","","144000"
"12","","21600","12","94002","4","42000","","168000"
"13","","21600","12","94002","4","48000","","192000"
"14","","21600","12","94002","4","55500","","222000"
"15","","21600","12","94002","4","63000","","252000"
"16","","21600","12","94002","4","70500","","282000"
"17","","21600","12","94002","4","79500","","318000"
"18","","21600","12","94002","4","88500","","354000"
"19","","21600","12","94002","4","97500","","390000"
"20","","21600","12","94002","4","108000","","432000"
