c4a25d96d80d98efe32cd5c614ace4904c7d6ba44d563e14d443689b8fd6aa4a,9f54b0fe67a8fa91f384573d5d3929f1f323b0e023b532a154688a1aca489e1a,5af10d6e602cdd73fd18918e8606b31c14e6797915a5770d2abffe506ddd227e,70e7b691944f28fbd24364222b429099e705b32d492e708749b24637dd1c6eef,a63773741d595e2b0b43f57ae0edb38b4a46b710a6a8e33660a107c8cc4836fd,c4e71381a5920f7600e7c8cef8bad80f0449905d5aa4b8d404ca8aa9c67749c1,7e4db8f5b7e325d00074d099f6321cc3a574bd84e678a5b30c0b31b9bc81ce69,32019123b039b7f8037a4f404d83eae9a4a78d604978c5c913099f003241b6b8,a5b0bd4896ce44e914b3ecfb49bf9eb52845f202897e090e5410a4933d72b70a,31a76617b4b4d1e61f36c7025b391d7a2c0fa41d69039b0878548e9bd56a1472,b033d249a461024099a836289e9c983f1ad15d49ac52739a583fad43880aa3d4,3de5c301b766b0b5ac781f0ab3cb2fb01ea406a263295e43f89d0d74ac3b48c8,7922dee98f48b24644a76f4283ca88001d4f9164af68cccfb12020b5914bfda9,0b1a66685e1ed845c66047018440b90e80b3adfb2c2bfd28c9c67c354fc5049a,52fb1170f9b4b1e6368ab033bbe9695bf841b91300a401130ae2b57bd39b0312,14432bafa442c1d34afe3517a7dcf41e05613e57b8b3c3fefe116bd638e10937
"401","455","2","215","1","201","301","101","501","1","2","-110","70","980","3","1008201"
"402","230","2","215","2","202","302","102","502","1","2","-110","70","515","3","1008202"
"403","230","2","215","3","203","303","103","503","1","1","-110","70","515","3","1008203"
"404","230","2","215","4","204","304","104","504","1","1","-110","70","515","3","1008204"
"405","355","2","233","5","205","305","105","505","1","2","-110","78","787","3","1008205"
"406","355","2","233","6","206","306","106","506","1","3","-110","78","787","3","1008206"
"407","345","2","233","7","207","307","107","507","1","3","-110","88","777","3","1008207"
"408","345","2","233","8","208","308","108","508","1","1","-110","88","777","3","1008208"
"409","345","2","233","9","209","309","109","509","1","1","-110","88","777","3","1008209"
"410","355","2","233","10","210","310","110","510","1","3","-110","88","810","3","1008210"
"411","345","2","233","11","211","311","111","511","1","2","-110","88","777","3","1008211"
"412","230","2","215","12","212","312","112","512","1","2","-110","70","515","3","1008212"
"413","355","2","233","13","213","313","113","513","1","1","-110","78","810","3","1008213"
"414","230","2","215","14","214","314","114","514","1","1","-110","70","515","3","1008214"
"415","230","2","215","15","215","315","115","515","1","3","-110","70","515","3","1008215"
"416","275","2","215","16","216","316","116","516","1","2","-110","70","655","3","1008216"
"417","230","2","215","17","217","317","117","517","1","3","-110","70","515","3","1008217"
"418","345","2","233","18","218","318","118","518","1","3","-110","88","777","3","1008218"
