0dfff4c31a958a21c0ca8710c1885bb9e27628123d22080b39fa5dd9d3c76590,cf2a89d1a0276607b0ffccfcd3e93a072b51c04b139aee91f7632322bdd526ab,26e05192bf08f5e80eebfd0635fdd147ef128e1caa84f65cd4235f529ba5f9f4,c1e1896807c04f797ac010ee2f317812120c134568a926cff9a691409a34c43c,9bf864cfa1ce9f5eb36ccb3bd9de4a7f4cb74a992fd8770f27d20b7f29b4414b,bd462cd23be396397e7a22ba65cfe6e4572d30ba4132fb9ed702dbf02fe2f8d5,491daf9e13c99226e4c711b0f6442cbb3663953d722d9ff1742ee936d4025f5e,35f9a27493f1dfd6e80bd0146dc518afa052e3d1a6db004c1c514e835d4b86a3,f6eabb3ff54307b7ea3fedc55390b1391dcb93cb8d96e04f3ce5899f9384749d,dfc0f7dd97552c438e9eaac29021009f16e5dd07e668f337f43d1f326bc12532,f533499e2dfa529f376825156f5af5c5104a42d540d6bd895de414e7f8ae2f82
"4514","","bgm_M321","bgm_M321_2C","","","","","","4514001","25"
"4514","wac_birthday_idle_normal","1","105811","-70","0","-1000","2","250","4514002","1"
"4514","wac_birthday_idle_doya","1","106011","-270","1","200","2","256","4514003","1"
"4514","wac_birthday_idle_wish","1","105911","-310","1","320","2","258","4514004","1"
"4514","wac_birthday_idle_smile","1","106431","-290","1","440","2","257","4514005","1"
"4514","","105811","300","","","","","","4514006","13"
"4514","","106011","300","","","","","","4514007","13"
"4514","","600","600","1","","0","1","0","4514008","31"
"4514","","602","602","1","","0","0","0","4514009","31"
"4514","","603","603","1","","0","0","0","4514010","31"
"4514","","604","604","1","","60","1","30","4514011","31"
"4514","","611","611","1","","0","1","0","4514012","31"
"4514","","700","700","1","","0","0","0","4514013","31"
"4514","","701","701","1","","0","0","0","4514014","31"
"4514","","702","702","1","","0","0","0","4514015","31"
"4514","","800","800","1","","0","0","0","4514016","31"
"4514","","900","900","1","","60","1","30","4514017","31"
"4514","","1","","","","","","","4514018","93"
"4514","","105911","wac_birthday_reaction_01","1","0.2","wac_birthday_reaction_03","0.2","0","4514019","3"
"4514","","0.1","","","","","","","4514020","93"
