7f72bb20eb0386495b11c53fde093974cb6c6482c0df385323fb46abeaaa8334,040a0466b68b0a9531ce4d26cc3e8d8baab76c84eddea1b917aec081e4ed4115,3f8f135f8e9b289800c6f5cb885c70df44d6cd187b8e06191004f7dd1ed051ed,3aea11a9b42389b995bfe45eb9e1321bef794446074c34f9d2663117f450d5b0,cd64fb4246a0ab15c7263cd5a646f75f87aabe6380df6307fba0dc976b52b83d
"29","2099/08/01 14:59:59","2015/04/01 14:00:00","加油！","100101"
"30","2099/08/01 14:59:59","2015/04/01 14:00:00","謝謝","100201"
"31","2099/08/01 14:59:59","2015/04/01 14:00:00","參戰","100301"
"32","2099/08/01 14:59:59","2015/04/01 14:00:00","早安~！！","100401"
"59","2099/08/01 14:59:59","2021/12/09 12:00:00","有點難為情呢","100501"
"60","2099/08/01 14:59:59","2021/12/09 12:00:00","好厲害喔～♪","100601"
"61","2099/08/01 14:59:59","2021/12/09 12:00:00","布丁～布丁～","100701"
"62","2099/08/01 14:59:59","2021/12/09 12:00:00","叫我嗎？","100801"
"33","2099/08/01 14:59:59","2015/04/01 14:00:00","就是現在！","100901"
"34","2099/08/01 14:59:59","2015/04/01 14:00:00","真是辛苦呀","101001"
"35","2099/08/01 14:59:59","2015/04/01 14:00:00","收到！","101101"
"36","2099/08/01 14:59:59","2015/04/01 14:00:00","開始囉─","101201"
"63","2099/08/01 14:59:59","2021/12/09 12:00:00","出現了！","101301"
"64","2099/08/01 14:59:59","2021/12/09 12:00:00","線索湊齊了呢","101401"
"65","2099/08/01 14:59:59","2021/12/09 12:00:00","好乖好乖♪","101501"
"37","2099/08/01 14:59:59","2015/04/01 14:00:00","OK！","101601"
"38","2099/08/01 14:59:59","2015/04/01 14:00:00","船到橋頭自然直","101701"
"66","2099/08/01 14:59:59","2021/12/09 12:00:00","我來教‧教‧你","101801"
"39","2099/08/01 14:59:59","2015/04/01 14:00:00","晚安","102001"
"40","2099/08/01 14:59:59","2015/04/01 14:00:00","哇！哇！","102101"
"41","2099/08/01 14:59:59","2015/04/01 14:00:00","抖~抖~","102201"
"42","2099/08/01 14:59:59","2015/04/01 14:00:00","怒怒","102301"
"43","2099/08/01 14:59:59","2015/04/01 14:00:00","辛苦啦…哇哇！？","102501"
"67","2099/08/01 14:59:59","2021/12/09 12:00:00","好累喔～","102601"
"44","2099/08/01 14:59:59","2015/04/01 14:00:00","呵呵呵…","102701"
"45","2099/08/01 14:59:59","2015/04/01 14:00:00","要上了！","102801"
"46","2099/08/01 14:59:59","2015/04/01 14:00:00","交給我！","102901"
"68","2099/08/01 14:59:59","2021/12/09 12:00:00","統一天下是也！","103001"
"47","2099/08/01 14:59:59","2015/04/01 14:00:00","晚晚安！","103101"
"69","2099/08/01 14:59:59","2021/12/09 12:00:00","真不好意思","103201"
"70","2099/08/01 14:59:59","2021/12/09 12:00:00","騙你的！","103301"
"48","2099/08/01 14:59:59","2015/04/01 14:00:00","乾杯！！","103401"
"49","2099/08/01 14:59:59","2015/04/01 14:00:00","已通報!!","103601"
"71","2099/08/01 14:59:59","2021/12/09 12:00:00","每日鍛鍊","103701"
"72","2099/08/01 14:59:59","2021/12/09 12:00:00","要不要……休息一下？","103801"
"50","2099/08/01 14:59:59","2015/04/01 14:00:00","剩下就拜託了…","104001"
"73","2099/08/01 14:59:59","2021/12/09 12:00:00","賜你守護……","104201"
"74","2099/08/01 14:59:59","2021/12/09 12:00:00","熱血沸騰啦！","104301"
"51","2099/08/01 14:59:59","2015/04/01 14:00:00","隨我而來吧！","104401"
"52","2099/08/01 14:59:59","2015/04/01 14:00:00","想吃…","104501"
"53","2099/08/01 14:59:59","2015/04/01 14:00:00","喵！","104601"
"75","2099/08/01 14:59:59","2021/12/09 12:00:00","以這雙手來守護！","104701"
"54","2099/08/01 14:59:59","2015/04/01 14:00:00","ＮＯ！","104801"
"55","2099/08/01 14:59:59","2015/04/01 14:00:00","抱歉呦♡","104901"
"56","2099/08/01 14:59:59","2015/04/01 14:00:00","快振作！！","105001"
"76","2099/08/01 14:59:59","2021/12/09 12:00:00","做實驗做實驗……♪","105101"
"77","2099/08/01 14:59:59","2021/12/09 12:00:00","呸呸！","105201"
"57","2099/08/01 14:59:59","2015/04/01 14:00:00","給我等一下！！","105301"
"78","2099/08/01 14:59:59","2021/12/09 12:00:00","真是沒辦法呀","105401"
"58","2099/08/01 14:59:59","2021/12/09 12:00:00","辛苦了！","105501"
"79","2099/08/01 14:59:59","2021/12/09 12:00:00","不用顧慮啦","105601"
"26","2099/08/01 14:59:59","2015/04/01 14:00:00","嗨！！","105801"
"27","2099/08/01 14:59:59","2015/04/01 14:00:00","幹的好","105901"
"28","2099/08/01 14:59:59","2015/04/01 14:00:00","給我記住","106001"
"80","2099/08/01 14:59:59","2021/12/09 12:00:00","哈～哈哈哈！","106101"
"81","2099/08/01 14:59:59","2021/12/09 12:00:00","請多指教囉。","106401"
"82","2099/08/01 14:59:59","2021/12/09 12:00:00","打架時間到了！","106501"
"83","2099/08/01 14:59:59","2021/12/09 12:00:00","不管那麼多了！","106601"
"84","2099/08/01 14:59:59","2021/12/09 12:00:00","答對了～♪","106701"
"85","2099/08/01 14:59:59","2021/12/09 12:00:00","歡迎你！","106801"
"86","2099/08/01 14:59:59","2021/12/09 12:00:00","我模仿看看","107001"
"87","2099/08/01 14:59:59","2021/12/09 12:00:00","來盡情享受吧","107101"
"88","2099/08/01 14:59:59","2021/12/09 12:00:00","真令人沮喪──","110801"
"89","2099/08/01 14:59:59","2021/12/09 12:00:00","好喜歡！","110901"
"90","2099/08/01 14:59:59","2021/12/09 12:00:00","非常有趣","111001"
"2","2099/08/01 14:59:59","2023/01/20 16:00:00","OK唷！","111101"
"3","2099/08/01 14:59:59","2023/01/20 16:00:00","嗨呵～！","111201"
"4","2099/08/01 14:59:59","2023/01/20 16:00:00","謝謝♪","111301"
"5","2099/08/01 14:59:59","2023/01/20 16:00:00","最～喜歡了！","111401"
"6","2099/08/01 14:59:59","2023/01/20 16:00:00","好興奮喔","111501"
"7","2099/08/01 14:59:59","2023/01/20 16:00:00","你也一起來★","111601"
"8","2099/08/01 14:59:59","2023/01/20 16:00:00","不賴嘛","111701"
"9","2099/08/01 14:59:59","2023/01/20 16:00:00","呼嚕呼嚕……","111801"
"10","2099/08/01 14:59:59","2023/01/20 16:00:00","加油！加油！","111901"
"11","2099/08/01 14:59:59","2023/01/20 16:00:00","嗨起來～♪","112001"
"12","2099/08/01 14:59:59","2023/01/20 16:00:00","呀～！","112101"
