61199016be4f5aa11e5c79b1b6c8804d0d9fddcd2c2992cf6d293e099b45579f,00b5f2d578afe47415c69bfb8873b86fda467dd36714218fe20032e232725c06,7048ed3bb632e222b05f0ff07bfe40349101c9848e2a491d640576980cd4a140,0557275b53d2ea0ca554aeab49697b19fc94407281cf7741d9c8da0e4fea5941,68aa8a438082028d323b37d5b4c5819dd351816e816ecc826692f62a70e5cc89,bfa0105a4e14a58e08d29f6f8e2b94007211564c98ac0de45549dc1a6a2b9582,65d6ef012843d8b772247b62a7e4c16fe7ad3c9e0dbabbb02d9613221522fd11,2c5a8b4f89c75b225d80fd58d3145144ec9d773317b788f03e32b447cf250167,4603ee4ea84fab3f0d81e8c1d1e54d4f4637815212c75ab43c65c0b36c909af5,c389d23326e5bb478b9337d0b3fbecd4d4bce7db07d43d7646b74fad7c768ad3,fc752323eebd7c0cdf015138e13bd3a20a13369d9825d2644ef8994edfd66fb6,024c026e9f48d2fa833778b0afa92b549e8a88b1a0b537cb22343e8f2f64ec0b,7b210de244fdffd17a1f222dec2b1dcbcdfe5b17a82801aadc4b97fc2dd33a81,cab3a84ee9f39b0feffcb4f4d0f725f569f6ca59cc89ef0771612819952adf2c
"1","1","1","0","180","180","19","-1","-1","-1","-1","-1","-1","0"
"2","1","1","0","180","180","19","-1","-1","-1","-1","-1","-1","0"
"3","1","1","0","180","180","19","-1","-1","-1","-1","-1","-1","0"
"4","1","0","0","180","180","19","-1","-1","-1","-1","-1","-1","0"
"5","1","1","0","180","180","19","-1","-1","-1","-1","-1","-1","0"
"6","1","1","0","180","180","19","-1","-1","-1","-1","-1","-1","0"
"7","1","1","0","180","180","19","-1","-1","-1","-1","-1","-1","0"
"8","1","1","0","180","180","19","-1","-1","-1","-1","-1","-1","0"
"9","1","1","0","215","215","23","-1","-1","-1","-1","-1","-1","0"
"10","1","1","0","215","215","23","-1","-1","-1","-1","-1","-1","0"
"11","1","0","0","215","215","23","-1","-1","-1","-1","-1","-1","0"
"12","1","1","0","215","215","23","-1","-1","-1","-1","-1","-1","0"
"13","1","1","0","215","215","23","-1","-1","-1","-1","-1","-1","0"
"14","1","1","0","215","215","23","-1","-1","-1","-1","-1","-1","0"
"15","1","1","0","215","215","23","-1","-1","-1","-1","-1","-1","0"
"16","1","1","0","215","215","23","-1","-1","-1","-1","-1","-1","0"
"17","1","1","0","250","250","26","-1","-1","-1","-1","-1","-1","0"
"18","1","0","0","250","250","26","-1","-1","-1","-1","-1","-1","0"
"20","1","1","0","250","250","26","-1","-1","-1","-1","-1","-1","0"
"21","1","1","0","250","250","26","-1","-1","-1","-1","-1","-1","0"
"22","1","1","0","250","250","26","-1","-1","-1","-1","-1","-1","0"
"23","1","0","0","260","260","28","-1","-1","-1","-1","-1","-1","0"
"24","1","1","0","250","250","26","-1","-1","-1","-1","-1","-1","0"
"25","1","1","0","250","250","26","-1","-1","-1","-1","-1","-1","0"
"26","1","0","0","280","280","29","-1","-1","-1","-1","-1","-1","0"
