18f83f36ac58ec370c06ffdb29ad98eca2bb44955f2b3e631bd6ee22444427c5,2df8f896a58dfce0fff0d969d66da551a6afc122f45b43e04d3241b2c35d0f93,2f30c8824baf9904bba750474b2c41b4d570fc57da0d6b6a401083ab42f3ae4a,2610be2f38092e6a58aeba3060b2bf739510f6386eae164ac99f9273af78f5b8,76bef5f3a16b6dd8213a970dd4af81aa81740bc018dd15986d99bdb71a458ae9
"32000101","320001011","2","25011","1000"
"32000101","320001012","2","25012","1000"
"32000102","320001021","2","25013","1000"
"32000102","320001022","2","25014","1000"
"32000103","320001031","8","91002","1000"
"32000103","320001032","12","94002","3000000"
"32000103","320001033","2","25015","1000"
"32000103","320001034","2","25021","1000"
"32000104","320001041","2","25013","1000"
"32000104","320001042","2","25014","1000"
"32000105","320001051","2","25012","1000"
"32000105","320001052","2","25015","1000"
"32000106","320001061","8","91002","1000"
"32000106","320001062","12","94002","3000000"
"32000106","320001063","2","25011","1000"
"32000106","320001064","2","25021","1000"
"32000107","320001071","2","25014","1000"
"32000107","320001072","2","25015","1000"
"32000108","320001081","2","25011","1000"
"32000108","320001082","2","25013","1000"
"32000109","320001091","8","91002","1000"
"32000109","320001092","12","94002","3000000"
"32000109","320001093","2","25012","1000"
"32000109","320001094","2","25021","1000"
"32000110","320001101","2","25011","3000"
"32000110","320001102","2","25012","3000"
"32000110","320001103","2","25013","3000"
"32000110","320001104","2","25014","3000"
"32000110","320001105","2","25015","3000"
"32000111","320001111","2","25011","3000"
"32000111","320001112","2","25012","3000"
"32000111","320001113","2","25013","3000"
"32000111","320001114","2","25014","3000"
"32000111","320001115","2","25015","3000"
"32000112","320001121","2","25011","3000"
"32000112","320001122","2","25012","3000"
"32000112","320001123","2","25013","3000"
"32000112","320001124","2","25014","3000"
"32000112","320001125","2","25015","3000"
"32000113","320001131","2","21953","1"
"32000113","320001132","2","25021","2000"
