7eff1fb36285592878e017e574afc8126d8b37b3b979757599839af1fc722d57,eeea4f7bc0c9653e7c03759ca2fb27e3d9044e16a1779b5130e077ebd8d89c73,94de51279ce26f6ae8422de47d4844e4a64e542ddc639511ad102f5f1761ef4b,4fe7579065382c05a90e8026c262d5e8e7c26654ba0b869da2d4c1ef333cd004,70e923a3348072140a348292e02e728c8640646a11d957b689dfda6112f4567e,3cf80c5be6334663ea5c401501ce371ba2dae3a7fce21eaefff4377588f2e957,f3e022269b2aff31286afe3ad384d45c638b7bd2bc9704f3a06803124cd5a61a,69364b65be0528cd13429db62e9c91aa749390a51e033e857810a4e2240f74c0,eff672e9d090c7d5d90b789599c09060bb00e3631d4db3620f639a6f56cd375b,1284159eb99fd98ebf8ec51d350b02159cab1dad595e8d4360879b4dbd9960c0,046a7fd1579bdc1fc43340b94a13414df0541b7d6fae93254c8696f7cd558759
"1","travel_topdrama_r_2000_idle_smile","42","20011","-68","0.8","101","1","105811","1200110001","1"
"1","travel_topdrama_r_2000_idle_sad_shy","-42","20011","-68","0.8","102","0","106011","1200110002","1"
"5","mana","0","20011","-75","1","110","0","0","1200110003","0"
"91","","","20011","","","","","","1200110004","0"
"93","","","20011","","","","","0","1200110005","10"
"101","","","20011","","","","","","1200110006","1200110005"
"3","","","20011","","0","0","","none","1200110007","0"
"91","","","20011","","","","","","1200110008","0"
"13","","","20012","","","","","103","1200120001","105811"
"13","","","20012","","","","","104","1200120002","106011"
"3","","travel_topdrama_r_2000_talk_smile_loop","20012","1","0.2","0","","travel_topdrama_r_2000_talk_smile_in","1200120003","105811"
"21","","0","20012","","","0","","vo_travel_talk_20001_00","1200120004","vo_travel_talk"
"11","0","1","20012","1","0","10","0","小凱留也有好好享受冒險嗎？\n調味料還有非常多，\n發現新種魔物的話要告訴我唷♪","1200120005","105811"
"91","","","20012","","","","","","1200120006","0"
"3","","","20012","","0.2","1","","travel_topdrama_r_2000_idle_smile","1200120007","105811"
"3","","","20012","1","0.2","1","","travel_topdrama_r_2000_talk_anger_shy","1200120008","106011"
"21","","0","20012","","","0","","vo_travel_talk_20001_01","1200120009","vo_travel_talk"
"11","0","1","20012","1","0","10","0","妳啊，通通都搞錯了啊！\n我們要找的是寶物，\n魔物也不是食材啊！","1200120010","106011"
"91","","","20012","","","","","","1200120011","0"
"3","","","20012","","0.2","1","","travel_topdrama_r_2000_idle_sad_shy","1200120012","106011"
"3","","travel_topdrama_r_2000_talk_smile_loop","20012","1","0.2","0","","travel_topdrama_r_2000_talk_smile_in","1200120013","105811"
"21","","0","20012","","","0","","vo_travel_talk_20001_02","1200120014","vo_travel_talk"
"11","0","1","20012","1","0","10","0","好了好了，別這樣說嘛。\n如果完成了新的魔物料理的話，\n我也會分給小凱留的啦♪","1200120015","105811"
"91","","","20012","","","","","","1200120016","0"
"3","","","20012","","0.2","1","","travel_topdrama_r_2000_idle_smile","1200120017","105811"
"112","","","20012","","","","","","1200120018",""
"91","","","20012","","","","","","1200120019","0"
"1","travel_topdrama_r_2000_idle_normal","42","20021","-68","0.8","101","1","100211","1200210001","1"
"1","travel_topdrama_r_2002_sitting_loop","-42","20021","-68","0.8","102","0","100111","1200210002","1"
"5","travel_topdrama_r_2002_sitting_loop","-42","20021","-68","0.8","100","0","3","1200210003","3"
"5","mana","0","20021","-75","1","110","0","0","1200210004","0"
"91","","","20021","","","","","","1200210005","0"
"93","","","20021","","","","","0","1200210006","10"
"101","","","20021","","","","","","1200210007","1200210006"
"3","","","20021","","0","0","","none","1200210008","0"
"91","","","20021","","","","","","1200210009","0"
"13","","","20022","","","","","103","1200220001","100211"
"13","","","20022","","","","","104","1200220002","100111"
"3","","","20022","1","0.2","1","","travel_topdrama_r_2000_talk_normal","1200220003","100211"
"21","","0","20022","","","0","","vo_travel_talk_20002_00","1200220004","vo_travel_talk"
"11","0","1","20022","1","0","10","0","嗯，這樣應該就沒問題了。\n傷口應該都癒合了，\n還有哪裡會痛嗎？","1200220005","100211"
"91","","","20022","","","","","","1200220006","0"
"3","","","20022","","0.2","1","","travel_topdrama_r_2000_idle_normal","1200220007","100211"
"21","","0","20022","","","0","","vo_travel_talk_20002_01","1200220008","vo_travel_talk"
"11","0","1","20022","1","0","10","0","沒問題了，謝謝妳！\n果然在長途的旅程中，\n優衣的魔法非常可靠呢♪","1200220009","100111"
"91","","","20022","","","","","","1200220010","0"
"3","","travel_topdrama_r_2000_talk_wish_loop_joy","20022","1","0.2","0","","travel_topdrama_r_2000_talk_wish_in_joy","1200220011","100211"
"21","","0","20022","","","0","","vo_travel_talk_20002_02","1200220012","vo_travel_talk"
"11","0","1","20022","1","0","10","0","不用客氣♪\n雖然不要受傷最好的，但有\n困難的時候不用客氣儘管跟我說唷？","1200220013","100211"
"91","","","20022","","","","","","1200220014","0"
"3","","","20022","","0.2","1","","travel_topdrama_r_2000_idle_wish_joy","1200220015","100211"
"112","","","20022","","","","","","1200220016",""
"91","","","20022","","","","","","1200220017","0"
"1","travel_topdrama_r_2000_idle_doya","-42","20031","-68","0.8","101","0","100411","1200310001","1"
"1","travel_topdrama_r_2000_idle_normal","42","20031","-68","0.8","102","1","102011","1200310002","1"
"5","mana","0","20031","-75","1","110","0","0","1200310003","0"
"91","","","20031","","","","","","1200310004","0"
"93","","","20031","","","","","0","1200310005","10"
"101","","","20031","","","","","","1200310006","1200310005"
"3","","","20031","","0","0","","none","1200310007","0"
"91","","","20031","","","","","","1200310008","0"
"13","","","20032","","","","","103","1200320001","100411"
"13","","","20032","","","","","104","1200320002","102011"
"3","","travel_topdrama_r_2000_talk_doya_loop","20032","1","0.2","0","","travel_topdrama_r_2000_talk_doya_in","1200320003","100411"
"21","","0","20032","","","0","","vo_travel_talk_20003_00","1200320004","vo_travel_talk"
"11","0","1","20032","1","0","10","0","冒險的準備是非常重要的！\n所以為了不要迷路\n把指南針給帶來了～♪","1200320005","100411"
"91","","","20032","","","","","","1200320006","0"
"3","","","20032","","0.2","1","","travel_topdrama_r_2000_idle_doya","1200320007","100411"
"3","","travel_topdrama_r_2000_talk_wish_loop","20032","1","0.2","0","","travel_topdrama_r_2000_talk_wish_in","1200320008","102011"
"21","","0","20032","","","0","","vo_travel_talk_20003_01","1200320009","vo_travel_talk"
"11","0","1","20032","1","0","10","0","禊好厲害呀～♪\n這個指南針一直轉來轉去的，\n要怎麼看方向呀～？","1200320010","102011"
"91","","","20032","","","","","","1200320011","0"
"3","","","20032","","0.2","1","","travel_topdrama_r_2000_idle_wish","1200320012","102011"
"3","","travel_topdrama_r_2000_talk_sad_loop_surprise2","20032","1","0.2","0","","travel_topdrama_r_2000_talk_sad_in_surprise2","1200320013","100411"
"21","","0","20032","","","0","","vo_travel_talk_20003_02","1200320014","vo_travel_talk"
