dd348661efa6004f402f6229d30978e50e65f6079a5466498dedbe3c14680b37,850f52886e775d4f47a7587d146a7aa25abc0ce32ef4610486077227288fe928,ffb95b4b0c612aa58829177f7cc3427bdd13e547dd3e55a70f81472c270e3f9a,0291693a878e74586926c1d80fb764090b1c2d32f82bacacccff16c9aca7eb88
"1","HP","1","10000"
"2","物理攻擊力","1","10000"
"3","物理防禦力","1","10000"
"4","魔法攻擊力","1","10000"
"5","魔法防禦力","1","10000"
"6","物理暴擊率","1","10000"
"7","魔法暴擊率","1","10000"
"8","迴避率","0","1"
"9","HP吸收","0","1"
"10","HP自動恢復","0","1"
"11","TP自動恢復","0","1"
"12","物理貫通傷害","0","1"
"13","魔法貫通傷害","0","1"
"14","TP上升","0","1"
"15","回復量上升","0","1"
"16","TP消耗減輕","0","1"
"17","命中","0","1"
"100","物理暴擊傷害","1","100"
"101","魔法暴擊傷害","1","100"
"102","物理造成的傷害","1","100"
"103","魔法造成的傷害","1","100"
"104","屬性獎勵","1","10000"
