6255a6371e38a8836423abf3e2010261f3e3e7b3922498ac0a686c151ffc80a8,aafdcee15756f439cdfba6f0f535a46f90d9ca97f0cdd237876e9e9afec73097,ce83f3f37631cc2410f1c601838595b114b994c1f876311589e8a70ac1e80cbb,3429343138e96e43709db64d196bd8de506669d514c29c265514f960485779cb,5fbfe02f9ad9cb3e275e3eab66e8e8c0b043bb49afc1e918d45fc663616beba1,c05c04b66492ba7a118dcf800548df15f3df0edef16234bbbde951c395c20c30,6e03fc86b994f536c80179435425de7853863fef573bfbc92e9a3b80a07859d3,f9f1b0a9487696f241b7501c4efb28bbc8b525574c45b8014bd3f8d5b505a83e,c87b7b2dbd79d6f6f110183f2d2fe98882b0d56221d71253eabe3b8c8ea01be8,38751100d8dcb031b330ea135728c87746a117f31eae70a5771030a435bcb8e3,48e8e30fc8ffcdb87df87c0cb54dd33326357649940dd66b1289bd4c8b816c1f
"0.65","50","-622","2","5","0","10001","empty","2","0","10001001"
"0.65","51","-622","1","5","0","10001","empty","1","0","10001002"
"0","1","0","2","6","1","10001","","1","0","10001003"
"0","1","0","1","6","1","10001","","1","0","10001004"
"0","0","1","10001","31","0","10001","","10001","","10001005"
"","","","0","91","","10001","","0","","10001006"
"0.2","1","1","2","6","1","10001","","1","0","10001007"
"0.2","1","1","1","6","1","10001","","1","0","10001008"
"","-472","14","2","2","0.3","10001","","0","0","10001009"
"","-472","14","1","2","0.3","10001","","0","0","10001010"
"0","0","","2","3","","10001","","limitedMission_congratulations","","10001011"
"0","0","","1","3","","10001","","limitedMission_congratulations","","10001012"
"","","","10001","32","","10001","","1","","10001013"
"","","","3","93","","10001","","0","","10001014"
"0.2","1","0","2","6","1","10001","","1","0","10001015"
"0.2","1","0","1","6","1","10001","","1","0","10001016"
"","","","0.2","93","","10001","","0","","10001017"
