88bdb9e10a4e0de2480bf0e94644460348a0bf1abbcd2dd796b8976d3d624506,eec829b8e9d43ff2229f60c6fe9847875f0f53e8f14639126f02d40181c140de,6af24833ea74f88e2faf4b47e731f2e8bdeaf20add52bd9c6fb24cec4e7fab86,8e79a8e0e59e4ca6b29cc040c98b4b8868c10e9567495f541b0116359b7350e2,0a965c043e984ab8280e26934ec72598a0c43107f6840a4c5be192d1b2c06c89,af8e492b068bc712544356a4d680194f27684eaf8df358144a6326b4f68112a0,cf7fff6e6c17bbbc4d21e9752f3da02abc93962a73469bcea880f3e947057196,8ccdaca0897a888e5fe7062dae5fe0752ed9004c4f51505031a8f1ec188e8411,90d34d6fa94c14afc7ce3f6cbba2a2d06f8af1024587a685240b2b8b418b89f3,c03a5c50817d498c3afde359e1a0fca4c8a0eff4a191f778273b66cb1b31cf6f,a6c45bb426bf8ac30ef0bce35dc51cd9bf7ca32f4a000f285bf5e76891bb7f9a,e4e8e5c584c0fa950b0eb43417a47c046876412763f81f90a95bb543e24ce802
"1","0","0","0","0","3","4","0","0","1","1","1010001"
"2","0","vo_minigame_1005_nikki01_000","0","0","0","2","0","vo_minigame_1005","0","1","1010002"
"3","1.418","0","0","202","0","1","1","0","0","1","1010003"
"4","0","0","0","0","1","4","0","0","1.858","1","1010004"
"5","2.536","0","0","316","0","1","2","0","0","1","1010005"
"6","0","0","0","0","1","4","0","0","3.484","1","1010006"
"7","0","vo_minigame_1005_nikki01_001","0","0","0","2","0","vo_minigame_1005","0","1","1010007"
"8","1.131","0","0","183","0","1","3","0","0","1","1010008"
"9","0","0","0","0","1","4","0","0","1.407","1","1010009"
"10","1.043","0","183","318","0","1","3","0","0","1","1010010"
"11","0","0","0","0","1","4","0","0","1.719","1","1010011"
"12","0.69","0","318","389","0","1","3","0","0","1","1010012"
"13","0","0","0","0","1","4","0","0","0.69","1","1010013"
"14","1.694","0","0","244","0","1","4","0","0","1","1010014"
"15","0","0","0","0","1","4","0","0","2.204","1","1010015"
"16","1.298","0","244","384","0","1","4","0","0","1","1010016"
"17","0","0","0","0","1","4","0","0","1.298","1","1010017"
"18","1.118","0","0","67","0","1","5","0","0","1","1010018"
"19","0","0","0","0","1","4","0","0","1.199","1","1010019"
"20","0.958","0","67","103","0","1","5","0","0","1","1010020"
"21","0","0","0","0","1","4","0","0","1.269","1","1010021"
"22","1.373","0","103","394","0","1","5","0","0","1","1010022"
"23","0","0","0","0","1","4","0","0","1.373","1","1010023"
"24","0.193","0","0","0","0","1","6","0","0","1","1010024"
"25","0","0","0","0","1","4","0","0","0.552","1","1010025"
"26","2.64","0","0","368","0","1","6","0","0","1","1010026"
"27","0","0","0","0","1","4","0","0","3.195","1","1010027"
"28","0.599","0","0","64","0","1","7","0","0","1","1010028"
"29","0","0","0","0","1","4","0","0","0.929","1","1010029"
"30","1.302","0","64","315","0","1","7","0","0","1","1010030"
"31","0","0","0","0","1","4","0","0","2.395","1","1010031"
"32","0","vo_minigame_1005_nikki01_002","0","0","0","2","0","vo_minigame_1005","0","1","1010032"
"33","2.09","0","0","345","0","1","8","0","0","1","1010033"
"34","0","0","0","0","1","4","0","0","2.512","1","1010034"
"35","0.868","0","0","63","0","1","9","0","0","1","1010035"
"36","0","0","0","0","1","4","0","0","0.907","1","1010036"
"37","1.107","0","63","315","0","1","9","0","0","1","1010037"
"38","0","0","0","0","1","4","0","0","1.107","1","1010038"
"39","1.107","0","0","162","0","1","10","0","0","1","1010039"
"40","0","0","0","0","1","4","0","0","1.455","1","1010040"
"41","1.65","0","162","162","0","1","10","0","0","1","1010041"
"42","0","0","0","0","1","4","0","0","2.654","1","1010042"
"43","0","vo_minigame_1005_nikki01_003","0","0","0","2","0","vo_minigame_1005","0","1","1010043"
"44","0.685","0","162","262","0","1","10","0","0","1","1010044"
"45","0","0","0","0","1","4","0","0","1.036","1","1010045"
"46","0.378","0","262","397","0","1","10","0","0","1","1010046"
"47","0","0","0","0","1","4","0","0","0.378","1","1010047"
"48","2.438","0","0","377","0","1","11","0","0","1","1010048"
"49","0","0","0","0","1","4","0","0","3.395","1","1010049"
"50","0","vo_minigame_1005_nikki01_004","0","0","0","2","0","vo_minigame_1005","0","1","1010050"
"51","0.642","0","0","102","0","1","12","0","0","1","1010051"
"52","0","0","0","0","1","4","0","0","1.061","1","1010052"
"53","0.539","0","102","187","0","1","12","0","0","1","1010053"
"54","0","0","0","0","1","4","0","0","0.877","1","1010054"
"55","1.135","0","187","316","0","1","12","0","0","1","1010055"
"56","0","0","0","0","1","4","0","0","2.635","1","1010056"
"1","0","0","0","0","3","4","0","0","1","2","1020001"
"2","0","vo_minigame_1005_nikki02_000","0","0","0","2","0","vo_minigame_1005","0","2","1020002"
"3","2.91","0","0","345","0","1","1","0","0","2","1020003"
