10ef45138ecc36a7e53101475bc4813dd2939643b1b2beabdafb593355198450,079a633d94297bffe88bde34f5a3f22c2266578d00b4324ae63f743ef1d3a27e,67f80e63f5b9d8aa3b422cfe1962663f422c3ca983bd95490372660dffbe8b2c,6a15885e914ba00004bcb568e91c98d722752d056be28a0368c52d355d35a58a,d25b977b75534435481df8e91d79fde33018cce53720a018af6dfa9c61aecc41,81f43b54a4f8789493e32c2c2036ce5c2336cbdfb7abf84d8917101d12467592,f92aeb880e63a15df1660e7add723c5c52a773f987edc223b9c334252a548878
"180010113","180010111","1","59","180010112","18001001","1"
"180010213","180010211","2","99","180010212","18001001","60"
"180010313","180010311","3","119","180010312","18001001","100"
"180010413","180010411","4","139","180010412","18001001","120"
"180010513","180010511","5","149","180010512","18001001","140"
"180010613","180010611","6","159","180010612","18001001","150"
"180010713","180010711","7","169","180010712","18001001","160"
"180010813","180010811","8","-1","180010812","18001001","170"
"180010123","180010121","9","59","180010122","18001002","1"
"180010223","180010221","10","99","180010222","18001002","60"
"180010323","180010321","11","119","180010322","18001002","100"
"180010423","180010421","12","139","180010422","18001002","120"
"180010523","180010521","13","149","180010522","18001002","140"
"180010623","180010621","14","159","180010622","18001002","150"
"180010723","180010721","15","169","180010722","18001002","160"
"180010823","180010821","16","-1","180010822","18001002","170"
"180010133","180010131","17","59","180010132","18001003","1"
"180010233","180010231","18","99","180010232","18001003","60"
"180010333","180010331","19","119","180010332","18001003","100"
"180010433","180010431","20","139","180010432","18001003","120"
"180010533","180010531","21","149","180010532","18001003","140"
"180010633","180010631","22","159","180010632","18001003","150"
"180010733","180010731","23","169","180010732","18001003","160"
"180010833","180010831","24","-1","180010832","18001003","170"
"180010143","180010141","25","59","180010142","18001004","1"
"180010243","180010241","26","99","180010242","18001004","60"
"180010343","180010341","27","119","180010342","18001004","100"
"180010443","180010441","28","139","180010442","18001004","120"
"180010543","180010541","29","149","180010542","18001004","140"
"180010643","180010641","30","159","180010642","18001004","150"
"180010743","180010741","31","169","180010742","18001004","160"
"180010843","180010841","32","179","180010842","18001004","170"
"180010943","180010941","33","189","180010942","18001004","180"
"180011043","180011041","34","199","180011042","18001004","190"
"180011143","180011141","35","-1","180011142","18001004","200"
"180010153","180010151","36","59","180010152","18001005","1"
"180010253","180010251","37","99","180010252","18001005","60"
"180010353","180010351","38","119","180010352","18001005","100"
"180010453","180010451","39","139","180010452","18001005","120"
"180010553","180010551","40","149","180010552","18001005","140"
"180010653","180010651","41","159","180010652","18001005","150"
"180010753","180010751","42","169","180010752","18001005","160"
"180010853","180010851","43","179","180010852","18001005","170"
"180010953","180010951","44","189","180010952","18001005","180"
"180011053","180011051","45","199","180011052","18001005","190"
"180011153","180011151","46","209","180011152","18001005","200"
"180011253","180011251","47","219","180011252","18001005","210"
"180011353","180011351","48","229","180011352","18001005","220"
"180011453","180011451","49","239","180011452","18001005","230"
"180011553","180011551","50","-1","180011552","18001005","240"
"180010163","180010161","51","59","180010162","18001006","1"
"180010263","180010261","52","99","180010262","18001006","60"
"180010363","180010361","53","119","180010362","18001006","100"
"180010463","180010461","54","139","180010462","18001006","120"
"180010563","180010561","55","149","180010562","18001006","140"
"180010663","180010661","56","159","180010662","18001006","150"
"180010763","180010761","57","169","180010762","18001006","160"
"180010863","180010861","58","179","180010862","18001006","170"
"180010963","180010961","59","189","180010962","18001006","180"
"180011063","180011061","60","199","180011062","18001006","190"
"180011163","180011161","61","209","180011162","18001006","200"
"180011263","180011261","62","219","180011262","18001006","210"
"180011363","180011361","63","229","180011362","18001006","220"
"180011463","180011461","64","239","180011462","18001006","230"
"180011563","180011561","65","249","180011562","18001006","240"
"180011663","180011661","66","259","180011662","18001006","250"
"180011763","180011761","67","-1","180011762","18001006","260"
"180010173","180010171","68","59","180010172","18001007","1"
"180010273","180010271","69","99","180010272","18001007","60"
"180010373","180010371","70","119","180010372","18001007","100"
"180010473","180010471","71","139","180010472","18001007","120"
"180010573","180010571","72","149","180010572","18001007","140"
"180010673","180010671","73","159","180010672","18001007","150"
"180010773","180010771","74","169","180010772","18001007","160"
"180010873","180010871","75","179","180010872","18001007","170"
"180010973","180010971","76","189","180010972","18001007","180"
"180011073","180011071","77","199","180011072","18001007","190"
"180011173","180011171","78","209","180011172","18001007","200"
"180011273","180011271","79","219","180011272","18001007","210"
"180011373","180011371","80","229","180011372","18001007","220"
"180011473","180011471","81","239","180011472","18001007","230"
"180011573","180011571","82","249","180011572","18001007","240"
"180011673","180011671","83","259","180011672","18001007","250"
"180011773","180011771","84","269","180011772","18001007","260"
"180011873","180011871","85","279","180011872","18001007","270"
