ca363878e811d46749dde61bccda23b6b6bb0bfa7fbefd675943491a80c3cc20,00dc7ffb7d7b5878b473b0c65246ae869ed32d64673913b0248d7233fa45afc9,bc0dab038b2a61308c2ece43b46585ecf6eaaf74d0dab9a264e1ae0788a0557e,f44ac99f2a70c004add215bc71e1cb9c52073e030386afec5ddc2cbfe4fb9c56,a71d4b035f90c0fade9268c15fa5a933c5b7852972e92950b622f84748bf843b,ae0ea227588ed96695b0bb5603d1e1b8f7bbde16e34ccb31c269af037cac5d16,16fe1bae66855f35babb8df1fc2c370d44f7c579f7465daeab8d4b29d4bdcc0f
"924070100","2407001","924070103","924070102","924070105","924070104","924070101"
"924070200","2407002","924070203","924070202","924070205","924070204","924070201"
"924070300","2407003","924070303","924070302","924070305","924070304","924070301"
"924071100","2407004","0","0","0","0","924071101"
"924071200","2407005","0","0","0","0","924071201"
"924071300","2407006","0","0","0","0","924071301"
"924071400","2407007","0","0","0","0","924071401"
"924072100","2407008","0","0","0","0","924072101"
"924072200","2407009","0","0","0","0","924072201"
"924072300","2407010","0","0","0","0","924072301"
"924072400","2407011","0","0","0","0","924072401"
"924073100","2407012","0","0","0","0","924073101"
"924073200","2407013","0","0","0","0","924073201"
"924073300","2407014","0","0","0","0","924073301"
"924073400","2407015","0","0","0","0","924073401"
"924080100","2408001","924080103","924080102","924080105","924080104","924080101"
"924080200","2408002","924080203","924080202","924080205","924080204","924080201"
"924080300","2408003","924080303","924080302","924080305","924080304","924080301"
"924081100","2408004","0","0","0","0","924081101"
"924081200","2408005","0","0","0","0","924081201"
"924081300","2408006","0","0","0","0","924081301"
"924081400","2408007","0","0","0","0","924081401"
"924082100","2408008","0","0","0","0","924082101"
"924082200","2408009","0","0","0","0","924082201"
"924082300","2408010","0","0","0","0","924082301"
"924082400","2408011","0","0","0","0","924082401"
"924083100","2408012","0","0","0","0","924083101"
"924083200","2408013","0","0","0","0","924083201"
"924083300","2408014","0","0","0","0","924083301"
"924083400","2408015","0","0","0","0","924083401"
"924090100","2409001","924090103","924090102","924090105","924090104","924090101"
"924090200","2409002","924090203","924090202","924090205","924090204","924090201"
"924090300","2409003","924090303","924090302","924090305","924090304","924090301"
"924091100","2409004","0","0","0","0","924091101"
"924091200","2409005","0","0","0","0","924091201"
"924091300","2409006","0","0","0","0","924091301"
"924091400","2409007","0","0","0","0","924091401"
"924092100","2409008","0","0","0","0","924092101"
"924092200","2409009","0","0","0","0","924092201"
"924092300","2409010","0","0","0","0","924092301"
"924092400","2409011","0","0","0","0","924092401"
"924093100","2409012","0","0","0","0","924093101"
"924093200","2409013","0","0","0","0","924093201"
"924093300","2409014","0","0","0","0","924093301"
"924093400","2409015","0","0","0","0","924093401"
