1225152f1c771b183736cc4702b8b4e65221100f296f40d2141f61b2a57da01a,3e0c4e2c6c2322f72cbfae7f47c569c4c9b81b1b8684fa2837cacdd8d125d7d6,ef7651623928ac56587775e5dc7160036c0907a9e91fab28d0c8a1eb90d37264,590e95f40efb696b902b64aad4ea39e06175850ae8e9dbb1a2cc42fbe7987d07,651c62f89d30c0902657f5b48f0785d088722df1f84aaae39ddcc287b89b9cb0,1da5fbf6d0995ba45b080d4b691698b6acae070563a9ca7fc2b616c3587fab88,13677ef6369def00984a9c4447452318ddeedcc757486fcadb2508f98a625236,5dfabf1ed101a2629f11d48bb2c993b0369ad8e00ce4543b267b735d4940d121,29ecd6fcdf336184fb3e2330cc9208eaf654e8dbd67a349eeef2bef2fa3316d1,978584e37ad6106c5cb0696242cbd91eb66e660c6a08d80b319d0e2f11476c9e,065136827ed4683a0d8e0b0ce614c693de5bf1a5ba415248cedbeb630346daf5,f83a7f7de703b785f6b2a718fa2b253ca70baf955a53805ee4b42fb2c48294a7
"1","1","0","0","0","0","1005801","0.8","0","4","0","100580101"
"2","0","0","0","vo_ske","0","1005801","0","vo_ske_0101","2","0","100580102"
"3","0","0","94","0","1","1005801","0","0","1","0.705","100580103"
"4","1","0","0","0","0","1005801","1.549","0","4","0","100580104"
"5","0","94","362","0","1","1005801","0","0","1","1.807","100580105"
"6","1","0","0","0","0","1005801","3.027","0","4","0","100580106"
"7","0","0","263","0","2","1005801","0","0","1","1.141","100580107"
"8","1","0","0","0","0","1005801","1.9","0","4","0","100580108"
"9","0","263","400","0","2","1005801","0","0","1","1.78","100580109"
"10","1","0","0","0","0","1005801","4.544","0","4","0","100580110"
"11","0","0","0","vo_ske","0","1005801","0","vo_ske_0102","2","0","100580111"
"12","0","0","195","0","3","1005801","0","0","1","1.322","100580112"
"13","1","0","0","0","0","1005801","2.917","0","4","0","100580113"
"14","0","0","0","vo_ske","0","1005801","0","vo_ske_0103","2","0","100580114"
"15","0","0","228","0","4","1005801","0","0","1","1.932","100580115"
"16","1","0","0","0","0","1005801","2.582","0","4","0","100580116"
"17","0","228","367","0","4","1005801","0","0","1","0.996","100580117"
"18","1","0","0","0","0","1005801","3.856","0","4","0","100580118"
"19","0","0","0","vo_ske","0","1005801","0","vo_ske_0104","2","0","100580119"
"20","0","0","90","0","5","1005801","0","0","1","0.67","100580120"
"21","1","0","0","0","0","1005801","1.785","0","4","0","100580121"
"22","0","90","364","0","5","1005801","0","0","1","2.253","100580122"
"23","1","0","0","0","0","1005801","2.253","0","4","0","100580123"
"24","0","0","0","0","6","1005801","0","0","1","0.962","100580124"
"25","1","0","0","0","0","1005801","2.244","0","4","0","100580125"
"26","0","0","334","0","6","1005801","0","0","1","1.707","100580126"
"27","1","0","0","0","0","1005801","4.225","0","4","0","100580127"
"28","0","0","0","vo_ske","0","1005801","0","vo_ske_0105","2","0","100580128"
"29","0","0","227","0","7","1005801","0","0","1","1.256","100580129"
"30","1","0","0","0","0","1005801","3.119","0","4","0","100580130"
"31","0","0","0","vo_ske","0","1005801","0","vo_ske_0106","2","0","100580131"
"32","0","0","73","0","8","1005801","0","0","1","0.702","100580132"
"33","1","0","0","0","0","1005801","1.386","0","4","0","100580133"
"34","0","73","318","0","8","1005801","0","0","1","1.352","100580134"
"35","1","0","0","0","0","1005801","2.053","0","4","0","100580135"
"36","0","318","383","0","8","1005801","0","0","1","0.733","100580136"
"37","1","0","0","0","0","1005801","1.868","0","4","0","100580137"
"38","0","0","340","0","9","1005801","0","0","1","1.764","100580138"
"39","1","0","0","0","0","1005801","2.905","0","4","0","100580139"
"40","0","340","340","0","9","1005801","0","0","1","0.969","100580140"
"41","1","0","0","0","0","1005801","0.969","0","4","0","100580141"
"42","0","0","0","0","10","1005801","0","0","1","0.808","100580142"
"43","1","0","0","0","0","1005801","2.8","0","4","0","100580143"
"44","0","0","0","vo_ske","0","1005801","0","vo_ske_0107","2","0","100580144"
"45","0","0","52","0","10","1005801","0","0","1","0.25","100580145"
"46","1","0","0","0","0","1005801","0.25","0","4","0","100580146"
"47","0","52","328","0","10","1005801","0","0","1","1.817","100580147"
"48","1","0","0","0","0","1005801","3.312","0","4","0","100580148"
"49","0","328","389","0","10","1005801","0","0","1","0.666","100580149"
"50","1","0","0","0","0","1005801","1.17","0","4","0","100580150"
"51","0","0","0","0","11","1005801","0","0","1","1.616","100580151"
"52","1","0","0","0","0","1005801","4.15","0","4","0","100580152"
"53","0","0","0","vo_ske","0","1005801","0","vo_ske_0108","2","0","100580153"
"54","0","0","142","0","11","1005801","0","0","1","1.198","100580154"
"55","1","0","0","0","0","1005801","2.442","0","4","0","100580155"
"56","0","142","267","0","11","1005801","0","0","1","1.934","100580156"
"57","1","0","0","0","0","1005801","4.434","0","4","0","100580157"
"1","1","0","0","0","0","1005802","0.8","0","4","0","100580201"
