2d73d0b82d1b17b1ecad12163ee0401e3f6b57be3e5c187dc8989bfb953478c9,64c773a854dff752fb66074bfacd4c3f848a260b971b9df1034869fba5fb06c1,4af06a28389d943d96ce09c8478522a9ebb617c13f421d4449924b9f167722ca,47b11b473d8dcd7419d0bc18e4a33134ab4c987504af7a95e1a259b8f490aa61,b4a4c5a3741e024f0654fac8cf0af97abb0278e5e3da0234e1dbe09b6e334584
"8","100","91002","1","30109001"
"2","10","20002","2","30109001"
"8","100","91002","3","30109002"
"12","40000","94002","4","30109002"
"8","300","91002","5","30109003"
"8","500","91002","6","30109004"
"8","500","91002","7","30109005"
"12","1000000","94002","8","30109005"
"8","500","91002","9","30109006"
"12","500000","94002","10","30109006"
"8","600","91002","11","30110001"
"12","200000","94002","12","30110006"
