22bb4960a26f2fc30c8d98edbbd46ec4dfb1cdf4b5a18f8072b59f0db1cf3995,923c54dfffaf81e20998717e93bae10fb652b1fb30e666d1d832895ae919bb72,26d45bb85888ae218d34a26d20596e2606e4c51063757fa50df7479de2e8e15f,df2f14d814de32792aca1ca194ed70e9f65741691bc5ec6a1c1db48e26f7d192,f07806f925df39683ab24aed1a9d1e47b02385a2fef6229c16d83a4412b1bba9,f5f6841bd41619e35d350f1723202d642c4f8f81bc78cf5337da9bc1d12d2eff
"1101","0","0","1","1","20025"
"1102","0","0","1","1","20025"
"1103","5042002","1","1","0","20025"
"1104","0","0","1","1","20025"
"1105","5042003","1","1","0","20025"
"1106","0","0","1","1","20025"
"1107","5042005","2","1","0","20025"
"1201","5042007","1","2","0","20025"
"1202","5042007","2","2","0","20025"
"1203","0","0","2","1","20025"
"1204","0","0","2","1","20025"
"1301","0","0","1","0","20025"
