a358a3b06a4bdd893ba2aa8258e8c6e42a02af788178d3c85c53691d397c562d,47c166d8d8106523284e303226658bd9e5100f2b4c22a094c279a839c1eb1a0c,aa96ae597b828a3b62644fa39441bd12e0e67bb7195c5ef800e640f9e7d1dc5d,1b98949e2f3654ae57b2ae065801ec43bfc6ed03c0ce15ad7b7a982ccaa7e9e1,9dfd04bce60dfa388d46460ca27c616a2b610c53aad8f9a29acdcae7e2635ac6,46770f903b4e69147526ae5c697bdc087e91a3c25812c7e24dfc41f1d0e4d8a9
"1001","58002001","1","1","15","10101001"
"1002","58002002","2","1","15","10101002"
"1003","58002003","3","1","15","10101003"
"1001","56011001","4","1","15","10201001"
"1002","56011002","5","1","15","10201002"
"1003","56011003","6","1","15","10201003"
"0","56011003","7","50","8","91002"
"1001","56011004","8","1","15","10201004"
"1002","56011005","9","1","15","10201005"
"1003","56011006","10","1","15","10201006"
"0","56011006","11","50","8","91002"
"1001","56011007","12","1","15","10201007"
"1002","56011008","13","1","15","10201008"
"1003","56011009","14","1","15","10201009"
"0","56011009","15","50","8","91002"
"1001","56011010","16","1","15","10201010"
"1002","56011011","17","1","15","10201011"
"1003","56011012","18","1","15","10201012"
"0","56011012","19","50","8","91002"
"1001","56011013","20","1","15","10201013"
"1002","56011014","21","1","15","10201014"
"1003","56011015","22","1","15","10201015"
"0","56011015","23","50","8","91002"
"1001","56011016","24","1","15","10201016"
"1002","56011017","25","1","15","10201017"
"1003","56011018","26","1","15","10201018"
"0","56011018","27","50","8","91002"
"1001","56011019","28","1","15","10201019"
"1002","56011020","29","1","15","10201020"
"1003","56011021","30","1","15","10201021"
"0","56011021","31","50","8","91002"
"1001","56011022","32","1","15","10201022"
"1002","56011023","33","1","15","10201023"
"1003","56011024","34","1","15","10201024"
"0","56011024","35","50","8","91002"
"1001","56011025","36","1","15","10201025"
"1002","56011026","37","1","15","10201026"
"1003","56011027","38","1","15","10201027"
"0","56011027","39","50","8","91002"
"1001","56011028","40","1","15","10201028"
"1002","56011029","41","1","15","10201029"
"1003","56011030","42","1","15","10201030"
"0","56011030","43","50","8","91002"
"1001","56011031","44","1","15","10201031"
"1002","56011032","45","1","15","10201032"
"1003","56011033","46","1","15","10201033"
"0","56011033","47","50","8","91002"
"1001","56011034","48","1","15","10201034"
"1002","56011035","49","1","15","10201035"
"1003","56011036","50","1","15","10201036"
"0","56011036","51","50","8","91002"
"1001","56011037","52","1","15","10201037"
"1002","56011038","53","1","15","10201038"
"1003","56011039","54","1","15","10201039"
"0","56011039","55","50","8","91002"
"1001","56011040","56","1","15","10201040"
"1002","56011041","57","1","15","10201041"
"1003","56011042","58","1","15","10201042"
"0","56011042","59","50","8","91002"
"1001","56011043","60","1","15","10201043"
"1002","56011044","61","1","15","10201044"
"1003","56011045","62","1","15","10201045"
"0","56011045","63","50","8","91002"
"1001","56011046","64","1","15","10201046"
"1002","56011047","65","1","15","10201047"
"1003","56011048","66","1","15","10201048"
"0","56011048","67","50","8","91002"
"1001","56011049","68","1","15","10201049"
"1002","56011050","69","1","15","10201050"
"1003","56011051","70","1","15","10201051"
"0","56011051","71","50","8","91002"
"1001","56011052","72","1","15","10201052"
"1002","56011053","73","1","15","10201053"
"1003","56011054","74","1","15","10201054"
"0","56011054","75","50","8","91002"
"1001","56011055","76","1","15","10201055"
"1002","56011056","77","1","15","10201056"
"1003","56011057","78","1","15","10201057"
"0","56011057","79","50","8","91002"
"1001","56011058","80","1","15","10201058"
"1002","56011059","81","1","15","10201059"
"1003","56011060","82","1","15","10201060"
"0","56011060","83","50","8","91002"
"1001","56011061","84","1","15","10201061"
"1002","56011062","85","1","15","10201062"
"1003","56011063","86","1","15","10201063"
"0","56011063","87","50","8","91002"
"1001","56011064","88","1","15","10201064"
"1002","56011065","89","1","15","10201065"
"1003","56011066","90","1","15","10201066"
"0","56011066","91","50","8","91002"
"1001","56011067","92","1","15","10201067"
"1002","56011068","93","1","15","10201068"
"1003","56011069","94","1","15","10201069"
"0","56011069","95","50","8","91002"
"1001","56011070","96","1","15","10201070"
"1002","56011071","97","1","15","10201071"
"1003","56011072","98","1","15","10201072"
"0","56011072","99","50","8","91002"
"1001","56011073","100","1","15","10201073"
"1002","56011074","101","1","15","10201074"
"1003","56011075","102","1","15","10201075"
"0","56011075","103","50","8","91002"
"1001","56011076","104","1","15","10201076"
"1002","56011077","105","1","15","10201077"
"1003","56011078","106","1","15","10201078"
"0","56011078","107","50","8","91002"
"1001","56011079","108","1","15","10201079"
"1002","56011080","109","1","15","10201080"
"1003","56011081","110","1","15","10201081"
"0","56011081","111","50","8","91002"
"1001","56011082","112","1","15","10201082"
"1002","56011083","113","1","15","10201083"
"1003","56011084","114","1","15","10201084"
"0","56011084","115","50","8","91002"
"1001","56011085","116","1","15","10201085"
"1002","56011086","117","1","15","10201086"
"1003","56011087","118","1","15","10201087"
"0","56011087","119","50","8","91002"
"1001","56011088","120","1","15","10201088"
"1002","56011089","121","1","15","10201089"
"1003","56011090","122","1","15","10201090"
"0","56011090","123","50","8","91002"
"1001","56011091","124","1","15","10201091"
"1002","56011092","125","1","15","10201092"
"1003","56011093","126","1","15","10201093"
"0","56011093","127","50","8","91002"
"1001","56011094","128","1","15","10201094"
"1002","56011095","129","1","15","10201095"
"1003","56011096","130","1","15","10201096"
"0","56011096","131","50","8","91002"
"1001","56011097","132","1","15","10201097"
"1002","56011098","133","1","15","10201098"
"1003","56011099","134","1","15","10201099"
"0","56011099","135","50","8","91002"
"1001","56011100","136","1","15","10201100"
"1002","56011101","137","1","15","10201101"
"1003","56011102","138","1","15","10201102"
"0","56011102","139","50","8","91002"
"1001","56011103","140","1","15","10201103"
"1002","56011104","141","1","15","10201104"
"1003","56011105","142","1","15","10201105"
"0","56011105","143","50","8","91002"
"1001","56011106","144","1","15","10201106"
"1002","56011107","145","1","15","10201107"
"1003","56011108","146","1","15","10201108"
"0","56011108","147","50","8","91002"
"1001","56011109","148","1","15","10201109"
"1002","56011110","149","1","15","10201110"
"1003","56011111","150","1","15","10201111"
"0","56011111","151","50","8","91002"
"1001","56011112","152","1","15","10201112"
"1002","56011113","153","1","15","10201113"
"1003","56011114","154","1","15","10201114"
"0","56011114","155","50","8","91002"
"1001","56011115","156","1","15","10201115"
"1002","56011116","157","1","15","10201116"
"1003","56011117","158","1","15","10201117"
"0","56011117","159","50","8","91002"
"1001","56011118","160","1","15","10201118"
"1002","56011119","161","1","15","10201119"
"1003","56011120","162","1","15","10201120"
"0","56011120","163","50","8","91002"
"1001","56011121","164","1","15","10201121"
"1002","56011122","165","1","15","10201122"
"1003","56011123","166","1","15","10201123"
"0","56011123","167","50","8","91002"
"1001","56011124","168","1","15","10201124"
"1002","56011125","169","1","15","10201125"
"1003","56011126","170","1","15","10201126"
"0","56011126","171","50","8","91002"
"1001","56011127","172","1","15","10201127"
"1002","56011128","173","1","15","10201128"
"1003","56011129","174","1","15","10201129"
"0","56011129","175","50","8","91002"
"1001","56011130","176","1","15","10201130"
"1002","56011131","177","1","15","10201131"
"1003","56011132","178","1","15","10201132"
"0","56011132","179","50","8","91002"
"1001","56011133","180","1","15","10201133"
"1002","56011134","181","1","15","10201134"
"1003","56011135","182","1","15","10201135"
"0","56011135","183","50","8","91002"
"1001","56011136","184","1","15","10201136"
"1002","56011137","185","1","15","10201137"
"1003","56011138","186","1","15","10201138"
"0","56011138","187","50","8","91002"
"1001","56011139","188","1","15","10201139"
"1002","56011140","189","1","15","10201140"
"1003","56011141","190","1","15","10201141"
"0","56011141","191","50","8","91002"
"1001","56011142","192","1","15","10201142"
"1002","56011143","193","1","15","10201143"
"1003","56011144","194","1","15","10201144"
"0","56011144","195","50","8","91002"
"1001","56011145","196","1","15","10201145"
"1002","56011146","197","1","15","10201146"
"1003","56011147","198","1","15","10201147"
"0","56011147","199","50","8","91002"
"1001","56011148","200","1","15","10201148"
"1002","56011149","201","1","15","10201149"
"1003","56011150","202","1","15","10201150"
"0","56011150","203","50","8","91002"
"1001","56011151","204","1","15","10201151"
"1002","56011152","205","1","15","10201152"
"1003","56011153","206","1","15","10201153"
"0","56011153","207","50","8","91002"
"1001","56011154","208","1","15","10201154"
"1002","56011155","209","1","15","10201155"
"1003","56011156","210","1","15","10201156"
"0","56011156","211","50","8","91002"
"1001","56011157","212","1","15","10201157"
"1002","56011158","213","1","15","10201158"
"1003","56011159","214","1","15","10201159"
"0","56011159","215","50","8","91002"
"1001","56011160","216","1","15","10201160"
"1002","56011161","217","1","15","10201161"
"1003","56011162","218","1","15","10201162"
"0","56011162","219","50","8","91002"
"1001","56011163","220","1","15","10201163"
"1002","56011164","221","1","15","10201164"
"1003","56011165","222","1","15","10201165"
"0","56011165","223","50","8","91002"
"1001","56011166","224","1","15","10201166"
"1002","56011167","225","1","15","10201167"
"1003","56011168","226","1","15","10201168"
"0","56011168","227","50","8","91002"
"1001","56011169","228","1","15","10201169"
"1002","56011170","229","1","15","10201170"
"1003","56011171","230","1","15","10201171"
"0","56011171","231","50","8","91002"
"1001","56011172","232","1","15","10201172"
"1002","56011173","233","1","15","10201173"
"1003","56011174","234","1","15","10201174"
"0","56011174","235","50","8","91002"
"1001","56011175","236","1","15","10201175"
"1002","56011176","237","1","15","10201176"
