6a0386ae09176e6cca4252163f5be9cf01903341a02a4c9cf67d610b10b866e5,cabcc9bb8cb51137d1ab8c5cb1b70e660f1b91a5e9aaf053d73557dd66196d9a,d27800ab7b6810320784fa16c0bf98d9c54f2a3b53577efc815d080597173a59,6f72605f765b320400c3c649d79afc9ce5fb6a5e4497f603876f8063303ef2ce,3857f62b63b0b0dd7b68f37ad81c7c56be25276e2ae27930511165c569b9b1d3,3ad91764254c5f194ead369e978c62515f990e6ee26afa5d5a3c2ca4be7276f5
"100","1000000","100","100","100","100"
"100","2000000","100","150","100","100"
"100","2000001","150","100","100","100"
"100","2000002","100","100","100","150"
"150","2000003","100","100","100","100"
"100","2000004","100","100","150","100"
"100","2000005","100","300","100","100"
"100","2000006","300","100","100","100"
"100","2000007","100","100","100","300"
"300","2000008","100","100","100","100"
"100","2000009","100","100","300","100"
"100","2000010","100","250","100","100"
"100","2000011","250","100","100","100"
"100","2000012","100","100","100","250"
"250","2000013","100","100","100","100"
"100","2000014","100","100","250","100"
"100","3000000","150","150","100","100"
"100","3000001","100","150","100","150"
"150","3000002","100","150","100","100"
"100","3000003","100","150","150","100"
"100","3000004","150","100","100","150"
"150","3000005","150","100","100","100"
"100","3000006","150","100","150","100"
"150","3000007","100","100","100","150"
"100","3000008","100","100","150","150"
"150","3000009","100","100","150","100"
"100","3000010","250","250","100","100"
"100","3000011","100","250","100","250"
"250","3000012","100","250","100","100"
"100","3000013","100","250","250","100"
"100","3000014","250","100","100","250"
"250","3000015","250","100","100","100"
"100","3000016","250","100","250","100"
"250","3000017","100","100","100","250"
"100","3000018","100","100","250","250"
"250","3000019","100","100","250","100"
"100","4000000","150","150","100","150"
"150","4000001","150","150","100","100"
"100","4000002","150","150","150","100"
"150","4000003","100","150","100","150"
"100","4000004","100","150","150","150"
"150","4000005","100","150","150","100"
"150","4000006","150","100","100","150"
"100","4000007","150","100","150","150"
"150","4000008","150","100","150","100"
"150","4000009","100","100","150","150"
"100","4000010","250","250","100","250"
"250","4000011","250","250","100","100"
"100","4000012","250","250","250","100"
"250","4000013","100","250","100","250"
"100","4000014","100","250","250","250"
"250","4000015","100","250","250","100"
"250","4000016","250","100","100","250"
"100","4000017","250","100","250","250"
"250","4000018","250","100","250","100"
"250","4000019","100","100","250","250"
"150","5000000","150","150","100","150"
"100","5000001","150","150","150","150"
"150","5000002","150","150","150","100"
"150","5000003","100","150","150","150"
"150","5000004","150","100","150","150"
"250","5000010","250","250","100","250"
"100","5000011","250","250","250","250"
"250","5000012","250","250","250","100"
"250","5000013","100","250","250","250"
"250","5000014","250","100","250","250"
