545d511f51ee6af5d9ef73921287c706bb6804faef7a364dbed43cb3f2ca74a5,989da4e8d7696f2fed274d58fd599b362fe4b3f19471a946a99c774197f58fba,4a492fd5874b97db3ddb59f3d7ccd8c428157ee1e011d52648a968030bfe5178,35e7bb3f6e88650f4defce4187eac48918ab2b738e17bf0b3cb3eef05d5fdfaa,6a720211105ccd8345155a8e3702a9a1c37e8050098e3cf2a313501ea50fa303
"750000","4101101","18","11001001","1"
"120000","4101201","18","11001001","2"
"120000","4101202","18","11001001","3"
"120000","4101203","18","11001001","4"
"120000","4101251","18","11001001","5"
"66374","4101301","18","11001001","6"
"66374","4101302","18","11001001","7"
"66374","4101303","18","11001001","8"
"66374","4101351","18","11001001","9"
"4500","4101401","18","11001001","10"
"750000","4104101","18","11001001","11"
"120000","4104201","18","11001001","12"
"120000","4104202","18","11001001","13"
"120000","4104203","18","11001001","14"
"120000","4104251","18","11001001","15"
"66374","4104301","18","11001001","16"
"66374","4104302","18","11001001","17"
"66374","4104303","18","11001001","18"
"66374","4104351","18","11001001","19"
"4500","4104401","18","11001001","20"
"333334","4201101","18","11001001","21"
"80000","4201201","18","11001001","22"
"80000","4201202","18","11001001","23"
"80000","4201203","18","11001001","24"
"44250","4201301","18","11001001","25"
"44250","4201302","18","11001001","26"
"44250","4201303","18","11001001","27"
"2000","4201401","18","11001001","28"
"333334","4202101","18","11001001","29"
"80000","4202201","18","11001001","30"
"80000","4202202","18","11001001","31"
"80000","4202203","18","11001001","32"
"44250","4202301","18","11001001","33"
"44250","4202302","18","11001001","34"
"44250","4202303","18","11001001","35"
"2000","4202401","18","11001001","36"
"333332","4301101","18","11001001","37"
"80000","4301201","18","11001001","38"
"80000","4301202","18","11001001","39"
"44250","4301301","18","11001001","40"
"44250","4301302","18","11001001","41"
"2000","4301401","18","11001001","42"
"0","99006","2","11001001","43"
"0","94002","12","11001001","44"
"0","90008","2","11001001","45"
"0","26201","2","11001001","46"
"0","23002","2","11001001","47"
"750000","4106101","18","11001002","48"
"120000","4106201","18","11001002","49"
"120000","4106202","18","11001002","50"
"120000","4106203","18","11001002","51"
"120000","4106251","18","11001002","52"
"66374","4106301","18","11001002","53"
"66374","4106302","18","11001002","54"
"66374","4106303","18","11001002","55"
"66374","4106351","18","11001002","56"
"4500","4106401","18","11001002","57"
"750000","4110101","18","11001002","58"
"120000","4110201","18","11001002","59"
"120000","4110202","18","11001002","60"
"120000","4110203","18","11001002","61"
"120000","4110251","18","11001002","62"
"66374","4110301","18","11001002","63"
"66374","4110302","18","11001002","64"
"66374","4110303","18","11001002","65"
"66374","4110351","18","11001002","66"
"4500","4110401","18","11001002","67"
"333334","4203101","18","11001002","68"
"80000","4203201","18","11001002","69"
"80000","4203202","18","11001002","70"
"80000","4203203","18","11001002","71"
"44250","4203301","18","11001002","72"
"44250","4203302","18","11001002","73"
"44250","4203303","18","11001002","74"
"2000","4203401","18","11001002","75"
"333334","4204101","18","11001002","76"
"80000","4204201","18","11001002","77"
"80000","4204202","18","11001002","78"
"80000","4204203","18","11001002","79"
"44250","4204301","18","11001002","80"
"44250","4204302","18","11001002","81"
"44250","4204303","18","11001002","82"
"2000","4204401","18","11001002","83"
"333332","4305101","18","11001002","84"
