443e65396e2af767e86d5cd26ce4b638185cf972aec25cb38b6ad51e237ba860,1e71bf30df54e9ea2948c5f07f007f4484318db11218e422fc6d015108825b8a,d3eb4bdcee6ff378acdeaa871b38293248ff5b4130c4b087e33b65fd6aee4273,5ad57e28789d90ed8acb5a8d5169d2c5294ac645f93a72d91264646262c3ffa5,34a13da7155984bb57e28d4836860e6e453d3018778dc84bdcbce78143646aa6
"0","20","30","999","1"
"24","20","30","999","2"
"32","21","30","999","3"
"40","21","30","999","4"
"48","22","30","999","5"
"64","22","30","999","6"
"80","23","30","999","7"
"96","23","30","999","8"
"120","24","30","999","9"
"168","24","30","999","10"
"224","25","30","999","11"
"280","25","30","999","12"
"344","26","30","999","13"
"420","26","30","999","14"
"502","27","30","999","15"
"584","28","30","999","16"
"666","30","30","999","17"
"748","35","30","999","18"
"830","40","30","999","19"
"930","45","30","999","20"
"1040","50","30","999","21"
"1178","55","30","999","22"
"1316","60","30","999","23"
"1458","70","30","999","24"
"1604","80","30","999","25"
"1755","85","30","999","26"
"1910","85","30","999","27"
"2070","86","30","999","28"
"2235","87","30","999","29"
"2405","88","30","999","30"
"2579","89","30","999","31"
"2760","90","30","999","32"
"2945","91","30","999","33"
"3136","92","30","999","34"
"3333","93","30","999","35"
"3535","94","30","999","36"
"3744","95","30","999","37"
"3974","96","30","999","38"
"4226","97","30","999","39"
"4504","98","30","999","40"
"4810","99","30","999","41"
"5152","100","30","999","42"
"5535","101","30","999","43"
"5965","102","30","999","44"
"6446","103","30","999","45"
"7004","104","30","999","46"
"7651","105","30","999","47"
"8401","106","30","999","48"
"9272","107","30","999","49"
"10282","108","30","999","50"
"11454","109","30","999","51"
"12813","110","30","999","52"
"14389","111","30","999","53"
"16159","112","30","999","54"
"17929","113","30","999","55"
"19699","114","30","999","56"
"21469","115","30","999","57"
"23239","116","30","999","58"
"25009","117","30","999","59"
"26779","118","30","999","60"
"28549","119","30","999","61"
"30319","120","30","999","62"
"32089","121","30","999","63"
"33859","122","30","999","64"
"35629","123","30","999","65"
"38284","124","30","999","66"
"40939","125","30","999","67"
"43594","126","30","999","68"
"46249","127","30","999","69"
"48904","128","30","999","70"
"51559","129","30","999","71"
"54214","130","30","999","72"
"56869","131","30","999","73"
"59524","132","30","999","74"
"62179","133","30","999","75"
"64834","134","30","999","76"
"68374","135","30","999","77"
"71914","136","30","999","78"
"75454","137","30","999","79"
"78994","138","30","999","80"
"82534","139","30","999","81"
"86074","140","30","999","82"
"89614","141","30","999","83"
"93154","142","30","999","84"
"96694","143","30","999","85"
"100234","144","30","999","86"
"103774","145","30","999","87"
"107314","146","30","999","88"
"110854","147","30","999","89"
"114394","148","30","999","90"
"117934","149","30","999","91"
"121474","150","30","999","92"
"125014","151","30","999","93"
"128554","152","30","999","94"
"132094","153","30","999","95"
"135634","154","30","999","96"
"139174","155","30","999","97"
"142714","156","30","999","98"
"146254","157","30","999","99"
"149794","158","30","999","100"
"153334","159","30","999","101"
"157759","160","30","999","102"
"162184","161","30","999","103"
"166609","162","30","999","104"
"171034","163","30","999","105"
"175459","164","30","999","106"
"179884","165","30","999","107"
"184309","166","30","999","108"
"188734","167","30","999","109"
"193159","168","30","999","110"
"197584","169","30","999","111"
"202009","170","30","999","112"
"206434","171","30","999","113"
"210859","172","30","999","114"
"215284","173","30","999","115"
"219709","174","30","999","116"
"224134","175","30","999","117"
"228559","176","30","999","118"
"232984","177","30","999","119"
"237409","178","30","999","120"
"241834","179","30","999","121"
"246259","180","30","999","122"
"250684","181","30","999","123"
"255109","182","30","999","124"
"259534","183","30","999","125"
"263959","184","30","999","126"
"268384","185","30","999","127"
"272809","186","30","999","128"
"277234","187","30","999","129"
"281659","188","30","999","130"
"286084","189","30","999","131"
"290509","190","30","999","132"
"294934","191","30","999","133"
"299359","192","30","999","134"
"303784","193","30","999","135"
"308209","194","30","999","136"
"312634","195","30","999","137"
"317059","196","30","999","138"
"321484","197","30","999","139"
"325909","198","30","999","140"
"330334","199","30","999","141"
"334759","200","30","999","142"
"339184","201","30","999","143"
"343609","202","30","999","144"
"348034","203","30","999","145"
"352459","204","30","999","146"
"356884","205","30","999","147"
"361309","206","30","999","148"
"365734","207","30","999","149"
"370159","208","30","999","150"
"374584","209","30","999","151"
"379009","210","30","999","152"
"383434","211","30","999","153"
"387859","212","30","999","154"
"392284","213","30","999","155"
"396709","214","30","999","156"
"401134","215","30","999","157"
"405559","216","30","999","158"
"409984","217","30","999","159"
"414409","218","30","999","160"
"418834","219","30","999","161"
"423259","220","30","999","162"
"427684","221","30","999","163"
"432109","222","30","999","164"
"436534","223","30","999","165"
"440959","224","30","999","166"
"445384","225","30","999","167"
"449809","226","30","999","168"
"454234","227","30","999","169"
"458659","228","30","999","170"
"463084","229","30","999","171"
"467509","230","30","999","172"
"471934","231","30","999","173"
"476359","232","30","999","174"
"480784","233","30","999","175"
"485209","234","30","999","176"
"489634","235","30","999","177"
"494059","236","30","999","178"
"498484","237","30","999","179"
"502909","238","30","999","180"
"507334","239","30","999","181"
"511759","240","30","999","182"
"516184","241","30","999","183"
"520609","242","30","999","184"
"525034","243","30","999","185"
"529459","244","30","999","186"
"533884","245","30","999","187"
"538309","246","30","999","188"
"542734","247","30","999","189"
"547159","248","30","999","190"
"551584","249","30","999","191"
"556009","250","30","999","192"
"560434","251","30","999","193"
"564859","252","30","999","194"
"569284","253","30","999","195"
"573709","254","30","999","196"
"578134","255","30","999","197"
"582559","256","30","999","198"
"586984","257","30","999","199"
"591409","258","30","999","200"
"595834","259","30","999","201"
"600259","260","30","999","202"
"604684","261","30","999","203"
"609109","262","30","999","204"
"613534","263","30","999","205"
"617959","264","30","999","206"
"622384","265","30","999","207"
"626809","266","30","999","208"
"631234","267","30","999","209"
"635659","268","30","999","210"
"640084","269","30","999","211"
"644509","270","30","999","212"
"648934","271","30","999","213"
"653359","272","30","999","214"
"657784","273","30","999","215"
"662209","274","30","999","216"
"666634","275","30","999","217"
"671059","276","30","999","218"
"675484","277","30","999","219"
"679909","278","30","999","220"
"684334","279","30","999","221"
"688759","280","30","999","222"
"693184","281","30","999","223"
"697609","282","30","999","224"
"702034","283","30","999","225"
"706459","284","30","999","226"
"710884","285","30","999","227"
"715309","286","30","999","228"
"719734","287","30","999","229"
"724159","288","30","999","230"
"728584","289","30","999","231"
"733009","290","30","999","232"
"737434","291","30","999","233"
"741859","292","30","999","234"
"746284","293","30","999","235"
"750709","294","30","999","236"
"755134","295","30","999","237"
"759559","296","30","999","238"
"763984","297","30","999","239"
"768409","298","30","999","240"
"772834","299","30","999","241"
"777259","300","30","999","242"
"781684","301","30","999","243"
"786109","302","30","999","244"
"790534","303","30","999","245"
"794959","304","30","999","246"
"799384","305","30","999","247"
"803809","306","30","999","248"
"808234","307","30","999","249"
"812659","308","30","999","250"
"817084","309","30","999","251"
"821509","310","30","999","252"
"825934","311","30","999","253"
"830359","312","30","999","254"
"834784","313","30","999","255"
"839209","314","30","999","256"
"843634","315","30","999","257"
"848059","316","30","999","258"
"852484","317","30","999","259"
"856909","318","30","999","260"
"861334","319","30","999","261"
"865759","320","30","999","262"
"870184","321","30","999","263"
"874609","322","30","999","264"
"879034","323","30","999","265"
"883459","324","30","999","266"
"887884","325","30","999","267"
"892309","326","30","999","268"
"896734","327","30","999","269"
"901159","328","30","999","270"
"905584","329","30","999","271"
"910009","330","30","999","272"
"914434","331","30","999","273"
"918859","332","30","999","274"
"923284","333","30","999","275"
"927709","334","30","999","276"
"932134","335","30","999","277"
"936559","336","30","999","278"
"940984","337","30","999","279"
"945409","338","30","999","280"
"949834","339","30","999","281"
"954259","340","30","999","282"
"958684","341","30","999","283"
"963109","342","30","999","284"
"967534","343","30","999","285"
"971959","344","30","999","286"
"976384","345","30","999","287"
"980809","346","30","999","288"
"985234","347","30","999","289"
"989659","348","30","999","290"
"994084","349","30","999","291"
"998509","350","30","999","292"
"1002934","351","30","999","293"
"1007359","352","30","999","294"
"1011784","353","30","999","295"
"1016209","354","30","999","296"
"1020634","355","30","999","297"
"1025059","356","30","999","298"
"1029484","357","30","999","299"
"1033909","358","30","999","300"
"1038334","359","30","999","301"
"1042759","360","30","999","302"
"1047184","361","30","999","303"
"1051609","362","30","999","304"
"1056034","363","30","999","305"
"1060459","364","30","999","306"
"1064884","365","30","999","307"
"1069309","366","30","999","308"
"1073734","367","30","999","309"
"1078159","368","30","999","310"
"1082584","369","30","999","311"
"1087009","370","30","999","312"
"1091434","371","30","999","313"
"1095859","372","30","999","314"
"1100284","373","30","999","315"
"1104709","374","30","999","316"
"1109134","375","30","999","317"
"1113559","376","30","999","318"
"1117984","377","30","999","319"
"1122409","378","30","999","320"
"1126834","379","30","999","321"
"1131259","380","30","999","322"
"1135684","381","30","999","323"
"1140109","382","30","999","324"
"1144534","383","30","999","325"
"1148959","384","30","999","326"
