36225021dca823354dec7dbfb48c7e481852618bae5025240fc36fb099c2b43f,4933f47212c715c61aa4e55ea2366ecbd2f9341564d9e2cb87bbbdb1ed15be3b
"101","0"
"102","0"
"103","0"
"104","0"
"106","0"
"107","0"
"108","0"
"109","0"
"110","0"
"111","0"
"112","0"
"113","0"
"114","0"
"115","0"
"120","0"
"121","0"
"123","0"
"125","0"
"126","0"
"127","0"
"130","0"
"131","0"
"132","0"
"133","0"
"135","0"
"136","0"
"138","0"
"401","0"
"402","0"
"501","0"
"905","0"
"909","0"
"6004","0"
"6005","0"
"6006","0"
"6007","0"
"6010","0"
"6011","0"
"6012","0"
"6013","0"
"6101","0"
"6114","0"
"6115","0"
"6116","0"
"6117","0"
"7004","0"
"7005","0"
"7006","0"
"7007","0"
"7010","0"
"7011","0"
"7012","0"
"7114","0"
"7115","0"
"7116","0"
"8004","0"
"8005","0"
"8006","0"
"8007","0"
"8010","0"
