b313769553a8e9a6cbad5975a4fe989b4afd3c0ecd50c5ea67fb7308df0a7ce2,d2de23cb785abecebb6492be3fdc0665eaccb5c45508fae689cb12fe95e58721,40b72073fc47b9bab8def434deb3934539cdb5bf2c34fe2a2dc67651cfaab602,4960a108eb5f885bba98f9035ed86a6f3c5dda716cd105332e7094791312cce9,18444b285cf60f316ec8d472eb0319f8f7549d502444a8f0452b6c5210f2c519,b9c22b4f5e61d539a4a63a078b337be001c53125b620add53eff198a9aabeffc,551f1a5bce55a7bce08216c67cab99eefa8080e0c3a286c9b1f12592dc4b2d4f,1c8c88135794fea657035c98449e5703a932cc34cff3af9c0fb177d4b64aab7c,301ca658ba9c1217e755bb5863542ed83a337c616b4290312c414122a4987a33,9865e0c0eb04e35ab24e20b0e803ffd3ab0ca827d3f18269f444d550e3bfc0f6,95d0a5cea633e083448490048c27e46bbe0f00ccf2722e926615196dd24c6712
"1","1","1000","ttk_idle_def","1","5","1010001","102611","100","-120","1"
"2","1","0","","1","31","1010002","2","0","1",""
"1","1","-80","","1","31","1010003","1","-120","1",""
"1","1","","","","93","1010004","","","",""
"vo_minigame_1005","1","0","","","21","1010005","vo_minigame_1005_top_000","0","",""
"102611","1","0","","0.3","3","1010006","ttk_doya","ttk_idle_doya","1","0.3"
"102611","1","8","","0","11","1010007","我會把大家\n交代的工作做好的","","","0"
"0","1","","","","91","1010008","","","",""
"1","2","1000","ttk_idle_def","1","5","1020001","102611","100","-120","1"
"2","2","0","","1","31","1020002","2","0","1",""
"1","2","-80","","1","31","1020003","1","-120","1",""
"1","2","","","","93","1020004","","","",""
"vo_minigame_1005","2","0","","","21","1020005","vo_minigame_1005_top_001","0","",""
"102611","2","0","","0.3","3","1020006","ttk_idle_smile","ttk_idle_def","1","0.3"
"102611","2","8","","0","11","1020007","我會讓你後悔\n出現在\n我面前的","","","0"
"0","2","","","","91","1020008","","","",""
"1","3","1000","ttk_idle_def","1","5","1030001","102611","100","-120","1"
"2","3","0","","1","31","1030002","2","0","1",""
"1","3","-80","","1","31","1030003","1","-120","1",""
"1","3","","","","93","1030004","","","",""
"vo_minigame_1005","3","0","","","21","1030005","vo_minigame_1005_top_002","0","",""
"102611","3","0","","0.1","3","1030006","ttk_joy","ttk_idle_joy","1","0.3"
"102611","3","8","","0","11","1030007","只要掌握到訣竅\n其實也還蠻開心的\n不對，勞動就是勞動……","","","0"
"2.2","3","","","","93","1030008","","","",""
"102611","3","1","","0.3","3","1030009","ttk_talk_sad","","","0.3"
"3","3","","","","93","1030010","","","",""
"102611","3","1","","0.3","3","1030011","ttk_idle_def","","","0.3"
"0","3","","","","91","1030012","","","",""
"1","4","1000","ttk_idle_def","1","5","1040001","102611","100","-120","1"
"2","4","0","","1","31","1040002","2","0","1",""
"1","4","-80","","1","31","1040003","1","-120","1",""
"1","4","","","","93","1040004","","","",""
"vo_minigame_1005","4","0","","","21","1040005","vo_minigame_1005_top_003","0","",""
"102611","4","0","","0.3","3","1040006","ttk_shock","ttk_idle_shock","1","0.3"
"102611","4","8","","0","11","1040007","我根本不想知道\n老鼠的事情好嗎\n唉……麻煩死了","","","0"
"5","4","","","","93","1040008","","","",""
"102611","4","1","","0.3","3","1040009","ttk_idle_def","","","0.3"
"0.7","4","","","","93","1040010","","","",""
"1","5","1000","ttk_idle_def","1","5","1050001","102611","100","-120","1"
"2","5","0","","1","31","1050002","2","0","1",""
"1","5","-80","","1","31","1050003","1","-120","1",""
"1","5","","","","93","1050004","","","",""
"vo_minigame_1005","5","0","","","21","1050005","vo_minigame_1005_top_004","0","",""
"102611","5","0","","0.3","3","1050006","ttk_surprise","","","0.3"
"102611","5","8","","0","11","1050007","唔哇！？\n別過來！\n唉……一隻接著一隻\n趕老鼠還真不容易……","","","0"
"0.9","5","","","","93","1050008","","","",""
"102611","5","1","","0.3","3","1050009","ttk_talk_anger","","","0.3"
"0.8","5","","","","93","1050010","","","",""
"102611","5","0","","0.3","3","1050011","ttk_sad","ttk_talk_sad","1","0.3"
"5","5","","","","93","1050012","","","",""
"102611","5","1","","0.3","3","1050013","ttk_idle_def","","","0.3"
"0","5","","","","91","1050014","","","",""
"1","6","1000","ttk_idle_def","1","5","1060001","102611","100","-120","1"
"2","6","0","","1","31","1060002","2","0","1",""
"1","6","-80","","1","31","1060003","1","-120","1",""
"1","6","","","","93","1060004","","","",""
"vo_minigame_1005","6","0","","","21","1060005","vo_minigame_1005_top_005","0","",""
"102611","6","1","","0.3","3","1060006","ttk_idle_worry","","","0.3"
"102611","6","8","","0","11","1060007","我完全不想要\n習慣這種事情……\n不過為了牧場，\n也只能這麼做了","","","0"
"7","6","","","","93","1060008","","","",""
"102611","6","0","","0.3","3","1060009","ttk_amz","ttk_idle_def","1","0.3"
"0","6","","","","91","1060010","","","",""
