08a96e9696a5229f960b72218a097081b28cf18b92caef7972a9459c06abf646,7f52e07c92c5b205a6d2dac3a0aec6cfba2ff1ff61fcbe098cdde074919bf0b2,894d00b35fcdf57ee6e3d1edcc8e27992973e47e8ea87b11b56e4d5f9c97fad2,50b93c08256e4f6870e740130e28fd9c25524841a6314cc5ff49666a4eafaef6,21bc7ac1f5863cef2c2e09c1c61f178fd1a5b64f542dee80266ab8a1db9f19c9,8bd68d6e573af3d24a4c3fc9a7bbcb142ee425ea9cb83ffeb6709fa2a3ff17db,5c89d6dfa217cae54c3dee4d88256bb1117e1397f2492cf668ec87705efef231,4ee05afca11375568a369da6fb7711e722d3c6c5192a34200fe8ce697c4951a1,95f5b03cb2ec5bedcc8d2af6e283dbb06f15e2c9d3e56c788853b659d01a60fc,5e8247bfae9b7e34210ae4e23f795266b21a8de8a7635d9124565693dc571b17,ec2d7e104d1c08cba3bd7210f2f02601291e28d6f076a40160ba9f8ade7ae54b,4baee8a4d2ef4c0c0c4c18cf95c670764bde406914f91f632c4fade8c028ca83,3ca48c7a5075e5250e9d3ac17f2fbce50e816ee0fcc7ae79d1264ef6323f982e,d97570c1e6c8af4717e97c1f4101c4965b0755c858494c4c046df5a2a5be2edc,6aad6343dbb20f7ec28382ad02db0a6e39a975946098950860fc8aa280efb999,bbacc732c10b0fd20dd3880ed792148a954547980809219a62e581e848ff8941
"0","0","1","105","1","103","5","104","10016","0","101","0","1","0","1","102"
"0","1","2","205","2","203","2","204","10021","0","201","0","2","0","1","202"
"0","1","2","305","3","303","5","304","10053","0","301","0","5","0","1","302"
"0","1","2","405","4","403","8","404","10044","0","401","0","4","0","1","402"
"0","2","3","505","5","503","2","504","10042","0","501","0","4","0","1","502"
"0","3","3","605","6","603","5","604","10024","0","601","0","2","0","1","602"
"0","4","3","705","7","703","8","704","10015","0","701","0","1","0","1","702"
"0","5","4","0","8","0","2","0","11012","0","801","0","101","0","1","0"
"0","6","4","905","9","903","5","904","10023","0","901","0","2","0","1","902"
"0","7","4","0","10","0","8","0","11011","0","1001","0","101","0","1","0"
"0","8","5","1105","11","1103","2","1104","10052","0","1101","0","5","0","1","1102"
"0","9","5","1205","12","1203","5","1204","10045","0","1201","0","4","0","1","1202"
"0","10","5","1305","13","1303","8","1304","10021","0","1301","0","2","0","1","1302"
"0","11","6","1405","14","1403","2","1404","10013","0","1401","0","1","0","1","1402"
"0","12","6","1505","15","1503","5","1504","10054","0","1501","0","5","0","1","1502"
"0","13","6","0","16","0","8","0","11015","0","1601","0","101","0","1","0"
"0","14","7","0","17","0","2","0","11002","0","1701","0","100","0","1","0"
"0","15","7","1805","18","1803","5","1804","10043","0","1801","0","4","0","1","1802"
"0","16","7","1905","19","1903","8","1904","10034","0","1901","0","3","16","1","1902"
