10297eecbf53ba71c9198a3691e9aba05b0d12b2f5e4ee8cba181496a7f18575,81d73629467dee0f9ce56cb1aec31d2505075ce032da04be4aba2fac990ab7c9
"4101501","1004"
"4101502","1004"
"4101511","1012"
"4102501","1004"
"4103501","1004"
"4104501","1004"
"4105501","1004"
"4106501","1004"
"4107501","1004"
"4108501","1004"
"4109501","1005"
"4110501","1005"
"4201501","1006"
"4202501","1006"
"4203501","1007"
"4204501","1007"
"4301511","1010"
"4301512","1010"
"4301513","1010"
"4301514","1010"
"4301515","1010"
"4302511","1010"
"4302512","1010"
"4302513","1010"
"4302514","1010"
"4302515","1010"
"4303511","1010"
"4303512","1010"
"4303513","1010"
"4303514","1010"
"4303515","1010"
"4304511","1011"
"4304512","1011"
"4304513","1011"
"4304514","1011"
"4304515","1011"
"4305511","1011"
"4305512","1011"
"4305513","1011"
"4305514","1011"
"4305515","1011"
