fd9eca539369eb080e6e5f139d19ca2d036dadf39f0c61f281cede5b5eb6c1d1,69e662565d844822157789137edbceec5ca910ddaea6f1cd7ca10e4a3b36857c,672cd7e4df876f1193beeebc3a2e9ce2c10c7ba868f42b297326bb5cf4b65fc6,690d8633d5e9b9415bc824e2898b3f1e3e6a587dd955088a51187777dd077288,0b2d3b3edcd6fe135e1cf0e72bcdc74a93d4d85d6682dd082e28a65f146576e1,351b9e184d1525fdea68e381b08884e3b3decee54f74e20aa41db4eb5acf3a8b
"100112","0","10011","0","0","100111"
"100122","100125","10012","100123","100124","100121"
"100132","100135","10013","100133","100134","100131"
"0","0","10021","0","0","100211"
"0","0","10022","0","0","100221"
"100232","0","10023","0","0","100231"
"0","0","10031","0","0","100311"
"0","0","10032","0","0","100321"
"100332","100335","10033","100333","100334","100331"
"100412","0","10041","0","0","100411"
"100422","0","10042","0","0","100421"
"100432","0","10043","0","0","100431"
"0","0","10051","0","0","100511"
"100522","100525","10052","100523","100524","100521"
"100532","100535","10053","100533","100534","100531"
"0","0","11001","0","0","110011"
"0","0","11002","0","0","110021"
"0","0","11003","0","0","110031"
"0","0","11004","0","0","110041"
"0","0","11005","0","0","110051"
"0","0","12001","0","0","120011"
"0","0","12002","0","0","120021"
"0","0","12003","0","0","120031"
"0","0","12004","0","0","120041"
"0","0","12005","0","0","120051"
"0","0","13001","0","0","130011"
"130022","0","13002","0","0","130021"
"0","0","13003","0","0","130031"
"130042","0","13004","0","0","130041"
"0","0","13005","0","0","130051"
"0","0","14001","0","0","140011"
"0","0","14002","0","0","140021"
"0","0","14003","0","0","140031"
"140042","0","14004","0","0","140041"
"140052","0","14005","0","0","140051"
"0","0","15001","0","0","150011"
"0","0","15002","0","0","150021"
"150032","150035","15003","150033","150034","150031"
"150042","150045","15004","150043","150044","150041"
"0","0","15005","0","0","150051"
"0","0","21001","0","0","210011"
"0","0","21002","0","0","210021"
"0","0","21003","0","0","210031"
"0","0","21004","0","0","210041"
"0","0","21005","0","0","210051"
"0","0","22001","0","0","220011"
"0","0","22002","0","0","220021"
"0","0","22003","0","0","220031"
"0","0","22004","0","0","220041"
"0","0","22005","0","0","220051"
"0","0","23001","0","0","230011"
"230022","0","23002","0","0","230021"
"0","0","23003","0","0","230031"
"230042","0","23004","0","0","230041"
"0","0","23005","0","0","230051"
"0","0","24001","0","0","240011"
"0","0","24002","0","0","240021"
"0","0","24003","0","0","240031"
"240042","0","24004","0","0","240041"
"240052","0","24005","0","0","240051"
"0","0","25001","0","0","250011"
"0","0","25002","0","0","250021"
"250032","250035","25003","250033","250034","250031"
"250042","250045","25004","250043","250044","250041"
"0","0","25005","0","0","250051"
"0","0","30001","0","0","300011"
"0","0","31001","0","0","310011"
"0","0","31002","0","0","310021"
"0","0","31003","0","0","310031"
"0","0","31004","0","0","310041"
"0","0","31005","0","0","310051"
"0","0","31006","0","0","310061"
"0","0","32001","0","0","320011"
"0","0","32002","0","0","320021"
"0","0","32003","0","0","320031"
"0","0","32004","0","0","320041"
"0","0","32005","0","0","320051"
"0","0","32006","0","0","320061"
"0","0","33001","0","0","330011"
"330022","0","33002","0","0","330021"
"0","0","33003","0","0","330031"
"330042","0","33004","0","0","330041"
"0","0","33005","0","0","330051"
"330062","0","33006","0","0","330061"
"0","0","34001","0","0","340011"
"0","0","34002","0","0","340021"
"0","0","34003","0","0","340031"
"340042","0","34004","0","0","340041"
"340052","0","34005","0","0","340051"
"0","0","34006","0","0","340061"
"0","0","35001","0","0","350011"
"0","0","35002","0","0","350021"
"350032","350035","35003","350033","350034","350031"
"350042","350045","35004","350043","350044","350041"
"0","0","35005","0","0","350051"
"0","0","35006","0","0","350061"
"400012","0","40001","400013","0","400011"
"0","0","40002","0","0","400021"
"0","0","40003","0","0","400031"
"400042","0","40004","400043","400044","400041"
"0","0","40005","0","0","400051"
"400062","0","40006","400063","0","400061"
"0","0","40007","0","0","400071"
"0","0","40008","0","0","400081"
"400092","0","40009","0","0","400091"
"0","0","40010","0","0","400101"
"500012","0","50001","0","0","500011"
"0","0","50002","0","0","500021"
"0","0","50003","0","0","500031"
"0","0","50004","0","0","500041"
"0","0","50005","0","0","500051"
"500062","0","50006","0","0","500061"
"500072","500075","50007","500073","500074","500071"
"0","0","50008","0","0","500081"
"500092","0","50009","0","0","500091"
"0","0","50010","0","0","500101"
