b157c8802e82214ebfb9929ddfe9b1042a300e46cfda68c0d3d740a870628e60,0dfbbb1556107a4e7a0b5b4257c24e456832dcfde566e9dd00babb9374b23fd6,e497b08a1dc7b7f5dda5944a2614f2e087bb7466d511a62f16ed0fe3a2ca08a7
"32025","1","1"
"32046","1","2"
"32048","1","3"
"32016","1","4"
"32060","1","5"
"32078","2","5"
"32031","1","6"
"32007","1","7"
"32050","1","8"
"32033","1","9"
"32058","1","10"
"32075","2","10"
"32042","1","11"
"32021","1","12"
"32023","1","13"
"32027","1","14"
"32049","1","15"
"32011","1","16"
"32045","1","17"
"32030","1","18"
"32013","1","19"
"32040","1","20"
"32018","1","21"
"32028","1","22"
