6cbd2a9c5e32bbe52b524f4ce3dd4057bf96a81a1d41e57028f3f2c86955be93,3fc71f9223801dbcccc3155a7120aa746d874f660202ad2b018022bc18ab4bda,738cc438fd73d43fc4c352e6ffb3b1df5f5158f4e84bc9866c507890c8019605,7c1b6cc5428f9b494c2df1db5cf1eae048dbc73169878a82f88452df094d696f,70a0189bb2f544dcc7f4a0887a032a805c62a90cfc52752c83f66375635dbca2
"6017101","10153102","信賴度","1","10153"
"0","0","信賴度","1","20015"
"0","0","信賴度","1","20017"
"0","0","信賴度","1","20018"
"0","0","信賴度","1","20019"
"0","0","信賴度","1","20020"
"0","0","信賴度","1","20022"
"0","0","信賴度","1","20023"
"0","0","信賴度","1","20024"
"0","0","信賴度","1","20025"
"0","0","信賴度","1","20026"
"0","0","信賴度","1","20028"
"0","0","信賴度","1","20029"
"0","0","信賴度","1","20030"
"0","0","信賴度","1","20031"
"0","0","信賴度","1","20032"
"0","0","信賴度","1","20035"
"0","0","信賴度","1","20037"
"0","0","信賴度","1","20038"
"0","0","信賴度","1","20042"
"0","0","信賴度","1","20043"
"0","0","信賴度","1","20048"
"0","0","信賴度","1","20049"
"0","0","信賴度","1","20051"
"0","0","信賴度","1","20054"
"0","0","信賴度","1","20055"
"0","0","信賴度","1","20056"
"0","0","信賴度","1","20061"
"0","0","信賴度","1","20066"
"0","0","信賴度","1","20076"
