1885e87c39a797dc788d315f927f779ddb5604497b06b29d98550dda24901fb7,4c62d20bcb9e56bed72e9e1986a50225a11bfcd9e8744a034495ad8ee188cc9b,4888aef4e0368e9657f03794c56e8578bf3f642fecd4538ff8c697518c3ecbf5,3515349676e193815cda57d78a948aa98497b41cce2821117a3ed572c3437f40,674d7c2df39046857e5a6dabca43e3eee4c8a5192b187515cac76f17b46aca44
"水屬性獎勵提升","編組４位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性和風屬性以外的屬性獎勵無效。","13","10101","1"
"風屬性獎勵提升","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。水屬性和風屬性以外的屬性獎勵無效。","14","10102","1"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","damage_limit","10103","1"
"防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","def_lower_limit","10104","1"
"水屬性獎勵提升","編組４位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性和風屬性以外的屬性獎勵無效。","13","10201","2"
"風屬性獎勵提升","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。水屬性和風屬性以外的屬性獎勵無效。","14","10202","2"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","damage_limit","10203","2"
"防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","def_lower_limit","10204","2"
"全傷害降低","將所有怪物承受的傷害減少一定數值。","damage_cut","10205","2"
"造成傷害提升","提升所有怪物所造成的傷害。","damage_up","10206","2"
"防禦力提升","提升所有怪物的物理/魔法防禦力。","def_up","10207","2"
"水屬性獎勵提升","編組４位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性和風屬性以外的屬性獎勵無效。","13","10301","3"
"風屬性獎勵提升","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。水屬性和風屬性以外的屬性獎勵無效。","14","10302","3"
"傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","damage_limit","10303","3"
"防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","def_lower_limit","10304","3"
"全傷害降低","將所有怪物承受的傷害減少一定數值。","damage_cut","10305","3"
"造成傷害提升","提升所有怪物所造成的傷害。","damage_up","10306","3"
"防禦力提升","提升所有怪物的物理/魔法防禦力。","def_up","10307","3"
"降低ＨＰ吸收","降低所有角色的ＨＰ吸收。","life_steal_down","10308","3"
"減少降低ＴＰ","所有怪物為減少降低ＴＰ的狀態。","tp_down_cut","10309","3"
"降低ＨＰ恢復量","降低所有角色的ＨＰ恢復量。","hp_recovery_down","10310","3"
