2b452372258f219d82e8b22cfb04c3398f23991c5f35f40afc132b4d52590b1c,6a4c678024dc14f4de75d6cbb9da3cfa34855460385c8302aba1bbd6f0e33241,aed50b741ef16081752900fe99a6339542b0882f41849bc2a9e3b534bdd5f9f1,d657c0f63d83bcc3a21649ff38508c1e0744f88f506a7bf841cac2e0ba229f95,5bd4b4d6d1a5b49662cc4ab3edcf897ac6af4a480b6e420f90cc532af0f1e94c,dcf4099594ab5be0993f3fc75b9b83e82db90f70900cbcd7ad02f8f9cc424d46,87c02b41aa702ab320e4cd278098b5b285733c5747575a2bf713de41c6ee6c72,dc664ecb4469afac9e563f244720b13768d6f15208bc91e365858b3aedc38ed3,f17c9b7ce4d0441e72281a216ea35128d6c40d2e8b56feb2d3aea80be3239083,72671aeda27d9a7335f4158a12e3b570b1ac6d5e5e6c6d905dcb0aea83dfd952,cdc028a19f88f1458213605a6d40842fd86b68bea8f630e40545c35adffa9e5b,d55bf7b98876bcb41b3d07ad8a4f6be606746e6993692f54200313b9bc7490fc
"1","0","0","11041","0","0","0","104","101","1","2","4"
"2","0","0","10141","1","0","0","14","201","2","3","2"
"3","0","0","11031","2","0","0","103","301","3","2","2"
"4","0","0","11021","3","0","0","102","401","4","1","1"
"5","0","0","11041","4","0","0","104","501","5","2","4"
"6","0","0","10011","5","0","0","1","601","6","3","1"
"7","0","0","11011","6","0","0","101","701","7","4","3"
"8","0","0","11001","7","0","0","100","801","8","3","1"
"9","0","0","11041","8","0","0","104","901","9","2","4"
"10","0","0","10011","9","0","0","1","1001","10","3","2"
"11","0","0","10511","10","0","0","51","1101","11","4","1"
"12","0","0","10521","11","0","0","52","1201","12","3","2"
"13","0","0","11041","12","0","0","104","1301","13","2","4"
"14","0","0","11031","13","0","0","103","1401","14","1","1"
"15","0","0","11021","14","0","0","102","1501","15","2","1"
"16","0","0","10011","15","0","0","1","1601","16","3","1"
"17","0","0","11041","16","0","0","104","1701","17","2","4"
"18","0","0","10501","17","0","0","50","1801","18","3","2"
"19","0","0","11011","18","0","0","101","1901","19","4","3"
"20","0","0","11001","19","0","0","100","2001","20","3","2"
"21","0","0","11041","20","0","0","104","2101","21","2","4"
"22","0","0","10011","21","0","0","1","2201","22","1","3"
"23","0","0","11001","22","0","0","100","2301","23","3","2"
"24","0","0","11011","23","0","0","101","2401","24","2","2"
"25","0","0","11041","24","0","0","104","2501","25","3","4"
"26","0","0","10501","25","0","0","50","2601","26","4","3"
"27","0","0","10521","26","0","0","52","2701","27","3","3"
"28","0","0","10501","27","0","0","50","2801","28","1","1"
"29","0","0","11041","28","0","0","104","2901","29","2","4"
"30","0","0","10511","29","0","0","51","3001","30","1","3"
"31","0","0","11001","30","0","0","100","3101","31","2","2"
"32","0","0","11011","31","0","0","101","3201","32","3","1"
"33","0","0","11041","32","0","0","104","3301","33","4","4"
"34","0","0","11001","33","0","0","100","3401","34","3","3"
"35","0","0","11041","34","0","0","104","3501","35","2","4"
"36","0","0","11031","35","0","0","103","3601","36","3","2"
"37","0","0","11021","36","0","0","102","3701","37","2","1"
"38","0","0","10501","37","0","0","50","3801","38","1","2"
"39","0","0","11021","38","0","0","102","3901","39","3","3"
"40","0","0","11041","39","0","0","104","4001","40","4","4"
"41","0","0","11001","40","0","0","100","4101","41","3","1"
"42","0","0","10521","41","0","0","52","4201","42","2","3"
"43","0","0","11041","42","0","0","104","4301","43","1","4"
"44","0","0","11031","43","0","0","103","4401","44","2","1"
"45","0","0","11041","44","0","0","104","4501","45","1","4"
"46","0","0","11011","45","0","0","101","4601","46","3","3"
"47","0","0","11021","46","0","0","102","4701","47","4","1"
"48","0","0","11041","47","0","0","104","4801","48","2","4"
"49","0","0","11031","48","0","0","103","4901","49","3","2"
"50","0","0","11041","49","0","0","104","5001","50","2","4"
"51","0","0","11011","50","0","0","101","5101","51","1","2"
"52","0","0","11021","51","0","0","102","5201","52","2","3"
"53","0","0","11041","52","0","0","104","5301","53","3","4"
"54","0","0","10521","53","0","0","52","5401","54","4","1"
"55","0","0","11031","54","0","0","103","5501","55","3","3"
"56","0","0","11041","55","0","0","104","5601","56","4","4"
"57","0","0","11001","56","0","0","100","5701","57","2","1"
"58","0","0","11011","57","0","0","101","5801","58","3","3"
"59","0","0","11031","58","0","0","103","5901","59","4","2"
"60","0","0","11041","59","0","0","104","6001","60","3","4"
"61","0","0","11021","60","0","0","102","6101","61","1","1"
"62","0","0","10501","61","0","0","50","6201","62","2","3"
"63","0","0","11041","62","0","0","104","6301","63","1","4"
"64","0","0","11031","63","0","0","103","6401","64","2","2"
"65","0","0","11021","64","0","0","102","6501","65","3","1"
"66","0","0","11041","65","0","0","104","6601","66","2","4"
