5296cd51a6957fd4ffc496dfa64901ac2bbf5777b01f825e6cff0d2e588be3fc,c7f77977cb6c57154f3a119aab05fad0bdbbed5f81b25e341c12d05f0a608f20,c3c02854e9edd56085e6fb347ee27fca21e04513f3f8e068da5f418e41cc74ff,ab700077521d3653dce0e0e916bc550daf2e7acc49b0041ae331ede1ae28097f,f7c8273840b81357d9b44ebd9afb2c90ffef4c588a214e63e9a04b8505c580e6,84e0ec71cf51254723b4781091c6b23221edcaea69544988656075032c58545e,35d6f8785acd725f6c29d2e1161a5ae5a55e6ce4a9bca90f3f2e52bfa2efe2cf,fbc1c3eb87a3bc89c090fd25f3f5c469b3329d86090f90ee9d6b40cea9620789,9f6dab80d5d70fb865495eafdd4e23d412a20047aea0d9334f557da4def25b08,37dd1df22022bfe4c8733deee7a9234a98170c7504e7cb3e0149fe0f6da0fb73,651782de817e74f6aeb95881c91c0a7547f94d1365bbd629d1388a5f98d3526c,46855b13c10584e1539d7511f545f0a628bc1a1cc845ef062b1fbf27c87dc1c5,67a84bf52a87724f0f69ece63a15a7225585001e479b7faa0b914c412053b820,4aaba63039050618308dd65766e22d994bd271ad6c0c7395c6ce3beb0c10e4eb,ccae580a5a1f139fd6b5ddf18d2f2c70ea066b2e0d35a0d717e0ce22b00d2c01,c2d0725905d216a6a80b9fb34d5e15e7922eefaad95ff0f93d4e31f7b37f0c34,d7cc563f9e57fe42e21244a9d4c1b74de1084743c43011997d478db4d90bc3f9,779832c9bc0bf8f20c3eab6f2d73b56c513f4311f3e727f57903ccc4fe5e6076,2b6a1149715744240da971c076afa6c9ffe86242ebd7683bc67a33d0d8847c40
"0","0","0","0","0","0","10000","1","0","0","2","0","12","0","0","94002","5000","幫忙靜流時獲得 10000pt","0"
"0","0","0","0","0","0","20000","2","0","0","2","0","12","0","0","94002","10000","幫忙靜流時獲得 20000pt","0"
"0","0","0","23001","0","0","30000","3","0","0","2","0","8","2","5","91002","50","幫忙靜流時獲得 30000pt","0"
"0","0","0","0","0","0","10000","4","0","0","1","0","12","0","0","94002","5000","幫忙惠理子時獲得 10000pt","0"
"0","0","0","0","0","0","20000","5","0","0","1","0","12","0","0","94002","10000","幫忙惠理子時獲得 20000pt","0"
"0","0","0","23001","0","0","30000","6","0","0","1","0","8","2","5","91002","50","幫忙惠理子時獲得 30000pt","0"
"0","0","0","0","0","0","70000","7","0","0","0","0","12","0","0","94002","15000","幫忙兩人合計獲得 70000pt","0"
"0","0","0","0","0","0","80000","8","0","0","0","0","12","0","0","94002","20000","幫忙兩人合計獲得 80000pt","0"
"0","0","0","0","0","0","90000","9","0","0","0","0","12","0","0","94002","25000","幫忙兩人合計獲得 90000pt","0"
"0","0","0","0","0","0","100000","10","0","0","0","0","12","0","0","94002","30000","幫忙兩人合計獲得 100000pt","0"
"0","0","0","0","0","0","110000","11","0","0","0","0","12","0","0","94002","35000","幫忙兩人合計獲得 110000pt","0"
"0","0","0","0","0","0","120000","12","0","0","0","0","12","0","0","94002","40000","幫忙兩人合計獲得 120000pt","0"
"0","0","0","0","0","0","130000","13","0","0","0","0","12","0","0","94002","45000","幫忙兩人合計獲得 130000pt","0"
"0","0","0","0","0","0","150000","14","0","0","0","0","12","0","0","94002","50000","幫忙兩人合計獲得 150000pt","0"
"2","0","10","91002","0","0","200000","15","0","23001","0","0","7","8","150","1113","1","幫忙兩人合計獲得 200000pt","0"
