6da83004240a873e32cec988c97d8398bdce8f7321799ca340852bf614b6b8f6,23a4a97f6ae0e88e9d1eb1cb57229f368c495ae2baf3509940e2f69f93315eb2,6f83b968f1ac838a089e89ba72e2bd08b5dbd6cc62af4af35dbca24c35c57ecd,cf34fca744026a01d5910edfa6f20a45f12dbef6086744712f73c5456bef6e10,b653066e8616fe5c87012f40e5cb2bee027d1bb5ae7731ab3957c4b2452a05c5,916b430b6018218637f06327ee4043b54368454d80ea2a3d08b0d41ccf040c80
"10","150","1","0","1","150"
"10","250","1","0","2","400"
"10","400","1","0","3","800"
"20","150","2","0","1","150"
"20","250","2","0","2","400"
"20","400","2","0","3","800"
"20","500","2","1","4","1300"
"30","800","3","0","1","800"
"30","1000","3","0","2","1800"
"30","1200","3","0","3","3000"
"30","1400","3","1","4","4400"
"30","1600","3","2","5","6000"
"40","800","4","0","1","800"
"40","1000","4","0","2","1800"
"40","1200","4","0","3","3000"
"40","1400","4","1","4","4400"
"40","1600","4","2","5","6000"
"0","0","5","0","0","0"
