d57b0b0b6864908c21341016a053d902cdc938f210032698c12ac0f084ac9dc5,ba46b6b6d9d4a5e1b62c90dfc4a70e3a27a7628d8e5a622fb9addb0612ef5da5,9ee6818d201a19513f8cf512c008a82dc74da45fda073dcce2bbb965edd42f64,d94b7e49be8c064f3e3cef32aec7376d29caa4c2f1a821cc119302bf1ae22f08,3984f89228ed48a889c88c3ba7df2a524a1b7e3514b2216f9055f0c2de7e1876,0d5156f016d1d6e9d94f3d938610036de6dafbfac6ada02fd068a288c9b5718f,f9c774ecb38a75163cbab38331adff3819a6a8536c7a6e46340cd493dfeec978
"1","1","1","1","1","0","0"
"4","2","1","2","1","0","0"
"5","1","1","3","1","12","0"
"2","2","1","4","1","0","0"
"8","1","1","5","2","0","0"
"1","1","2","1","1","0","0"
"1","2","2","2","1","0","0"
"6","1","2","3","1","0","0"
"1","2","2","4","1","0","0"
"1","3","2","5","1","0","0"
"3","1","2","6","3","11","0"
"1","2","2","7","1","0","0"
"3","1","2","8","1","0","0"
"1","1","2","9","2","0","0"
"1","1","3","1","1","0","0"
"10","2","3","2","1","0","0"
"11","1","3","3","1","0","0"
"5","2","3","4","1","0","0"
"6","3","3","5","1","0","0"
"3","3","3","6","1","0","0"
"3","4","3","7","2","9","0"
"7","4","3","8","1","0","0"
"1","4","3","9","1","0","0"
"9","1","3","10","3","8","0"
"4","2","3","11","1","0","0"
"1","1","3","12","1","0","0"
"3","4","3","13","1","0","0"
"3","3","3","14","2","11","0"
"4","1","4","1","1","10","0"
"12","1","4","2","1","12","0"
"1","2","4","3","1","10","0"
"11","1","4","4","1","4","0"
"1","2","4","5","1","0","0"
"4","1","4","6","1","13","0"
"2","2","4","7","1","6","0"
"8","1","4","8","1","0","0"
"8","2","4","9","1","10","0"
"1","1","5","1","1","10","0"
"11","2","5","2","1","5","0"
"1","1","5","3","1","7","0"
"5","2","5","4","1","12","0"
"1","1","5","5","1","11","0"
"3","2","5","6","1","4","0"
"5","2","5","7","1","12","0"
"2","1","5","8","1","6","0"
"11","2","5","9","1","4","0"
"8","1","5","10","1","8","0"
"4","1","5","11","1","10","0"
"5","2","5","12","1","10","0"
"8","1","6","1","1","7","0"
"4","2","6","2","1","10","0"
"1","1","6","3","1","11","0"
"8","2","6","4","1","8","0"
"11","1","6","5","1","6","0"
"2","1","6","6","2","7","0"
"5","1","6","7","1","4","0"
"4","2","6","8","1","10","0"
"10","1","6","9","2","13","0"
"8","1","7","1","1","7","0"
"12","2","7","2","1","10","0"
"4","2","7","3","1","12","0"
"11","1","7","4","1","7","0"
"1","1","7","5","1","10","0"
"5","2","7","6","1","12","0"
"5","2","7","7","1","11","0"
"8","2","7","8","1","10","0"
"2","1","7","9","1","8","0"
"8","1","7","10","1","7","0"
"4","2","7","11","1","9","0"
"1","1","8","1","2","10","0"
"12","2","8","2","1","10","0"
"12","1","8","3","1","5","0"
"5","1","8","4","1","12","0"
"1","2","8","5","1","10","0"
"5","1","8","6","1","12","0"
"5","1","8","7","1","12","0"
"1","2","8","8","1","10","0"
"8","2","8","9","1","9","0"
"4","1","8","10","2","9","0"
"4","1","9","1","1","8","0"
"5","1","9","2","1","10","0"
"4","2","9","3","1","7","0"
"6","2","9","4","1","8","0"
"1","1","9","5","1","10","0"
"11","1","9","6","1","11","0"
"1","1","9","7","1","6","0"
"5","2","9","8","1","8","0"
"8","2","9","9","1","7","0"
"4","1","9","10","1","6","0"
"11","2","10","1","1","10","0"
"1","1","10","2","1","7","0"
"8","1","10","3","2","8","0"
"5","2","10","4","1","9","0"
"10","1","10","5","1","8","0"
"1","1","10","6","2","7","0"
"2","1","10","7","2","6","0"
"11","1","10","8","1","10","0"
"8","2","10","9","1","10","0"
"9","1","11","1","1","8","0"
"5","2","11","2","1","0","0"
"6","2","11","3","1","12","0"
"1","1","11","4","1","5","0"
"5","2","11","5","1","10","0"
"6","2","11","6","1","12","0"
"1","1","11","7","1","4","0"
"11","1","11","8","1","0","0"
"6","1","11","9","1","0","0"
"1","2","11","10","1","10","0"
"6","1","11","11","1","11","0"
"1","2","11","12","1","12","0"
"5","2","11","13","1","6","0"
"10","1","11","14","1","7","0"
"4","2","11","15","1","7","0"
"11","2","12","1","1","4","0"
"1","1","12","2","1","5","0"
"6","2","12","3","1","10","0"
"5","2","12","4","1","10","0"
"11","1","12","5","1","0","0"
"6","2","12","6","1","0","0"
"12","2","12","7","1","17","0"
"5","1","12","8","1","1","0"
"1","1","12","9","1","2","0"
"6","2","12","10","1","10","0"
"4","2","12","11","1","10","0"
"1","1","12","12","1","0","0"
"5","1","12","13","1","13","0"
"11","2","12","14","1","8","0"
"8","1","12","15","1","10","0"
"11","1","13","1","1","10","0"
"11","3","13","2","1","8","0"
"6","2","13","3","1","0","0"
"11","1","13","4","1","10","0"
"11","2","13","5","1","7","0"
"2","3","13","6","1","6","0"
"1","3","13","7","1","0","1500"
"11","1","13","8","3","5","0"
"5","3","13","9","1","10","0"
"1","2","13","10","1","4","0"
"1","1","13","11","1","4","0"
"6","3","13","12","1","6","0"
"4","1","13","13","1","6","0"
"9","1","13","14","3","10","0"
"8","3","13","15","1","10","0"
"4","1","13","16","1","6","0"
"1","3","13","17","1","0","0"
"8","2","13","18","1","8","0"
"11","1","14","1","1","0","0"
"2","1","14","2","2","13","0"
"11","3","14","3","1","10","0"
"1","1","14","4","1","10","0"
"4","1","14","5","2","10","0"
"11","2","14","6","1","0","0"
"1","2","14","7","1","0","0"
"1","1","14","8","1","10","0"
"12","3","14","9","1","12","0"
"12","3","14","10","1","12","0"
"5","3","14","11","1","0","0"
"5","1","14","12","1","12","0"
"10","1","14","13","2","6","0"
"11","1","14","14","1","10","0"
"10","1","14","15","3","6","0"
"11","1","14","16","1","10","0"
"2","1","14","17","3","6","0"
"10","1","14","18","2","6","0"
"11","1","14","19","1","4","0"
"8","2","14","20","1","10","0"
"8","1","14","21","3","4","0"
"12","2","15","1","1","10","0"
"12","1","15","2","1","12","0"
"11","3","15","3","1","12","0"
"11","1","15","4","1","6","0"
"12","2","15","5","1","12","0"
"5","2","15","6","1","0","0"
"11","1","15","7","1","12","0"
"1","1","15","8","1","0","0"
"5","1","15","9","1","0","0"
"12","1","15","10","2","12","0"
"11","3","15","11","1","0","0"
"12","3","15","12","1","11","0"
"1","2","15","13","1","9","0"
"1","1","15","14","1","12","0"
"12","1","15","15","1","0","0"
"12","1","15","16","1","9","0"
"11","2","15","17","1","4","0"
"11","1","15","18","3","4","0"
"5","2","15","19","1","12","0"
"12","2","15","20","1","0","0"
"12","2","15","21","1","7","0"
"12","1","15","22","3","12","0"
"1","1","15","23","3","7","0"
"4","3","15","24","1","0","0"
"4","1","15","25","3","10","0"
"8","2","15","26","1","0","0"
"11","1","15","27","1","0","0"
"11","2","15","28","1","0","0"
"6","1","16","1","1","0","0"
"11","2","16","2","1","10","0"
"12","3","16","3","1","0","0"
"4","2","16","4","1","0","0"
"6","1","16","5","1","12","0"
"6","1","16","6","1","0","0"
"4","2","16","7","1","4","0"
"5","3","16","8","1","4","0"
"1","3","16","9","1","0","0"
"12","1","16","10","1","17","0"
"11","2","16","11","1","0","0"
"1","3","16","12","1","10","0"
"11","2","16","13","1","11","0"
"11","3","16","14","1","0","0"
"12","1","16","15","1","12","0"
"11","1","16","16","1","10","0"
"11","1","16","17","1","10","0"
"6","1","16","18","1","6","0"
"11","2","16","19","1","6","0"
"1","3","16","20","1","8","0"
"5","3","16","21","1","8","0"
"4","1","16","22","1","9","0"
"11","1","16","23","1","10","0"
"11","1","17","1","1","4","0"
"4","1","17","2","3","10","0"
"11","1","17","3","1","4","0"
"1","1","17","4","1","0","0"
"1","1","17","5","2","10","0"
"11","2","17","6","1","4","0"
"1","1","17","7","2","10","0"
"11","2","17","8","1","4","0"
"1","3","17","9","1","0","0"
"8","1","17","10","2","10","0"
"12","1","17","11","1","12","0"
"11","3","17","12","1","4","0"
"1","1","17","13","3","4","0"
"11","1","17","14","1","10","0"
"1","1","17","15","2","0","0"
"11","1","17","16","2","4","0"
"8","1","17","17","2","7","0"
"11","1","17","18","1","0","0"
"2","1","17","19","3","6","0"
"10","1","17","20","1","10","0"
"11","2","17","21","1","10","0"
"8","3","17","22","1","7","0"
"11","1","18","1","1","4","0"
"5","1","18","2","2","13","0"
"4","1","18","3","1","10","0"
"4","2","18","4","1","10","0"
"11","3","18","5","1","10","0"
"5","1","18","6","3","7","0"
"11","1","18","7","1","10","0"
"4","3","18","8","1","10","0"
"11","2","18","9","1","10","0"
"5","1","18","10","3","6","0"
"11","1","18","11","1","10","0"
"11","2","18","12","1","10","0"
"4","3","18","13","1","10","0"
"5","1","18","14","2","8","0"
"6","1","18","15","2","6","0"
"10","3","18","16","1","0","0"
"10","2","18","17","1","0","0"
"10","1","18","18","1","0","0"
"10","1","18","19","2","7","0"
"8","1","18","20","1","10","0"
"11","1","18","21","1","10","0"
"2","1","18","22","2","9","0"
"13","1","19","1","2","0","0"
"4","1","19","2","2","8","0"
"8","1","19","3","2","0","0"
"14","1","20","1","2","10","0"
"8","1","20","2","2","0","0"
"15","1","21","1","2","13","0"
"15","1","22","1","2","0","0"
"13","1","22","2","2","0","0"
"42","1","23","1","2","0","0"
"72","1","23","2","2","0","0"
"43","1","24","1","2","0","0"
"44","1","25","1","2","0","0"
"45","1","26","1","2","0","0"
"46","1","27","1","2","0","0"
"47","1","28","1","2","0","0"
