94b08f2cffad04bfa73b2e36ec6c5cf6d8417313331ab2fd875684f59c331b8c,86902ee79599724b6c1eb0cbe1fb82edee921365739b72d727f79c35958a9766,606daa0657ddfc05d8979886b58d656a089515a84f82d6f3340d3dc5cf777690,9b2b80b21312f3d6bedb7504ca60bd004180d3bdd44bb18623227d8d36cb60b3,a3a4390089e78162d9301b9177e205a776c822c8bddd2f15192c5421e4629c51,27c76b075937515f87199457e2c6bf3afdb380953e04e75fc93b2ba2d35d710f,a611689e1870b819f5699a68e252f5692b0311583c98d853adcf30d2aa850419,8503aa54ff895d2bb80c9b51c77576274fe7277c3a35cb1ad7ace47efc65a84e,a4f7aa85f938bc4c929c94ba4c2cda1b373127a53c2f8cc21ccfea08067bb749
"1101001","21","0","0","0","0","600","0","1101002"
"1101002","22","0","0","0","600","2400","0","1101003"
"1101003","20","0","0","0","-1500","1","50","1"
"1101011","21","0","0","0","0","900","0","1101012"
"1101012","22","0","0","0","700","2100","0","1101013"
"1101013","20","0","0","0","-1500","1","200","1"
"1101021","21","0","0","0","0","400","0","1101022"
"1101022","22","0","0","0","500","2000","0","1101023"
"1101023","20","0","0","0","-1500","1","350","1"
"1101031","21","0","0","0","0","1000","0","1101032"
"1101032","22","0","0","0","900","1800","0","1101033"
"1101033","20","0","0","0","-1500","1","500","1"
"1101041","21","0","0","0","0","500","0","1101042"
"1101042","22","0","0","0","800","1600","0","1101043"
"1101043","20","0","0","0","-1500","1","750","1"
"1101101","1","0","0","2","2","1","2","25"
"1102001","20","0","0","0","-2000","1","-100","1"
"1102101","1","0","0","2","2","1","10","20"
"1102102","10","0","0","2","0","2","0","200000"
"1103001","21","0","0","0","0","500","0","1103002"
"1103002","3","0","0","2","0","0","0","1000"
"1202001","2","0","0","2","3000","3","0","-15"
"1204001","2","0","0","1","30000","3","0","15"
"1205001","2","0","0","1","30000","3","0","10"
"1206001","2","0","0","1","30000","3","0","10"
"1207001","2","0","0","1","30000","3","0","10"
"1208001","2","0","0","1","3000","2","0","15"
"1209001","2","0","0","1","3000","1","0","25"
"1210001","2","0","0","1","3000","2","0","10"
"1210002","21","0","0","0","0","3000","0","1210003"
"1210003","2","0","0","1","30000","1","0","15"
"1211001","2","0","0","1","3000","2","0","-10"
"1211002","21","0","0","0","0","3000","0","1211003"
"1211003","2","0","0","2","30000","1","0","-15"
"1213001","2","0","0","2","30000","1","0","-10"
"1213002","2","0","0","2","30000","2","0","-10"
"1214001","2","0","0","2","1500","3","0","-25"
"1216001","2","0","0","2","3000","3","0","-20"
"1218001","2","0","0","1","30000","3","0","20"
"1219001","2","0","0","1","30000","3","0","15"
"1220001","2","0","0","1","30000","3","0","15"
"1221001","2","0","0","1","30000","3","0","15"
"1222001","2","0","0","1","3000","2","0","20"
"1223001","2","0","0","1","3000","1","0","30"
"1224001","2","0","0","1","3000","2","0","15"
"1224002","21","0","0","0","0","3000","0","1224003"
"1224003","2","0","0","1","30000","1","0","20"
"1225001","2","0","0","1","3000","2","0","-10"
"1225002","21","0","0","0","0","3000","0","1225003"
"1225003","2","0","0","2","30000","1","0","-20"
"1227001","2","0","0","2","30000","1","0","-15"
"1227002","2","0","0","2","30000","2","0","-15"
"1228001","2","0","0","2","1500","3","0","-35"
"1229001","2","0","0","1","30000","3","0","20"
"1230001","2","0","0","1","3000","2","0","20"
"1230002","21","0","0","0","0","3000","0","1230003"
"1230003","2","0","0","1","30000","1","0","50"
"1232001","2","0","0","2","3000","3","0","-25"
"1234001","2","0","0","1","30000","3","0","25"
"1235001","2","0","0","1","30000","3","0","20"
"1236001","2","0","0","1","30000","3","0","20"
"1237001","2","0","0","1","30000","3","0","20"
"1238001","2","0","0","1","3000","2","0","25"
"1239001","2","0","0","1","3000","1","0","35"
"1240001","2","0","0","1","3000","2","0","20"
"1240002","21","0","0","0","0","3000","0","1240003"
"1240003","2","0","0","1","30000","1","0","25"
"1241001","2","0","0","1","3000","2","0","-10"
"1241002","21","0","0","0","0","3000","0","1241003"
"1241003","2","0","0","2","30000","1","0","-25"
"1242001","2","0","0","2","30000","1","0","-20"
"1242002","2","0","0","2","30000","2","0","-20"
"1244001","2","0","0","2","1500","3","0","-75"
"1246001","2","0","0","1","30000","3","0","20"
"1247001","2","0","0","1","30000","3","0","30"
"1247002","21","0","0","0","0","3000","0","1247003"
"1247003","2","0","0","1","3000","1","0","25"
"1248001","2","0","0","1","3000","1","0","75"
"1249001","2","0","0","2","1500","3","0","-90"
"2101001","2","0","0","1","30000","2","0","10"
"2102001","2","0","0","1","30000","2","0","10"
"2103001","2","0","0","2","3000","2","0","-15"
"2103002","2","0","0","2","3000","3","0","-15"
"2105001","2","0","0","2","3000","3","0","-25"
"2107001","2","0","0","1","30000","3","0","25"
"2108001","2","0","0","1","30000","3","0","10"
"2109001","2","0","0","1","30000","3","0","10"
"2110001","2","0","0","1","30000","3","0","10"
"2111001","2","0","0","1","3000","2","0","15"
"2112001","2","0","0","1","3000","1","0","25"
"2113001","2","0","0","1","3000","2","0","10"
"2113002","21","0","0","0","0","3000","0","2113003"
"2113003","2","0","0","1","30000","1","0","25"
"2114001","2","0","0","1","3000","2","0","-10"
"2114002","21","0","0","1","0","3000","0","2114003"
"2114003","2","0","0","2","30000","1","0","-25"
"2116001","2","0","0","2","30000","1","0","-10"
"2116002","2","0","0","2","30000","2","0","-10"
"2117001","2","0","0","2","1500","3","0","-50"
"3301001","21","0","0","0","0","300","0","3301002"
"3301002","20","0","0","0","30","2","20","1"
"3301101","1","0","0","2","1","1","100","0"
"3302001","1","0","0","2","1","1","40","0"
"3302002","1","0","0","2","1","1","60","0"
"3303001","1","0","0","2","1","1","12","0"
"3303002","1","0","0","2","1","1","28","0"
"3304001","1","0","0","2","1","1","40","0"
"3304002","1","0","0","2","1","1","100","0"
"3305001","21","0","0","0","0","200","0","3305011"
"3305002","21","0","0","0","0","200","0","3305012"
"3305003","21","0","0","0","0","200","0","3305013"
"3305004","21","0","0","0","0","200","0","3305014"
"3305005","21","0","0","0","0","200","0","3305015"
"3305006","21","0","0","0","0","200","0","3305016"
"3305011","20","30","0","0","26","2","15","1"
"3305012","20","15","0","0","29","2","8","1"
"3305013","20","0","0","0","30","2","0","1"
"3305014","20","-15","0","0","29","2","-8","1"
"3305015","20","-30","0","0","26","2","-15","1"
"3305016","10","0","0","1","180","1","0","30000"
"3305101","1","0","0","2","1","1","20","0"
"3402001","20","0","0","0","274","2","29","1"
"3402101","11","0","0","3","0","2000","0","500000"
"3403001","21","0","0","0","0","200","0","3403002"
"3403002","10","0","0","1","0","1","0","200000"
"4001001","4","0","0","3","0","0","0","0"
"4001002","1","0","0","3","0","0","0","99999"
