6590ac8bacf18be6c71f1fc14dbcaceeaba844173d9d7b207c06305ffcda1fb2,e8025c57e9636e96d58ebb41610763f58c335942efa3291505a80aee1a04c017,dae3189247ecd8615181f42bf862281b8fcc48cf44b907c0de484c842dda0dbe,117ad892e8f5e29772b3dbb14ca962e3f06199e1b7e9817322c1faba95c78c88,feb8e682f0ae8ad583b04d8ba595889949a36bcec086b0504471c0183ac62759
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","風屬性獎勵特大幅度提升","14","4100101","10010101"
"當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","傷害值衰減","38","4100101","10010102"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100101","10010103"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100101","10010104"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","光屬性獎勵特大幅度提升","15","4100102","10010201"
"當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","傷害值衰減","38","4100102","10010202"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100102","10010203"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100102","10010204"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","闇屬性獎勵特大幅度提升","16","4100103","10010301"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","4100103","10010302"
"戰鬥開始時，特大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100103","10010303"
"戰鬥開始時，特大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100103","10010304"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低ＴＰ","boss_tp_down_cut","4100103","10010305"
"戰鬥開始時，小幅度降低全體角色的ＴＰ上升。","減少ＴＰ上升","3","4100103","10010306"
"戰鬥開始時，特大幅度降低全體角色的ＨＰ吸收。","降低ＨＰ吸收","9","4100103","10010307"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","4100104","10010401"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","4100104","10010402"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100104","10010403"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100104","10010404"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低ＴＰ","boss_tp_down_cut","4100104","10010405"
"戰鬥開始時，小幅度降低全體角色的ＴＰ上升。","減少ＴＰ上升","3","4100104","10010406"
"戰鬥開始時，特大幅度降低全體角色的ＨＰ吸收。","降低ＨＰ吸收","9","4100104","10010407"
"編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。","水屬性獎勵特大幅度提升","13","4100105","10010501"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","4100105","10010502"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100105","10010503"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100105","10010504"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低ＴＰ","boss_tp_down_cut","4100105","10010505"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予ＴＰ上升的上限","17","4100105","10010506"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低ＨＰ吸收","9","4100105","10010507"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","風屬性獎勵特大幅度提升","14","4100106","10010601"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","4100106","10010602"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100106","10010603"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100106","10010604"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低ＴＰ","boss_tp_down_cut","4100106","10010605"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予ＴＰ上升的上限","17","4100106","10010606"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低ＨＰ吸收","9","4100106","10010607"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","火屬性獎勵特大幅度提升","12","4100107","10010701"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","18","4100107","10010702"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100107","10010703"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100107","10010704"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低ＴＰ","boss_tp_down_cut","4100107","10010705"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予ＴＰ上升的上限","17","4100107","10010706"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","降低ＨＰ吸收","9","4100107","10010707"
"編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","闇屬性獎勵特大幅度提升","16","4100108","10010801"
"當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","傷害值衰減","38","4100108","10010802"
"戰鬥開始時，特大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100108","10010803"
"戰鬥開始時，特大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100108","10010804"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低ＴＰ","boss_tp_down_cut","4100108","10010805"
"戰鬥開始時，小幅度降低全體角色的ＴＰ上升。","減少ＴＰ上升","3","4100108","10010806"
"戰鬥開始時，特大幅度降低全體角色的ＨＰ吸收。","降低ＨＰ吸收","9","4100108","10010807"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","光屬性獎勵特大幅度提升","15","4100109","10010901"
"當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","傷害值衰減","38","4100109","10010902"
"戰鬥開始時，特大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","boss_def_lower_limit","4100109","10010903"
"戰鬥開始時，特大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","4100109","10010904"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低ＴＰ","boss_tp_down_cut","4100109","10010905"
